招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
宁夏,宁夏大学,2008,489.00,486.00,,4,本科二批,3,文科,天津
宁夏,宁夏大学,2008,489.00,486.00,,4,本科二三批,,文科,天津
宁夏,宁夏大学,2007,506.00,488.00,,4,本科二批,15,文科,天津
宁夏,宁夏大学,2007,506.00,482.00,,6,本科二三批,,文科,天津
宁夏,宁夏大学,2006,459.00,445.00,,6,本科二批,9,文科,天津
宁夏,宁夏大学,2006,459.00,442.00,,7,本科二三批,,文科,天津
宁夏,宁夏大学,2005,465.00,462.00,,2,本科二批,2,文科,天津
宁夏,宁夏大学,2001,,465.00,,,不详,,文科,天津
宁夏,宁夏大学,2013,584.00,567.00,,16,本科一批,11,文科,重庆
宁夏,宁夏大学,2012,572.00,562.00,,15,本科一批,8,文科,重庆
宁夏,宁夏大学,2011,567.00,565.00,,6,本科一批,1,文科,重庆
宁夏,宁夏大学,2010,582.00,578.00,,6,本科一批,5,文科,重庆
宁夏,宁夏大学,2009,561.00,551.00,,6,本科一批,5,文科,重庆
宁夏,宁夏大学,2008,548.00,531.00,,4,本科二批,21,文科,重庆
宁夏,宁夏大学,2007,536.00,515.00,,5,本科二批,39,文科,重庆
宁夏,宁夏大学,2006,542.00,529.00,,5,本科二批,43,文科,重庆
宁夏,宁夏大学,2006,542.00,528.00,,5,本科二三批,,文科,重庆
宁夏,宁夏大学,2005,553.00,531.00,,6,本科二批,44,文科,重庆
宁夏,宁夏大学,2004,,,,,不详,,文科,重庆
宁夏,宁夏大学,2003,,,,,不详,,文科,重庆
宁夏,宁夏大学,2001,,482.00,,,不详,,文科,重庆
宁夏,宁夏大学,2013,588.00,577.00,,13,本科一批,16,文科,河北
宁夏,宁夏大学,2013,556.00,550.00,,3,本科二批,39,文科,河北
宁夏,宁夏大学,2012,589.00,582.00,,21,本科一批,10,文科,河北
宁夏,宁夏大学,2011,576.00,569.00,,10,本科一批,7,文科,河北
宁夏,宁夏大学,2010,554.00,548.00,,9,本科一批,9,文科,河北
宁夏,宁夏大学,2009,549.00,543.00,,5,本科一批,4,文科,河北
宁夏,宁夏大学,2008,533.00,528.00,,5,本科二批,25,文科,河北
宁夏,宁夏大学,2007,561.00,553.00,,6,本科二批,15,文科,河北
宁夏,宁夏大学,2006,553.00,548.00,,9,本科二三批,,文科,河北
宁夏,宁夏大学,2006,553.00,548.00,,9,本科二批,18,文科,河北
宁夏,宁夏大学,2005,530.00,523.00,,16,本科二批,23,文科,河北
宁夏,宁夏大学,2003,,,511.00,,不详,,文科,河北
宁夏,宁夏大学,2001,,524.00,,,不详,,文科,河北
宁夏,宁夏大学,2013,541.00,532.00,,25,本科一批,13,文科,河南
宁夏,宁夏大学,2013,518.00,504.00,,4,本科二批,39,文科,河南
宁夏,宁夏大学,2012,577.00,566.00,,35,本科一批,9,文科,河南
宁夏,宁夏大学,2011,572.00,566.00,,20,本科一批,4,文科,河南
宁夏,宁夏大学,2010,545.00,539.00,,15,本科一批,7,文科,河南
宁夏,宁夏大学,2009,577.00,557.00,,14,本科一批,5,文科,河南
宁夏,宁夏大学,2008,574.00,551.00,,12,本科二批,38,文科,河南
宁夏,宁夏大学,2007,585.00,577.00,,12,本科二批,25,文科,河南
宁夏,宁夏大学,2006,589.00,577.00,,6,本科二批,30,文科,河南
宁夏,宁夏大学,2006,589.00,577.00,,6,本科二三批,,文科,河南
宁夏,宁夏大学,2005,570.00,558.00,,9,本科二批,36,文科,河南
宁夏,宁夏大学,2004,,,564.00,,不详,,文科,河南
宁夏,宁夏大学,2001,,446.00,,,不详,,文科,河南
宁夏,宁夏大学,2013,593.00,583.00,,14,本科一批,13,文科,山东
宁夏,宁夏大学,2013,576.00,556.00,,6,本科二批,16,文科,山东
宁夏,宁夏大学,2012,604.00,583.00,,19,本科一批,10,文科,山东
宁夏,宁夏大学,2011,584.00,575.00,,11,本科一批,5,文科,山东
宁夏,宁夏大学,2010,647.00,612.00,,10,本科一批,6,文科,山东
宁夏,宁夏大学,2009,613.00,601.00,,10,本科一批,5,文科,山东
宁夏,宁夏大学,2008,587.00,576.00,,5,本科二批,10,文科,山东
宁夏,宁夏大学,2007,588.00,582.00,,7,本科二批,5,文科,山东
宁夏,宁夏大学,2006,550.00,549.00,,2,本科二批,0,文科,山东
宁夏,宁夏大学,2006,550.00,547.00,,4,本科二三批,,文科,山东
宁夏,宁夏大学,2005,573.00,554.00,,16,本科二批,,文科,山东
宁夏,宁夏大学,2001,,535.00,,,不详,,文科,山东
宁夏,宁夏大学,2013,524.00,515.00,,6,本科一批,8,文科,山西
宁夏,宁夏大学,2012,545.00,540.00,,7,本科一批,1,文科,山西
宁夏,宁夏大学,2011,580.00,550.00,,7,本科一批,7,文科,山西
宁夏,宁夏大学,2010,542.00,539.00,,7,本科一批,6,文科,山西
宁夏,宁夏大学,2009,558.00,551.00,,6,本科一批,3,文科,山西
宁夏,宁夏大学,2008,526.00,522.00,,4,本科二批,12,文科,山西
宁夏,宁夏大学,2006,558.00,541.00,,6,本科二三批,,文科,山西
宁夏,宁夏大学,2006,558.00,541.00,,6,本科二批,13,文科,山西
宁夏,宁夏大学,2005,528.00,514.00,,11,本科二批,17,文科,山西
宁夏,宁夏大学,2003,,,491.00,,不详,,文科,山西
宁夏,宁夏大学,2001,,491.00,,,不详,,文科,山西
宁夏,宁夏大学,2013,556.00,549.00,,11,本科一批,9,文科,安徽
宁夏,宁夏大学,2012,590.00,581.00,,13,本科一批,4,文科,安徽
宁夏,宁夏大学,2011,556.00,550.00,,7,本科一批,3,文科,安徽
宁夏,宁夏大学,2010,586.00,576.00,,7,本科一批,3,文科,安徽
宁夏,宁夏大学,2009,558.00,555.00,,2,本科提前批,,文科,安徽
宁夏,宁夏大学,2009,551.00,546.00,,6,本科一批,3,文科,安徽
宁夏,宁夏大学,2008,545.00,539.00,,4,本科二批,26,文科,安徽
宁夏,宁夏大学,2007,537.00,529.00,,4,本科二批,14,文科,安徽
宁夏,宁夏大学,2006,551.00,538.00,,5,本科二三批,,文科,安徽
宁夏,宁夏大学,2006,551.00,538.00,,5,本科二批,15,文科,安徽
