招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
宁夏,宁夏大学,2010,520.00,514.00,,2,本科一批,5,理科,天津
宁夏,宁夏大学,2009,509.00,507.00,,3,本科一批,5,理科,天津
宁夏,宁夏大学,2008,492.00,479.00,,5,本科二批,13,理科,天津
宁夏,宁夏大学,2008,492.00,476.00,,6,本科二三批,,理科,天津
宁夏,宁夏大学,2007,482.00,469.00,,5,本科二批,16,理科,天津
宁夏,宁夏大学,2007,482.00,466.00,,6,本科二三批,,理科,天津
宁夏,宁夏大学,2006,489.00,472.00,,8,本科二批,17,理科,天津
宁夏,宁夏大学,2006,489.00,472.00,,8,本科二三批,,理科,天津
宁夏,宁夏大学,2005,445.00,422.00,,10,本科二批,14,理科,天津
宁夏,宁夏大学,2001,,474.00,,,不详,,理科,天津
宁夏,宁夏大学,2013,554.00,535.00,,24,本科一批,15,理科,重庆
宁夏,宁夏大学,2012,549.00,534.00,,25,本科一批,12,理科,重庆
宁夏,宁夏大学,2011,549.00,539.00,,17,本科一批,6,理科,重庆
宁夏,宁夏大学,2010,544.00,539.00,,9,本科一批,6,理科,重庆
宁夏,宁夏大学,2009,567.00,563.00,,8,本科一批,6,理科,重庆
宁夏,宁夏大学,2008,528.00,510.00,,9,本科二批,22,理科,重庆
宁夏,宁夏大学,2007,476.00,470.00,,10,本科二批,20,理科,重庆
宁夏,宁夏大学,2006,518.00,499.00,,14,本科二三批,,理科,重庆
宁夏,宁夏大学,2006,518.00,499.00,,14,本科二批,23,理科,重庆
宁夏,宁夏大学,2005,544.00,518.00,,11,本科二批,24,理科,重庆
宁夏,宁夏大学,2003,,,,,不详,,理科,重庆
宁夏,宁夏大学,2001,,510.00,,,不详,,理科,重庆
宁夏,宁夏大学,2013,574.00,555.00,,45,本科一批,17,理科,河北
宁夏,宁夏大学,2013,535.00,509.00,,13,本科二批,31,理科,河北
宁夏,宁夏大学,2012,585.00,576.00,,57,本科一批,12,理科,河北
宁夏,宁夏大学,2011,601.00,590.00,,29,本科一批,9,理科,河北
宁夏,宁夏大学,2010,577.00,570.00,,17,本科一批,9,理科,河北
宁夏,宁夏大学,2009,584.00,574.00,,9,本科一批,5,理科,河北
宁夏,宁夏大学,2008,549.00,544.00,,6,本科二批,30,理科,河北
宁夏,宁夏大学,2007,595.00,575.00,,8,本科二批,26,理科,河北
宁夏,宁夏大学,2006,568.00,557.00,,13,本科二批,17,理科,河北
宁夏,宁夏大学,2006,568.00,556.00,,13,本科二三批,,理科,河北
宁夏,宁夏大学,2006,560.00,557.00,,4,本科提前批,,理科,河北
宁夏,宁夏大学,2005,547.00,534.00,,24,本科二批,23,理科,河北
宁夏,宁夏大学,2003,,,490.00,,不详,,理科,河北
宁夏,宁夏大学,2001,,555.00,,,不详,,理科,河北
宁夏,宁夏大学,2013,546.00,528.00,,54,本科一批,23,理科,河南
宁夏,宁夏大学,2013,504.00,473.00,,10,本科二批,30,理科,河南
宁夏,宁夏大学,2012,578.00,560.00,,64,本科一批,20,理科,河南
宁夏,宁夏大学,2011,603.00,595.00,,43,本科一批,13,理科,河南
宁夏,宁夏大学,2010,574.00,562.00,,28,本科一批,10,理科,河南
宁夏,宁夏大学,2010,573.00,566.00,,3,本科提前批,,理科,河南
宁夏,宁夏大学,2009,598.00,581.00,,26,本科一批,14,理科,河南
宁夏,宁夏大学,2008,561.00,543.00,,24,本科二批,26,理科,河南
宁夏,宁夏大学,2007,622.00,579.00,,18,本科二批,26,理科,河南
宁夏,宁夏大学,2006,588.00,566.00,,17,本科二三批,,理科,河南
宁夏,宁夏大学,2006,588.00,567.00,,17,本科二批,19,理科,河南
宁夏,宁夏大学,2006,576.00,568.00,,4,本科提前批,,理科,河南
宁夏,宁夏大学,2005,564.00,546.00,,21,本科二批,23,理科,河南
宁夏,宁夏大学,2004,,,533.00,,不详,,理科,河南
宁夏,宁夏大学,2001,,446.00,,,不详,,理科,河南
宁夏,宁夏大学,2013,601.00,581.00,,38,本科一批,27,理科,山东
宁夏,宁夏大学,2013,556.00,532.00,,9,本科二批,8,理科,山东
宁夏,宁夏大学,2012,638.00,598.00,,57,本科一批,16,理科,山东
宁夏,宁夏大学,2011,613.00,581.00,,21,本科一批,14,理科,山东
宁夏,宁夏大学,2010,597.00,591.00,,11,本科一批,11,理科,山东
宁夏,宁夏大学,2010,593.00,587.00,,3,本科提前批,,理科,山东
宁夏,宁夏大学,2009,619.00,598.00,,10,本科一批,12,理科,山东
宁夏,宁夏大学,2008,584.00,566.00,,14,本科二批,10,理科,山东
宁夏,宁夏大学,2007,570.00,560.00,,12,本科二批,15,理科,山东
宁夏,宁夏大学,2006,572.00,566.00,,4,本科二批,13,理科,山东
宁夏,宁夏大学,2006,572.00,566.00,,4,本科二三批,,理科,山东
宁夏,宁夏大学,2006,565.00,559.00,,5,本科提前批,,理科,山东
宁夏,宁夏大学,2005,589.00,574.00,,24,本科二批,,理科,山东
宁夏,宁夏大学,2001,,565.00,,,不详,,理科,山东
宁夏,宁夏大学,2013,512.00,503.00,,20,本科一批,10,理科,山西
宁夏,宁夏大学,2012,549.00,535.00,,27,本科一批,5,理科,山西
宁夏,宁夏大学,2011,592.00,576.00,,17,本科一批,6,理科,山西
宁夏,宁夏大学,2010,546.00,538.00,,8,本科一批,2,理科,山西
宁夏,宁夏大学,2009,563.00,553.00,,8,本科一批,6,理科,山西
宁夏,宁夏大学,2008,541.00,533.00,,9,本科二批,22,理科,山西
宁夏,宁夏大学,2007,565.00,553.00,,6,本科二批,14,理科,山西
宁夏,宁夏大学,2006,543.00,530.00,,6,本科二批,15,理科,山西
宁夏,宁夏大学,2006,543.00,530.00,,6,本科二三批,,理科,山西
宁夏,宁夏大学,2005,539.00,515.00,,19,本科二批,20,理科,山西
宁夏,宁夏大学,2003,,,451.00,,不详,,理科,山西
宁夏,宁夏大学,2001,,519.00,,,不详,,理科,山西
宁夏,宁夏大学,2013,520.00,510.00,,16,本科一批,20,理科,安徽
宁夏,宁夏大学,2012,570.00,563.00,,19,本科一批,19,理科,安徽
宁夏,宁夏大学,2011,556.00,546.00,,13,本科一批,12,理科,安徽
宁夏,宁夏大学,2010,616.00,584.00,,14,本科一批,22,理科,安徽
宁夏,宁夏大学,2009,605.00,592.00,,10,本科一批,13,理科,安徽
宁夏,宁夏大学,2008,551.00,541.00,,8,本科二批,34,理科,安徽
宁夏,宁夏大学,2007,570.00,543.00,,6,本科二批,38,理科,安徽
