招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
港澳台,香港城市大学,2008,667.00,657.00,,14,本科提前批,,理科,北京
港澳台,香港城市大学,2007,681.00,648.00,,18,本科提前批,,理科,北京
港澳台,香港城市大学,2006,664.00,640.00,,34,本科一批,112,理科,北京
港澳台,香港城市大学,2008,668.00,658.00,,5,本科提前批,,理科,天津
港澳台,香港城市大学,2007,653.00,637.00,,9,本科提前批,,理科,天津
港澳台,香港城市大学,2008,555.00,539.00,,16,本科提前批,,理科,上海
港澳台,香港城市大学,2007,545.00,531.00,,15,本科提前批,,理科,上海
港澳台,香港城市大学,2006,531.00,510.00,,21,本科一批,44,理科,上海
港澳台,香港城市大学,2008,668.00,661.00,,5,本科提前批,,理科,重庆
港澳台,香港城市大学,2007,643.00,619.00,,8,本科提前批,,理科,重庆
港澳台,香港城市大学,2006,650.00,625.00,,7,本科一批,94,理科,重庆
港澳台,香港城市大学,2008,648.00,645.00,,2,本科提前批,,理科,河北
港澳台,香港城市大学,2007,636.00,636.00,,1,本科提前批,,理科,河北
港澳台,香港城市大学,2008,624.00,624.00,,1,本科提前批,,理科,河南
港澳台,香港城市大学,2008,660.00,659.00,,4,本科提前批,,理科,山东
港澳台,香港城市大学,2007,663.00,655.00,,4,本科提前批,,理科,山东
港澳台,香港城市大学,2006,658.00,623.00,,5,本科一批,40,理科,山东
港澳台,香港城市大学,2008,648.00,638.00,,2,本科提前批,,理科,山西
港澳台,香港城市大学,2007,664.00,658.00,,2,本科提前批,,理科,山西
港澳台,香港城市大学,2008,644.00,644.00,,2,本科提前批,,理科,安徽
港澳台,香港城市大学,2008,620.00,616.00,,2,本科提前批,,理科,江西
港澳台,香港城市大学,2007,660.00,659.00,,2,本科提前批,,理科,江西
港澳台,香港城市大学,2006,656.00,656.00,,1,本科提前批,,理科,江西
港澳台,香港城市大学,2006,639.00,639.00,,1,本科一批,89,理科,江西
港澳台,香港城市大学,2007,663.00,653.00,,16,本科提前批,,理科,江苏
港澳台,香港城市大学,2006,663.00,634.00,,15,本科一批,,理科,江苏
港澳台,香港城市大学,2008,654.00,638.00,,10,本科提前批,,理科,浙江
港澳台,香港城市大学,2007,659.00,651.00,,4,本科提前批,,理科,浙江
港澳台,香港城市大学,2006,657.00,629.00,,20,本科一批,59,理科,浙江
港澳台,香港城市大学,2008,656.00,642.00,,4,本科提前批,,理科,湖北
港澳台,香港城市大学,2007,634.00,629.00,,5,本科提前批,,理科,湖北
港澳台,香港城市大学,2006,637.00,624.00,,4,本科提前批,108,理科,湖北
港澳台,香港城市大学,2008,624.00,624.00,,1,本科提前批,,理科,湖南
港澳台,香港城市大学,2007,638.00,630.00,,2,本科提前批,,理科,湖南
港澳台,香港城市大学,2006,647.00,647.00,,1,本科一批,100,理科,湖南
港澳台,香港城市大学,2008,657.00,644.00,,11,本科提前批,,理科,广东
港澳台,香港城市大学,2007,648.00,637.00,,9,本科提前批,,理科,广东
港澳台,香港城市大学,2006,796.00,751.00,,25,本科一批,,理科,广东
港澳台,香港城市大学,2008,624.00,624.00,,1,本科提前批,,理科,广西
港澳台,香港城市大学,2007,654.00,651.00,,2,本科提前批,,理科,广西
港澳台,香港城市大学,2006,640.00,640.00,,1,本科一批,102,理科,广西
港澳台,香港城市大学,2008,652.00,648.00,,3,本科提前批,,理科,云南
港澳台,香港城市大学,2007,681.00,680.00,,2,本科提前批,,理科,云南
港澳台,香港城市大学,2006,678.00,678.00,,1,本科一批,128,理科,云南
港澳台,香港城市大学,2008,641.00,639.00,,2,本科提前批,,理科,贵州
港澳台,香港城市大学,2008,678.00,676.00,,3,本科提前批,,理科,四川
港澳台,香港城市大学,2007,633.00,628.00,,3,本科提前批,,理科,四川
港澳台,香港城市大学,2006,622.00,618.00,,3,本科一批,58,理科,四川
港澳台,香港城市大学,2008,650.00,650.00,,1,本科提前批,,理科,陕西
港澳台,香港城市大学,2007,647.00,647.00,,1,本科提前批,,理科,陕西
港澳台,香港城市大学,2008,679.00,677.00,,2,本科提前批,,理科,黑龙江
港澳台,香港城市大学,2007,680.00,680.00,,1,本科提前批,,理科,黑龙江
港澳台,香港城市大学,2008,680.00,677.00,,2,本科提前批,,理科,吉林
港澳台,香港城市大学,2007,692.00,692.00,,1,本科提前批,,理科,吉林
港澳台,香港城市大学,2011,660.00,658.00,,2,本科提前批,,理科,辽宁
港澳台,香港城市大学,2010,643.00,642.00,,2,本科提前批,,理科,辽宁
港澳台,香港城市大学,2009,627.00,627.00,,1,本科提前批,,理科,辽宁
港澳台,香港城市大学,2008,633.00,633.00,,1,本科提前批,,理科,辽宁
港澳台,香港城市大学,2007,624.00,623.00,,2,本科提前批,,理科,辽宁
