招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
西藏,西藏大学,2013,551.00,518.00,,7,本科二批,19,文科,重庆
西藏,西藏大学,2012,532.00,513.00,,18,本科二批,19,文科,重庆
西藏,西藏大学,2008,554.00,532.00,,4,本科二批,22,文科,重庆
西藏,西藏大学,2006,524.00,506.00,,5,本科二三批,,文科,重庆
西藏,西藏大学,2006,524.00,506.00,,5,本科二批,20,文科,重庆
西藏,西藏大学,2013,560.00,530.00,,36,本科二批,19,文科,河北
西藏,西藏大学,2012,568.00,542.00,,48,本科二批,13,文科,河北
西藏,西藏大学,2011,546.00,538.00,,30,本科二批,14,文科,河北
西藏,西藏大学,2010,535.00,516.00,,24,本科二批,12,文科,河北
西藏,西藏大学,2009,535.00,519.00,,15,本科二批,17,文科,河北
西藏,西藏大学,2008,524.00,512.00,,16,本科二批,9,文科,河北
西藏,西藏大学,2006,547.00,538.00,,5,本科二三批,,文科,河北
西藏,西藏大学,2006,547.00,538.00,,5,本科二批,8,文科,河北
西藏,西藏大学,2013,506.00,485.00,,37,本科二批,20,文科,河南
西藏,西藏大学,2012,546.00,530.00,,30,本科二批,21,文科,河南
西藏,西藏大学,2011,559.00,527.00,,49,本科二批,12,文科,河南
西藏,西藏大学,2010,537.00,533.00,,33,本科一批,1,文科,河南
西藏,西藏大学,2009,561.00,530.00,,15,本科二批,20,文科,河南
西藏,西藏大学,2008,559.00,535.00,,14,本科二批,22,文科,河南
西藏,西藏大学,2007,585.00,565.00,,20,本科二批,13,文科,河南
西藏,西藏大学,2006,585.00,564.00,,10,本科二批,17,文科,河南
西藏,西藏大学,2006,585.00,564.00,,10,本科二三批,,文科,河南
西藏,西藏大学,2012,544.00,520.00,,20,本科二批,,文科,山东
西藏,西藏大学,2011,558.00,521.00,,35,本科二批,,文科,山东
西藏,西藏大学,2010,603.00,587.00,,12,本科二批,9,文科,山东
西藏,西藏大学,2009,590.00,584.00,,4,本科二批,,文科,山东
西藏,西藏大学,2008,568.00,568.00,,1,本科二批,2,文科,山东
西藏,西藏大学,2007,601.00,585.00,,9,本科二批,8,文科,山东
西藏,西藏大学,2006,575.00,558.00,,9,本科二批,9,文科,山东
西藏,西藏大学,2006,575.00,556.00,,10,本科二三批,,文科,山东
西藏,西藏大学,2013,493.00,478.00,,30,本科二批,19,文科,山西
西藏,西藏大学,2012,531.00,506.00,,13,本科二批,14,文科,山西
西藏,西藏大学,2011,521.00,516.00,,4,本科二批,20,文科,山西
西藏,西藏大学,2010,524.00,506.00,,18,本科二批,14,文科,山西
西藏,西藏大学,2009,535.00,525.00,,6,本科二批,18,文科,山西
西藏,西藏大学,2008,541.00,527.00,,3,本科二批,17,文科,山西
西藏,西藏大学,2007,570.00,561.00,,5,本科二批,8,文科,山西
西藏,西藏大学,2013,,,299.00,,本科二批,,文科,江苏
西藏,西藏大学,2013,,,519.00,9,本科二批,,文科,浙江
西藏,西藏大学,2013,521.00,498.00,,7,本科二批,18,文科,湖北
西藏,西藏大学,2012,559.00,535.00,,20,本科二批,20,文科,湖北
西藏,西藏大学,2011,544.00,529.00,,15,本科二批,22,文科,湖北
西藏,西藏大学,2010,521.00,498.00,,14,本科二批,10,文科,湖北
西藏,西藏大学,2006,529.00,524.00,,5,本科二三批,,文科,湖北
西藏,西藏大学,2006,529.00,524.00,,5,本科二批,5,文科,湖北
西藏,西藏大学,2013,537.00,520.00,,15,本科二批,18,文科,湖南
西藏,西藏大学,2012,550.00,534.00,,24,本科二批,11,文科,湖南
西藏,西藏大学,2011,559.00,539.00,,22,本科二批,11,文科,湖南
西藏,西藏大学,2010,563.00,540.00,,18,本科二批,17,文科,湖南
西藏,西藏大学,2010,,,563.00,,undefined,,文科,湖南
西藏,西藏大学,2009,528.00,521.00,,7,本科二批,14,文科,湖南
西藏,西藏大学,2006,566.00,559.00,,4,本科二批,3,文科,湖南
西藏,西藏大学,2006,566.00,559.00,,4,本科二三批,,文科,湖南
西藏,西藏大学,2013,549.00,548.00,,2,本科二批,2,文科,广东
西藏,西藏大学,2012,548.00,548.00,,1,本科二批,3,文科,广东
西藏,西藏大学,2011,516.00,477.00,,18,本科二批,21,文科,广西
西藏,西藏大学,2009,510.00,486.00,,9,本科二批,19,文科,广西
西藏,西藏大学,2008,510.00,489.00,,5,本科二批,19,文科,广西
西藏,西藏大学,2013,508.00,478.00,,11,本科二批,23,文科,云南
西藏,西藏大学,2012,499.00,476.00,,21,本科二批,16,文科,云南
西藏,西藏大学,2011,482.00,459.00,,36,本科二批,14,文科,云南
西藏,西藏大学,2010,483.00,462.00,,17,本科二批,12,文科,云南
西藏,西藏大学,2009,525.00,509.00,,15,本科二批,31,文科,云南
西藏,西藏大学,2008,545.00,525.00,,9,本科二批,15,文科,云南
西藏,西藏大学,2013,480.00,463.00,,11,本科二批,17,文科,贵州
西藏,西藏大学,2012,532.00,488.00,,14,本科二批,27,文科,贵州
西藏,西藏大学,2009,528.00,522.00,,5,本科二批,51,文科,贵州
西藏,西藏大学,2008,558.00,533.00,,5,本科二批,30,文科,贵州
西藏,西藏大学,2013,546.00,525.00,,45,本科二批,20,文科,四川
西藏,西藏大学,2012,492.00,468.00,,44,本科二批,14,文科,四川
西藏,西藏大学,2011,527.00,486.00,,83,本科二批,13,文科,四川
西藏,西藏大学,2010,548.00,506.00,,47,本科二批,23,文科,四川
西藏,西藏大学,2009,525.00,494.00,,14,本科二批,14,文科,四川
西藏,西藏大学,2008,580.00,566.00,,16,本科二批,18,文科,四川
西藏,西藏大学,2007,535.00,523.00,,25,本科二批,14,文科,四川
西藏,西藏大学,2006,524.00,513.00,,10,本科二批,11,文科,四川
西藏,西藏大学,2006,524.00,513.00,,10,本科二三批,,文科,四川
西藏,西藏大学,2013,536.00,505.00,,39,本科二批,19,文科,陕西
西藏,西藏大学,2012,536.00,516.00,,56,本科二批,19,文科,陕西
西藏,西藏大学,2011,542.00,509.00,,20,本科二批,14,文科,陕西
西藏,西藏大学,2010,567.00,520.00,,20,本科二批,20,文科,陕西
西藏,西藏大学,2009,521.00,507.00,,15,本科二批,12,文科,陕西
西藏,西藏大学,2008,567.00,539.00,,11,本科二批,19,文科,陕西
西藏,西藏大学,2007,565.00,546.00,,10,本科二批,16,文科,陕西
西藏,西藏大学,2006,545.00,532.00,,4,本科二批,12,文科,陕西
西藏,西藏大学,2006,545.00,532.00,,4,本科二三批,,文科,陕西
西藏,西藏大学,2013,434.00,409.00,,3,本科二批,27,文科,青海
西藏,西藏大学,2010,420.00,399.00,,10,本科二批,13,文科,青海
西藏,西藏大学,2008,459.00,446.00,,4,本科二批,21,文科,青海
西藏,西藏大学,2010,486.00,476.00,,5,本科二批,26,文科,黑龙江
西藏,西藏大学,2010,505.00,478.00,,5,本科二批,53,文科,吉林
西藏,西藏大学,2010,473.00,473.00,,1,本科二批,8,文科,辽宁
西藏,西藏大学,2013,452.00,372.00,,37,本科二批,37,文科,西藏
西藏,西藏大学,2012,479.00,383.00,,37,本科二批,38,文科,西藏
西藏,西藏大学,2011,476.00,378.00,,33,本科二批,28,文科,西藏
西藏,西藏大学,2010,409.00,345.00,,57,本科二批,30,文科,西藏
西藏,西藏大学,2010,373.00,267.00,,105,本科三批,,文科,西藏
西藏,西藏大学,2010,281.00,212.00,,52,本科提前批,,文科,西藏
西藏,西藏大学,2009,430.00,351.00,,67,本科二批,36,文科,西藏
西藏,西藏大学,2009,277.00,240.00,,21,本科提前批,,文科,西藏
西藏,西藏大学,2008,489.00,405.00,,90,本科二批,45,文科,西藏
西藏,西藏大学,2008,471.00,353.00,,33,本科三批,,文科,西藏
西藏,西藏大学,2007,554.00,429.00,,167,本科二三批,,文科,西藏
西藏,西藏大学,2007,554.00,429.00,,167,本科二批,59,文科,西藏
西藏,西藏大学,2006,576.00,404.00,,224,本科二批,52,文科,西藏
西藏,西藏大学,2006,576.00,329.00,,803,本科二三批,,文科,西藏
西藏,西藏大学,2005,576.00,409.00,,230,本科二批,89,文科,西藏
西藏,西藏大学,2013,521.00,474.00,,51,本科二批,23,文科,甘肃
西藏,西藏大学,2012,529.00,502.00,,58,本科二批,17,文科,甘肃
西藏,西藏大学,2011,498.00,472.00,,85,本科二批,14,文科,甘肃
西藏,西藏大学,2010,510.00,490.00,,46,本科二批,23,文科,甘肃
西藏,西藏大学,2009,518.00,502.00,,20,本科二批,36,文科,甘肃
西藏,西藏大学,2008,553.00,537.00,,10,本科二批,36,文科,甘肃
西藏,西藏民族学院,2013,519.00,508.00,,15,本科二批,9,文科,重庆
西藏,西藏民族学院,2012,537.00,513.00,,4,本科二批,19,文科,重庆
西藏,西藏民族学院,2011,537.00,515.00,,11,本科二批,11,文科,重庆
西藏,西藏民族学院,2007,520.00,491.00,,36,本科二批,15,文科,重庆
西藏,西藏民族学院,2006,524.00,499.00,,12,本科二三批,,文科,重庆
西藏,西藏民族学院,2006,524.00,499.00,,12,本科二批,13,文科,重庆
西藏,西藏民族学院,2013,540.00,524.00,,55,本科二批,13,文科,河北
西藏,西藏民族学院,2012,550.00,536.00,,48,本科二批,7,文科,河北
