招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
青海,青海大学,2013,551.00,551.00,,1,本科一批,1,理科,北京
青海,青海大学,2010,542.00,532.00,,2,本科一批,38,理科,北京
青海,青海大学,2013,527.00,527.00,,1,本科一批,6,理科,天津
青海,青海大学,2010,529.00,521.00,,2,本科一批,12,理科,天津
青海,青海大学,2009,538.00,511.00,,12,本科一批,9,理科,天津
青海,青海大学,2008,517.00,482.00,,11,本科二批,16,理科,天津
青海,青海大学,2008,517.00,488.00,,16,本科二三批,,理科,天津
青海,青海大学,2007,473.00,463.00,,12,本科二批,10,理科,天津
青海,青海大学,2007,473.00,459.00,,16,本科二三批,,理科,天津
青海,青海大学,2006,504.00,470.00,,20,本科二批,15,理科,天津
青海,青海大学,2006,504.00,469.00,,21,本科二三批,,理科,天津
青海,青海大学,2005,445.00,423.00,,5,本科二批,15,理科,天津
青海,青海大学,2012,424.00,424.00,,1,本科一批,1,理科,上海
青海,青海大学,2013,561.00,547.00,,20,本科一批,27,理科,重庆
青海,青海大学,2012,579.00,542.00,,20,本科一批,20,理科,重庆
青海,青海大学,2011,554.00,537.00,,18,本科一批,4,理科,重庆
青海,青海大学,2010,563.00,543.00,,17,本科一批,10,理科,重庆
青海,青海大学,2009,577.00,565.00,,13,本科一批,8,理科,重庆
青海,青海大学,2008,537.00,507.00,,14,本科二批,19,理科,重庆
青海,青海大学,2007,492.00,478.00,,15,本科二批,28,理科,重庆
青海,青海大学,2006,514.00,498.00,,10,本科二批,22,理科,重庆
青海,青海大学,2006,514.00,497.00,,10,本科二三批,,理科,重庆
青海,青海大学,2005,539.00,522.00,,8,本科二批,28,理科,重庆
青海,青海大学,2013,608.00,551.00,,81,本科一批,13,理科,河北
青海,青海大学,2012,582.00,571.00,,73,本科一批,7,理科,河北
青海,青海大学,2011,609.00,587.00,,68,本科一批,6,理科,河北
青海,青海大学,2010,574.00,566.00,,49,本科一批,5,理科,河北
青海,青海大学,2009,600.00,578.00,,30,本科一批,9,理科,河北
青海,青海大学,2008,552.00,536.00,,80,本科二批,22,理科,河北
青海,青海大学,2007,590.00,578.00,,61,本科二批,29,理科,河北
