招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
上海,复旦大学,2013,667.00,646.00,,17,本科一批,97,文科,北京
上海,复旦大学,2012,614.00,599.00,,12,本科一批,104,文科,北京
上海,复旦大学,2011,657.00,627.00,,11,本科一批,103,文科,北京
上海,复旦大学,2010,655.00,614.00,,14,本科一批,90,文科,北京
上海,复旦大学,2009,627.00,610.00,,14,本科一批,78,文科,北京
上海,复旦大学,2008,636.00,606.00,,16,本科一批,91,文科,北京
上海,复旦大学,2007,639.00,618.00,,26,本科一批,90,文科,北京
上海,复旦大学,2006,630.00,607.00,,23,本科一批,91,文科,北京
上海,复旦大学,2006,601.00,575.00,,2,本科提前批,,文科,北京
上海,复旦大学,2005,629.00,582.00,,24,本科一批,96,文科,北京
上海,复旦大学,2004,,,,,不详,,文科,北京
上海,复旦大学,2003,,,,,不详,,文科,北京
上海,复旦大学,2002,,,,,不详,,文科,北京
上海,复旦大学,2001,,545.00,,,不详,,文科,北京
上海,复旦大学,2013,645.00,635.00,,10,本科一批,102,文科,天津
上海,复旦大学,2012,669.00,654.00,,11,本科一批,105,文科,天津
上海,复旦大学,2011,639.00,621.00,,15,本科一批,102,文科,天津
上海,复旦大学,2010,638.00,628.00,,15,本科一批,109,文科,天津
上海,复旦大学,2010,617.00,617.00,,1,本科提前批,,文科,天津
上海,复旦大学,2009,647.00,613.00,,13,本科一批,102,文科,天津
上海,复旦大学,2008,635.00,615.00,,12,本科一批,92,文科,天津
上海,复旦大学,2007,621.00,600.00,,15,本科一批,87,文科,天津
上海,复旦大学,2006,607.00,581.00,,15,本科一批,104,文科,天津
上海,复旦大学,2005,609.00,580.00,,12,本科一批,82,文科,天津
上海,复旦大学,2003,,,,,不详,,文科,天津
上海,复旦大学,2002,,,,,不详,,文科,天津
上海,复旦大学,2001,,616.00,,,不详,,文科,天津
上海,复旦大学,2013,524.00,497.00,,120,本科一批,49,文科,上海
上海,复旦大学,2012,525.00,496.00,,120,本科一批,58,文科,上海
上海,复旦大学,2011,576.00,532.00,,146,本科一批,64,文科,上海
上海,复旦大学,2010,553.00,530.00,,57,本科一批,66,文科,上海
上海,复旦大学,2010,539.00,517.00,,37,本科提前批,,文科,上海
