招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
上海,复旦大学,2013,696.00,681.00,,30,本科一批,131,理科,北京
上海,复旦大学,2012,670.00,640.00,,52,本科一批,163,理科,北京
上海,复旦大学,2011,686.00,657.00,,29,本科一批,173,理科,北京
上海,复旦大学,2010,682.00,644.00,,49,本科一批,150,理科,北京
上海,复旦大学,2009,666.00,630.00,,34,本科一批,129,理科,北京
上海,复旦大学,2008,670.00,643.00,,57,本科一批,141,理科,北京
上海,复旦大学,2007,684.00,644.00,,59,本科一批,113,理科,北京
上海,复旦大学,2006,683.00,644.00,,60,本科一批,116,理科,北京
上海,复旦大学,2005,644.00,609.00,,60,本科一批,139,理科,北京
上海,复旦大学,2004,,,,,不详,,理科,北京
上海,复旦大学,2003,,,,,不详,,理科,北京
上海,复旦大学,2002,,,,,不详,,理科,北京
上海,复旦大学,2001,,598.00,,,不详,,理科,北京
上海,复旦大学,2013,681.00,657.00,,16,本科一批,136,理科,天津
上海,复旦大学,2012,691.00,676.00,,26,本科一批,146,理科,天津
上海,复旦大学,2011,671.00,660.00,,21,本科一批,145,理科,天津
上海,复旦大学,2010,672.00,646.00,,19,本科一批,137,理科,天津
上海,复旦大学,2009,663.00,646.00,,16,本科一批,144,理科,天津
上海,复旦大学,2008,671.00,655.00,,14,本科一批,133,理科,天津
上海,复旦大学,2007,648.00,635.00,,10,本科一批,126,理科,天津
上海,复旦大学,2006,658.00,643.00,,12,本科一批,138,理科,天津
上海,复旦大学,2005,643.00,609.00,,10,本科一批,151,理科,天津
上海,复旦大学,2003,,,,,不详,,理科,天津
上海,复旦大学,2002,,,,,不详,,理科,天津
上海,复旦大学,2001,,656.00,,,不详,,理科,天津
上海,复旦大学,2013,537.00,484.00,,459,本科一批,79,理科,上海
上海,复旦大学,2012,557.00,492.00,,538,本科一批,69,理科,上海
上海,复旦大学,2011,581.00,527.00,,603,本科一批,65,理科,上海
上海,复旦大学,2010,553.00,531.00,,162,本科一批,66,理科,上海
上海,复旦大学,2010,548.00,515.00,,25,本科提前批,,理科,上海
上海,复旦大学,2009,568.00,520.00,,689,本科一批,65,理科,上海
上海,复旦大学,2009,530.00,492.00,,21,本科提前批,,理科,上海
上海,复旦大学,2008,574.00,525.00,,399,本科提前批,,理科,上海
上海,复旦大学,2008,559.00,536.00,,331,本科一批,69,理科,上海
上海,复旦大学,2007,563.00,522.00,,949,本科一批,61,理科,上海
上海,复旦大学,2007,552.00,517.00,,20,本科提前批,,理科,上海
上海,复旦大学,2006,575.00,533.00,,1024,本科一批,67,理科,上海
上海,复旦大学,2006,556.00,523.00,,19,本科提前批,,理科,上海
上海,复旦大学,2005,628.00,537.00,,1197,本科一批,,理科,上海
上海,复旦大学,2005,560.00,526.00,,26,本科提前批,,理科,上海
上海,复旦大学,2004,,,517.00,,不详,,理科,上海
上海,复旦大学,2003,,,,,不详,,理科,上海
上海,复旦大学,2002,,,,,不详,,理科,上海
上海,复旦大学,2001,,492.00,,,不详,,理科,上海
上海,复旦大学,2013,660.00,650.00,,18,本科一批,130,理科,重庆
上海,复旦大学,2012,673.00,665.00,,33,本科一批,143,理科,重庆
上海,复旦大学,2011,671.00,664.00,,22,本科一批,131,理科,重庆
上海,复旦大学,2010,673.00,666.00,,24,本科一批,133,理科,重庆
上海,复旦大学,2010,646.00,646.00,,1,本科提前批,,理科,重庆
上海,复旦大学,2009,677.00,669.00,,21,本科一批,112,理科,重庆
上海,复旦大学,2008,682.00,662.00,,25,本科一批,118,理科,重庆
上海,复旦大学,2007,657.00,624.00,,23,本科一批,119,理科,重庆
上海,复旦大学,2006,673.00,656.00,,30,本科一批,125,理科,重庆
上海,复旦大学,2005,681.00,654.00,,30,本科一批,106,理科,重庆
上海,复旦大学,2004,,,,,不详,,理科,重庆
上海,复旦大学,2003,,,,,不详,,理科,重庆
上海,复旦大学,2002,,,,,不详,,理科,重庆
上海,复旦大学,2001,,659.00,,,不详,,理科,重庆
上海,复旦大学,2013,678.00,656.00,,23,本科一批,118,理科,河北
上海,复旦大学,2012,686.00,678.00,,16,本科一批,114,理科,河北
上海,复旦大学,2011,690.00,680.00,,17,本科一批,99,理科,河北
上海,复旦大学,2010,671.00,661.00,,18,本科一批,100,理科,河北
上海,复旦大学,2010,657.00,632.00,,13,本科提前批,,理科,河北
上海,复旦大学,2009,676.00,663.00,,16,本科一批,94,理科,河北
上海,复旦大学,2009,663.00,623.00,,7,本科提前批,,理科,河北
上海,复旦大学,2008,657.00,634.00,,15,本科一批,82,理科,河北
上海,复旦大学,2007,677.00,660.00,,13,本科一批,73,理科,河北
上海,复旦大学,2006,658.00,645.00,,12,本科一批,68,理科,河北
上海,复旦大学,2005,641.00,622.00,,12,本科一批,71,理科,河北
上海,复旦大学,2004,,,675.00,,不详,,理科,河北
上海,复旦大学,2003,,,,,不详,,理科,河北
上海,复旦大学,2002,,,,,不详,,理科,河北
上海,复旦大学,2001,,656.00,,,不详,,理科,河北
上海,复旦大学,2013,652.00,634.00,,33,本科一批,129,理科,河南
上海,复旦大学,2012,671.00,654.00,,57,本科一批,114,理科,河南
上海,复旦大学,2011,679.00,667.00,,49,本科一批,85,理科,河南
上海,复旦大学,2010,651.00,642.00,,48,本科一批,90,理科,河南
上海,复旦大学,2010,629.00,629.00,,1,本科提前批,,理科,河南
上海,复旦大学,2009,673.00,645.00,,36,本科一批,78,理科,河南
上海,复旦大学,2008,654.00,634.00,,28,本科一批,71,理科,河南
上海,复旦大学,2007,679.00,664.00,,32,本科一批,68,理科,河南
上海,复旦大学,2006,678.00,651.00,,31,本科一批,61,理科,河南
上海,复旦大学,2005,679.00,650.00,,28,本科一批,82,理科,河南
上海,复旦大学,2003,,,,,不详,,理科,河南
上海,复旦大学,2002,,,,,不详,,理科,河南
上海,复旦大学,2001,,663.00,,,不详,,理科,河南
上海,复旦大学,2013,691.00,663.00,,54,本科一批,109,理科,山东
上海,复旦大学,2012,696.00,677.00,,58,本科一批,95,理科,山东
