招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
北京,北京大学,2013,685.00,659.00,,79,本科一批,110,文科,北京
北京,北京大学,2012,670.00,622.00,,83,本科一批,127,文科,北京
北京,北京大学,2012,,,615.00,,本科提前批,,文科,北京
北京,北京大学,2011,675.00,645.00,,79,本科一批,121,文科,北京
北京,北京大学,2010,675.00,639.00,,81,本科一批,115,文科,北京
北京,北京大学,2009,670.00,636.00,,92,本科一批,104,文科,北京
北京,北京大学,2008,652.00,631.00,,90,本科一批,116,文科,北京
北京,北京大学,2007,685.00,635.00,,96,本科一批,107,文科,北京
北京,北京大学,2006,672.00,635.00,,94,本科一批,119,文科,北京
北京,北京大学,2005,641.00,608.00,,108,本科一批,122,文科,北京
北京,北京大学,2004,,,,,不详,,文科,北京
北京,北京大学,2003,,,,,不详,,文科,北京
北京,北京大学,2002,,,,,不详,,文科,北京
北京,北京大学,2001,,581.00,,,不详,,文科,北京
北京,北京大学,2013,663.00,644.00,,20,本科一批,111,文科,天津
北京,北京大学,2012,686.00,660.00,,24,本科一批,111,文科,天津
北京,北京大学,2011,665.00,637.00,,29,本科一批,118,文科,天津
北京,北京大学,2010,675.00,640.00,,33,本科一批,121,文科,天津
北京,北京大学,2009,651.00,631.00,,28,本科一批,120,文科,天津
北京,北京大学,2008,669.00,640.00,,30,本科一批,117,文科,天津
北京,北京大学,2007,660.00,615.00,,27,本科一批,102,文科,天津
北京,北京大学,2006,629.00,587.00,,32,本科一批,110,文科,天津
北京,北京大学,2005,635.00,609.00,,28,本科一批,111,文科,天津
北京,北京大学,2004,,,,,不详,,文科,天津
北京,北京大学,2003,,,,,不详,,文科,天津
北京,北京大学,2002,,,,,不详,,文科,天津
北京,北京大学,2001,,634.00,,,不详,,文科,天津
北京,北京大学,2014,,,,,本科一批,,文科,上海
北京,北京大学,2013,,,,,本科一批,,文科,上海
北京,北京大学,2012,,,518.00,,本科一批,,文科,上海
北京,北京大学,2010,560.00,545.00,,9,本科提前批,,文科,上海
北京,北京大学,2009,560.00,539.00,,30,本科提前批,,文科,上海
北京,北京大学,2008,565.00,536.00,,23,本科提前批,,文科,上海
北京,北京大学,2007,559.00,543.00,,24,本科提前批,,文科,上海
北京,北京大学,2006,575.00,555.00,,32,本科提前批,,文科,上海
北京,北京大学,2005,566.00,553.00,,21,本科提前批,,文科,上海
北京,北京大学,2004,,,,,不详,,文科,上海
北京,北京大学,2003,,,,,不详,,文科,上海
北京,北京大学,2002,,,,,不详,,文科,上海
北京,北京大学,2001,,510.00,,,不详,,文科,上海
北京,北京大学,2013,685.00,668.00,,14,本科一批,112,文科,重庆
北京,北京大学,2012,681.00,664.00,,15,本科一批,110,文科,重庆
北京,北京大学,2011,672.00,661.00,,12,本科一批,97,文科,重庆
北京,北京大学,2010,688.00,671.00,,18,本科一批,98,文科,重庆
北京,北京大学,2010,665.00,664.00,,3,本科提前批,,文科,重庆
北京,北京大学,2009,655.00,647.00,,25,本科一批,101,文科,重庆
北京,北京大学,2008,666.00,652.00,,22,本科一批,76,文科,重庆
北京,北京大学,2007,652.00,630.00,,28,本科一批,90,文科,重庆
北京,北京大学,2006,673.00,655.00,,32,本科一批,99,文科,重庆
北京,北京大学,2005,676.00,650.00,,29,本科一批,101,文科,重庆
北京,北京大学,2004,,,,,不详,,文科,重庆
北京,北京大学,2003,,,,,不详,,文科,重庆
北京,北京大学,2002,,,,,不详,,文科,重庆
北京,北京大学,2001,,620.00,,,不详,,文科,重庆
北京,北京大学,2013,666.00,658.00,,19,本科一批,97,文科,河北
北京,北京大学,2012,677.00,659.00,,18,本科一批,87,文科,河北
北京,北京大学,2011,655.00,643.00,,19,本科一批,81,文科,河北
北京,北京大学,2010,636.00,618.00,,22,本科一批,79,文科,河北
北京,北京大学,2009,620.00,609.00,,19,本科一批,70,文科,河北
北京,北京大学,2008,645.00,618.00,,34,本科一批,81,文科,河北
北京,北京大学,2007,642.00,624.00,,29,本科一批,58,文科,河北
北京,北京大学,2006,651.00,626.00,,30,本科一批,65,文科,河北
北京,北京大学,2005,639.00,620.00,,29,本科一批,84,文科,河北
北京,北京大学,2004,,,,,不详,,文科,河北
北京,北京大学,2003,,,,,不详,,文科,河北
北京,北京大学,2002,,,,,不详,,文科,河北
北京,北京大学,2001,,628.00,,,不详,,文科,河北
北京,北京大学,2013,638.00,613.00,,33,本科一批,94,文科,河南
北京,北京大学,2012,662.00,641.00,,33,本科一批,84,文科,河南
北京,北京大学,2011,658.00,638.00,,26,本科一批,76,文科,河南
北京,北京大学,2010,645.00,608.00,,32,本科一批,76,文科,河南
北京,北京大学,2010,604.00,590.00,,8,本科提前批,,文科,河南
北京,北京大学,2009,637.00,619.00,,31,本科一批,67,文科,河南
北京,北京大学,2009,609.00,601.00,,5,本科提前批,,文科,河南
北京,北京大学,2008,667.00,632.00,,28,本科一批,75,文科,河南
北京,北京大学,2008,619.00,619.00,,1,本科提前批,,文科,河南
北京,北京大学,2007,667.00,638.00,,36,本科一批,49,文科,河南
北京,北京大学,2007,653.00,638.00,,3,本科提前批,,文科,河南
北京,北京大学,2006,680.00,655.00,,31,本科一批,64,文科,河南
