招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
北京,北京大学,2013,720.00,692.00,,136,本科一批,142,理科,北京
北京,北京大学,2012,702.00,660.00,,150,本科一批,183,理科,北京
北京,北京大学,2012,,,653.00,,本科提前批,,理科,北京
北京,北京大学,2011,690.00,662.00,,144,本科一批,178,理科,北京
北京,北京大学,2010,699.00,663.00,,153,本科一批,169,理科,北京
北京,北京大学,2009,690.00,653.00,,180,本科一批,152,理科,北京
北京,北京大学,2008,700.00,661.00,,182,本科一批,159,理科,北京
北京,北京大学,2007,706.00,669.00,,190,本科一批,138,理科,北京
北京,北京大学,2006,711.00,672.00,,196,本科一批,144,理科,北京
北京,北京大学,2005,687.00,621.00,,360,本科一批,151,理科,北京
北京,北京大学,2005,616.00,584.00,,74,本科二批,170,理科,北京
北京,北京大学,2004,,,,,不详,,理科,北京
北京,北京大学,2003,,,,,不详,,理科,北京
北京,北京大学,2002,,,,,不详,,理科,北京
北京,北京大学,2001,,611.00,,,不详,,理科,北京
北京,北京大学,2013,695.00,672.00,,32,本科一批,151,理科,天津
北京,北京大学,2012,706.00,683.00,,29,本科一批,153,理科,天津
北京,北京大学,2011,686.00,667.00,,38,本科一批,152,理科,天津
北京,北京大学,2010,679.00,656.00,,41,本科一批,147,理科,天津
北京,北京大学,2009,703.00,662.00,,35,本科一批,160,理科,天津
北京,北京大学,2008,689.00,671.00,,33,本科一批,149,理科,天津
北京,北京大学,2007,683.00,653.00,,34,本科一批,144,理科,天津
北京,北京大学,2006,683.00,649.00,,37,本科一批,144,理科,天津
北京,北京大学,2005,667.00,623.00,,51,本科一批,165,理科,天津
北京,北京大学,2004,,,,,不详,,理科,天津
北京,北京大学,2003,,,,,不详,,理科,天津
北京,北京大学,2002,,,,,不详,,理科,天津
北京,北京大学,2001,,659.00,,,不详,,理科,天津
北京,北京大学,2014,,,,,本科一批,,理科,上海
北京,北京大学,2013,,,,,本科一批,,理科,上海
北京,北京大学,2012,,,532.00,,本科一批,,理科,上海
北京,北京大学,2010,553.00,544.00,,6,本科提前批,,理科,上海
北京,北京大学,2009,574.00,551.00,,35,本科提前批,,理科,上海
北京,北京大学,2008,580.00,552.00,,42,本科提前批,,理科,上海
北京,北京大学,2007,573.00,549.00,,44,本科提前批,,理科,上海
北京,北京大学,2006,578.00,559.00,,39,本科提前批,,理科,上海
北京,北京大学,2005,658.00,564.00,,37,本科提前批,,理科,上海
北京,北京大学,2004,,,,,不详,,理科,上海
北京,北京大学,2003,,,,,不详,,理科,上海
北京,北京大学,2002,,,,,不详,,理科,上海
北京,北京大学,2001,,621.00,,,不详,,理科,上海
北京,北京大学,2013,693.00,671.00,,14,本科一批,151,理科,重庆
北京,北京大学,2012,695.00,682.00,,14,本科一批,160,理科,重庆
北京,北京大学,2011,690.00,678.00,,15,本科一批,145,理科,重庆
北京,北京大学,2010,693.00,676.00,,28,本科一批,143,理科,重庆
北京,北京大学,2009,692.00,678.00,,38,本科一批,121,理科,重庆
北京,北京大学,2008,706.00,675.00,,34,本科一批,131,理科,重庆
北京,北京大学,2008,684.00,677.00,,3,本科提前批,,理科,重庆
北京,北京大学,2007,680.00,649.00,,39,本科一批,144,理科,重庆
北京,北京大学,2007,659.00,649.00,,3,本科提前批,,理科,重庆
北京,北京大学,2006,697.00,670.00,,38,本科一批,139,理科,重庆
北京,北京大学,2006,665.00,657.00,,3,本科提前批,,理科,重庆
北京,北京大学,2005,689.00,657.00,,62,本科一批,109,理科,重庆
北京,北京大学,2004,,,,,不详,,理科,重庆
北京,北京大学,2003,,,,,不详,,理科,重庆
北京,北京大学,2002,,,,,不详,,理科,重庆
北京,北京大学,2001,,655.00,,,不详,,理科,重庆
北京,北京大学,2013,700.00,686.00,,17,本科一批,148,理科,河北
北京,北京大学,2012,698.00,692.00,,9,本科一批,128,理科,河北
北京,北京大学,2011,700.00,689.00,,8,本科一批,108,理科,河北
北京,北京大学,2010,698.00,675.00,,11,本科一批,114,理科,河北
北京,北京大学,2009,694.00,677.00,,14,本科一批,108,理科,河北
北京,北京大学,2008,669.00,655.00,,21,本科一批,103,理科,河北
北京,北京大学,2007,693.00,676.00,,23,本科一批,89,理科,河北
北京,北京大学,2006,674.00,658.00,,26,本科一批,81,理科,河北
北京,北京大学,2005,664.00,646.00,,48,本科一批,95,理科,河北
北京,北京大学,2004,,,,,不详,,理科,河北
北京,北京大学,2003,,,,,不详,,理科,河北
北京,北京大学,2002,,,,,不详,,理科,河北
北京,北京大学,2001,,650.00,,,不详,,理科,河北
北京,北京大学,2013,672.00,648.00,,29,本科一批,143,理科,河南
北京,北京大学,2012,683.00,668.00,,26,本科一批,128,理科,河南
北京,北京大学,2011,694.00,679.00,,30,本科一批,97,理科,河南
北京,北京大学,2010,677.00,652.00,,50,本科一批,100,理科,河南
北京,北京大学,2009,686.00,662.00,,50,本科一批,95,理科,河南
北京,北京大学,2009,672.00,660.00,,4,本科提前批,,理科,河南
北京,北京大学,2008,692.00,663.00,,41,本科一批,100,理科,河南
