招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
北京,北京大学,2008,404.00,389.00,,51,本科一批,59,综合,江苏
北京,北京大学,2007,694.00,666.00,,59,本科一批,78,综合,江苏
北京,北京大学,2006,684.00,657.00,,72,本科一批,85,综合,江苏
北京,北京大学,2006,900.00,849.00,,56,本科一批,212,综合,广东
北京,中国人民大学,2008,389.00,379.00,,72,本科一批,49,综合,江苏
北京,中国人民大学,2007,679.00,653.00,,86,本科一批,65,综合,江苏
北京,中国人民大学,2007,641.00,620.00,,4,本科提前批,,综合,江苏
北京,中国人民大学,2006,669.00,642.00,,84,本科一批,70,综合,江苏
北京,中国人民大学,2006,605.00,600.00,,6,本科提前批,,综合,江苏
北京,中国人民大学,2006,900.00,797.00,,75,本科一批,160,综合,广东
北京,中国人民大学,2006,752.00,742.00,,6,本科提前批,,综合,广东
北京,清华大学,2008,411.00,395.00,,68,本科一批,65,综合,江苏
北京,清华大学,2007,704.00,682.00,,80,本科一批,94,综合,江苏
北京,清华大学,2006,689.00,669.00,,102,本科一批,97,综合,江苏
北京,清华大学,2006,900.00,855.00,,68,本科一批,218,综合,广东
北京,北京航空航天大学,2008,384.00,368.00,,62,本科一批,38,综合,江苏
北京,北京航空航天大学,2007,662.00,648.00,,60,本科一批,60,综合,江苏
北京,北京航空航天大学,2007,645.00,626.00,,5,本科提前批,,综合,江苏
北京,北京航空航天大学,2006,651.00,638.00,,61,本科一批,66,综合,江苏
北京,北京航空航天大学,2006,816.00,751.00,,42,本科一批,114,综合,广东
北京,北京航空航天大学,2006,775.00,615.00,,30,本科提前批,,综合,广东
北京,北京理工大学,2008,369.00,358.00,,69,本科一批,28,综合,江苏
北京,北京理工大学,2007,646.00,631.00,,75,本科一批,43,综合,江苏
北京,北京理工大学,2007,617.00,606.00,,5,本科提前批,,综合,江苏
北京,北京理工大学,2006,636.00,622.00,,86,本科一批,50,综合,江苏
北京,北京理工大学,2006,594.00,583.00,,5,本科提前批,,综合,江苏
北京,北京理工大学,2006,766.00,721.00,,60,本科一批,84,综合,广东
北京,中国农业大学,2008,376.00,353.00,,88,本科一批,23,综合,江苏
北京,中国农业大学,2007,650.00,617.00,,93,本科一批,29,综合,江苏
北京,中国农业大学,2006,650.00,605.00,,82,本科一批,33,综合,江苏
北京,中国农业大学,2006,794.00,690.00,,38,本科一批,53,综合,广东
北京,北京师范大学,2012,,,586.00,,本科提前批,,综合,北京
北京,北京师范大学,2008,372.00,351.00,,20,本科一批,21,综合,江苏
北京,北京师范大学,2007,641.00,629.00,,16,本科一批,41,综合,江苏
北京,北京师范大学,2006,631.00,619.00,,13,本科一批,47,综合,江苏
北京,北京师范大学,2006,578.00,577.00,,2,本科提前批,,综合,江苏
北京,北京师范大学,2006,785.00,762.00,,7,本科一批,125,综合,广东
北京,中央民族大学,2008,364.00,346.00,,48,本科一批,16,综合,江苏
北京,中央民族大学,2007,623.00,604.00,,43,本科一批,16,综合,江苏
北京,中央民族大学,2006,605.00,588.00,,53,本科一批,16,综合,江苏
北京,中央民族大学,2006,716.00,676.00,,14,本科一批,39,综合,广东
北京,北京交通大学,2008,364.00,353.00,,54,本科一批,23,综合,江苏
北京,北京交通大学,2007,639.00,621.00,,51,本科一批,33,综合,江苏
北京,北京交通大学,2007,615.00,605.00,,6,本科提前批,,综合,江苏
北京,北京交通大学,2006,628.00,616.00,,51,本科一批,44,综合,江苏
北京,北京交通大学,2006,600.00,589.00,,5,本科提前批,,综合,江苏
北京,北京交通大学,2006,757.00,692.00,,74,本科一批,55,综合,广东
北京,北京工业大学,2008,356.00,343.00,,20,本科一批,13,综合,江苏
北京,北京工业大学,2007,626.00,614.00,,20,本科一批,26,综合,江苏
北京,北京工业大学,2006,624.00,608.00,,24,本科一批,36,综合,江苏
北京,北京科技大学,2008,367.00,353.00,,99,本科一批,23,综合,江苏
北京,北京科技大学,2007,640.00,628.00,,103,本科一批,40,综合,江苏
北京,北京科技大学,2007,606.00,603.00,,3,本科提前批,,综合,江苏
北京,北京科技大学,2006,634.00,614.00,,104,本科一批,42,综合,江苏
北京,北京科技大学,2006,770.00,698.00,,30,本科一批,61,综合,广东
北京,北京化工大学,2008,360.00,342.00,,107,本科一批,12,综合,江苏
北京,北京化工大学,2007,629.00,616.00,,106,本科一批,28,综合,江苏
北京,北京化工大学,2006,616.00,599.00,,108,本科一批,27,综合,江苏
北京,北京化工大学,2006,733.00,671.00,,64,本科一批,34,综合,广东
北京,北京邮电大学,2008,385.00,362.00,,43,本科一批,32,综合,江苏
北京,北京邮电大学,2007,676.00,642.00,,51,本科一批,54,综合,江苏
北京,北京邮电大学,2006,650.00,631.00,,57,本科一批,59,综合,江苏
北京,北京邮电大学,2006,838.00,737.00,,120,本科一批,100,综合,广东
北京,北京林业大学,2008,361.00,340.00,,145,本科一批,10,综合,江苏
北京,北京林业大学,2007,622.00,605.00,,135,本科一批,17,综合,江苏
北京,北京林业大学,2007,608.00,596.00,,3,本科提前批,,综合,江苏
北京,北京林业大学,2006,626.00,591.00,,136,本科一批,19,综合,江苏
北京,北京林业大学,2006,589.00,582.00,,2,本科提前批,,综合,江苏
北京,北京林业大学,2006,862.00,676.00,,50,本科一批,39,综合,广东
北京,北京协和医学院,2008,354.00,343.00,,13,本科一批,13,综合,江苏
