招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
天津,南开大学,2013,653.00,633.00,,21,本科一批,84,文科,北京
天津,南开大学,2012,601.00,568.00,,25,本科一批,73,文科,北京
天津,南开大学,2011,645.00,609.00,,28,本科一批,85,文科,北京
天津,南开大学,2010,620.00,592.00,,24,本科一批,68,文科,北京
天津,南开大学,2009,622.00,598.00,,24,本科一批,66,文科,北京
天津,南开大学,2008,611.00,592.00,,26,本科一批,77,文科,北京
天津,南开大学,2008,553.00,553.00,,1,本科提前批,,文科,北京
天津,南开大学,2007,612.00,580.00,,25,本科一批,52,文科,北京
天津,南开大学,2006,618.00,598.00,,30,本科一批,82,文科,北京
天津,南开大学,2006,602.00,586.00,,4,本科提前批,,文科,北京
天津,南开大学,2005,578.00,553.00,,25,本科一批,67,文科,北京
天津,南开大学,2004,,,,,不详,,文科,北京
天津,南开大学,2003,,550.00,,,不详,,文科,北京
天津,南开大学,2002,,,,,不详,,文科,北京
天津,南开大学,2001,,512.00,,,不详,,文科,北京
天津,南开大学,2013,654.00,609.00,,263,本科一批,76,文科,天津
天津,南开大学,2012,670.00,636.00,,273,本科一批,87,文科,天津
天津,南开大学,2011,629.00,600.00,,262,本科一批,81,文科,天津
天津,南开大学,2010,640.00,600.00,,278,本科一批,81,文科,天津
天津,南开大学,2009,639.00,591.00,,258,本科一批,80,文科,天津
天津,南开大学,2009,606.00,604.00,,2,本科提前批,,文科,天津
天津,南开大学,2008,644.00,599.00,,267,本科一批,76,文科,天津
天津,南开大学,2008,583.00,555.00,,3,本科提前批,,文科,天津
天津,南开大学,2007,636.00,581.00,,269,本科一批,68,文科,天津
天津,南开大学,2007,600.00,590.00,,2,本科提前批,,文科,天津
天津,南开大学,2006,607.00,548.00,,272,本科一批,71,文科,天津
天津,南开大学,2006,529.00,529.00,,1,本科提前批,,文科,天津
天津,南开大学,2005,613.00,568.00,,287,本科一批,70,文科,天津
天津,南开大学,2004,,,,,不详,,文科,天津
天津,南开大学,2003,,549.00,,,不详,,文科,天津
天津,南开大学,2002,,,,,不详,,文科,天津
天津,南开大学,2001,,577.00,,,不详,,文科,天津
天津,南开大学,2013,487.00,485.00,,2,本科一批,37,文科,上海
天津,南开大学,2004,,,,,不详,,文科,上海
天津,南开大学,2013,645.00,635.00,,20,本科一批,79,文科,重庆
天津,南开大学,2012,642.00,630.00,,20,本科一批,76,文科,重庆
天津,南开大学,2011,640.00,628.00,,20,本科一批,64,文科,重庆
天津,南开大学,2010,648.00,639.00,,20,本科一批,66,文科,重庆
天津,南开大学,2010,603.00,603.00,,1,本科提前批,,文科,重庆
天津,南开大学,2009,626.00,605.00,,18,本科一批,59,文科,重庆
天津,南开大学,2008,644.00,633.00,,18,本科一批,57,文科,重庆
天津,南开大学,2007,623.00,606.00,,22,本科一批,66,文科,重庆
天津,南开大学,2007,580.00,580.00,,1,本科提前批,,文科,重庆
天津,南开大学,2006,643.00,621.00,,31,本科一批,65,文科,重庆
天津,南开大学,2005,629.00,604.00,,18,本科一批,55,文科,重庆
天津,南开大学,2004,,,,,不详,,文科,重庆
天津,南开大学,2003,,,,,不详,,文科,重庆
天津,南开大学,2002,,,,,不详,,文科,重庆
天津,南开大学,2001,,577.00,,,不详,,文科,重庆
天津,南开大学,2013,647.00,630.00,,60,本科一批,69,文科,河北
天津,南开大学,2012,639.00,627.00,,59,本科一批,55,文科,河北
天津,南开大学,2011,626.00,614.00,,61,本科一批,52,文科,河北
天津,南开大学,2010,607.00,592.00,,61,本科一批,53,文科,河北
天津,南开大学,2009,599.00,586.00,,59,本科一批,47,文科,河北
天津,南开大学,2008,610.00,591.00,,60,本科一批,54,文科,河北
天津,南开大学,2007,623.00,605.00,,73,本科一批,39,文科,河北
天津,南开大学,2006,621.00,606.00,,73,本科一批,45,文科,河北
天津,南开大学,2005,605.00,591.00,,65,本科一批,55,文科,河北
天津,南开大学,2004,,,,,不详,,文科,河北
天津,南开大学,2003,,,585.00,,不详,,文科,河北
天津,南开大学,2002,,,,,不详,,文科,河北
天津,南开大学,2001,,596.00,,,不详,,文科,河北
天津,南开大学,2013,604.00,594.00,,47,本科一批,75,文科,河南
天津,南开大学,2012,631.00,622.00,,41,本科一批,65,文科,河南
天津,南开大学,2011,636.00,622.00,,40,本科一批,60,文科,河南
天津,南开大学,2010,596.00,588.00,,40,本科一批,56,文科,河南
天津,南开大学,2010,595.00,564.00,,2,本科提前批,,文科,河南
天津,南开大学,2009,622.00,589.00,,35,本科一批,37,文科,河南
天津,南开大学,2008,629.00,610.00,,39,本科一批,53,文科,河南
天津,南开大学,2008,597.00,590.00,,2,本科提前批,,文科,河南
天津,南开大学,2007,654.00,627.00,,40,本科一批,38,文科,河南
天津,南开大学,2006,653.00,628.00,,40,本科一批,37,文科,河南
天津,南开大学,2006,608.00,608.00,,2,本科提前批,,文科,河南
天津,南开大学,2005,650.00,615.00,,39,本科一批,50,文科,河南
天津,南开大学,2005,613.00,598.00,,3,本科提前批,,文科,河南
天津,南开大学,2004,,,,,不详,,文科,河南
天津,南开大学,2003,,630.00,,,不详,,文科,河南
天津,南开大学,2002,,,,,不详,,文科,河南
天津,南开大学,2001,,501.00,,,不详,,文科,河南
天津,南开大学,2013,654.00,641.00,,46,本科一批,71,文科,山东
天津,南开大学,2012,652.00,640.00,,47,本科一批,67,文科,山东
天津,南开大学,2011,649.00,627.00,,44,本科一批,57,文科,山东
天津,南开大学,2010,667.00,654.00,,71,本科一批,48,文科,山东
天津,南开大学,2010,652.00,648.00,,2,本科提前批,,文科,山东
天津,南开大学,2009,654.00,643.00,,46,本科一批,47,文科,山东
天津,南开大学,2008,644.00,634.00,,45,本科一批,50,文科,山东
天津,南开大学,2007,654.00,646.00,,36,本科一批,53,文科,山东
天津,南开大学,2007,604.00,601.00,,3,本科提前批,,文科,山东
天津,南开大学,2006,631.00,622.00,,45,本科一批,54,文科,山东
天津,南开大学,2005,629.00,623.00,,33,本科一批,51,文科,山东
天津,南开大学,2004,,,,,不详,,文科,山东
天津,南开大学,2003,,,602.00,,不详,,文科,山东
天津,南开大学,2002,,,,,不详,,文科,山东
天津,南开大学,2001,,606.00,,,不详,,文科,山东
天津,南开大学,2013,580.00,571.00,,39,本科一批,64,文科,山西
天津,南开大学,2012,605.00,594.00,,35,本科一批,55,文科,山西
天津,南开大学,2011,623.00,590.00,,40,本科一批,47,文科,山西
天津,南开大学,2010,605.00,574.00,,36,本科一批,41,文科,山西
天津,南开大学,2009,607.00,590.00,,34,本科一批,42,文科,山西
天津,南开大学,2008,629.00,584.00,,38,本科一批,39,文科,山西
天津,南开大学,2007,642.00,610.00,,40,本科一批,30,文科,山西
天津,南开大学,2006,632.00,606.00,,39,本科一批,45,文科,山西
天津,南开大学,2005,626.00,584.00,,39,本科一批,50,文科,山西
天津,南开大学,2004,,,,,不详,,文科,山西
天津,南开大学,2003,,,549.00,,不详,,文科,山西
天津,南开大学,2002,,,,,不详,,文科,山西
天津,南开大学,2001,,576.00,,,不详,,文科,山西
天津,南开大学,2013,619.00,610.00,,30,本科一批,70,文科,安徽
天津,南开大学,2012,643.00,633.00,,30,本科一批,56,文科,安徽
天津,南开大学,2011,618.00,609.00,,30,本科一批,62,文科,安徽
天津,南开大学,2010,636.00,630.00,,29,本科一批,57,文科,安徽
天津,南开大学,2009,602.00,595.00,,37,本科一批,52,文科,安徽
天津,南开大学,2008,611.00,603.00,,30,本科一批,50,文科,安徽
天津,南开大学,2007,608.00,598.00,,28,本科一批,47,文科,安徽
天津,南开大学,2006,646.00,620.00,,31,本科一批,47,文科,安徽
天津,南开大学,2005,620.00,593.00,,33,本科一批,50,文科,安徽
天津,南开大学,2004,,,,,不详,,文科,安徽
天津,南开大学,2003,,563.00,,,不详,,文科,安徽
天津,南开大学,2002,,,,,不详,,文科,安徽
天津,南开大学,2001,,592.00,,,不详,,文科,安徽
天津,南开大学,2013,608.00,596.00,,26,本科一批,64,文科,江西
天津,南开大学,2012,635.00,627.00,,24,本科一批,57,文科,江西
