招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
天津,南开大学,2013,686.00,665.00,,30,本科一批,115,理科,北京
天津,南开大学,2012,648.00,610.00,,36,本科一批,133,理科,北京
天津,南开大学,2011,649.00,625.00,,40,本科一批,141,理科,北京
天津,南开大学,2010,657.00,621.00,,41,本科一批,127,理科,北京
天津,南开大学,2009,660.00,598.00,,36,本科一批,97,理科,北京
天津,南开大学,2008,679.00,635.00,,40,本科一批,133,理科,北京
天津,南开大学,2007,670.00,640.00,,45,本科一批,109,理科,北京
天津,南开大学,2006,663.00,635.00,,45,本科一批,107,理科,北京
天津,南开大学,2006,583.00,583.00,,1,本科提前批,,理科,北京
天津,南开大学,2005,628.00,565.00,,34,本科一批,95,理科,北京
天津,南开大学,2004,,,,,不详,,理科,北京
天津,南开大学,2003,,572.00,,,不详,,理科,北京
天津,南开大学,2002,,,,,不详,,理科,北京
天津,南开大学,2001,,575.00,,,不详,,理科,北京
天津,南开大学,2013,662.00,632.00,,430,本科一批,111,理科,天津
天津,南开大学,2012,689.00,650.00,,453,本科一批,120,理科,天津
天津,南开大学,2011,671.00,632.00,,484,本科一批,117,理科,天津
天津,南开大学,2010,659.00,614.00,,512,本科一批,105,理科,天津
天津,南开大学,2010,610.00,589.00,,8,本科提前批,,理科,天津
天津,南开大学,2009,670.00,615.00,,486,本科一批,113,理科,天津
天津,南开大学,2009,629.00,618.00,,2,本科提前批,,理科,天津
天津,南开大学,2008,678.00,630.00,,467,本科一批,108,理科,天津
天津,南开大学,2008,649.00,607.00,,8,本科提前批,,理科,天津
天津,南开大学,2007,662.00,617.00,,450,本科一批,108,理科,天津
天津,南开大学,2007,581.00,577.00,,3,本科提前批,,理科,天津
天津,南开大学,2006,653.00,607.00,,500,本科一批,102,理科,天津
天津,南开大学,2006,609.00,609.00,,1,本科提前批,,理科,天津
天津,南开大学,2005,648.00,573.00,,504,本科一批,115,理科,天津
天津,南开大学,2005,580.00,551.00,,4,本科提前批,,理科,天津
天津,南开大学,2004,,,,,不详,,理科,天津
天津,南开大学,2003,,566.00,,,不详,,理科,天津
天津,南开大学,2002,,,,,不详,,理科,天津
天津,南开大学,2001,,619.00,,,不详,,理科,天津
天津,南开大学,2013,467.00,463.00,,5,本科一批,58,理科,上海
天津,南开大学,2012,498.00,477.00,,11,本科一批,54,理科,上海
天津,南开大学,2011,524.00,514.00,,11,本科一批,52,理科,上海
天津,南开大学,2010,522.00,506.00,,11,本科一批,41,理科,上海
天津,南开大学,2009,513.00,501.00,,11,本科一批,46,理科,上海
天津,南开大学,2008,536.00,515.00,,11,本科一批,48,理科,上海
天津,南开大学,2007,531.00,504.00,,10,本科一批,43,理科,上海
天津,南开大学,2006,533.00,508.00,,15,本科一批,42,理科,上海
天津,南开大学,2005,531.00,500.00,,11,本科一批,,理科,上海
天津,南开大学,2004,,,,,不详,,理科,上海
天津,南开大学,2003,,472.00,,,不详,,理科,上海
天津,南开大学,2002,,,,,不详,,理科,上海
天津,南开大学,2001,,481.00,,,不详,,理科,上海
天津,南开大学,2013,638.00,620.00,,37,本科一批,100,理科,重庆
天津,南开大学,2012,659.00,640.00,,38,本科一批,118,理科,重庆
天津,南开大学,2011,656.00,641.00,,35,本科一批,108,理科,重庆
天津,南开大学,2010,651.00,638.00,,32,本科一批,105,理科,重庆
天津,南开大学,2010,590.00,566.00,,2,本科提前批,,理科,重庆
天津,南开大学,2009,666.00,645.00,,32,本科一批,88,理科,重庆
天津,南开大学,2008,668.00,652.00,,41,本科一批,108,理科,重庆
天津,南开大学,2007,642.00,621.00,,52,本科一批,116,理科,重庆
天津,南开大学,2007,623.00,579.00,,2,本科提前批,,理科,重庆
天津,南开大学,2006,658.00,638.00,,55,本科一批,107,理科,重庆
天津,南开大学,2006,490.00,490.00,,1,本科二三批,,理科,重庆
