招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
天津,南开大学,2008,378.00,369.00,,56,本科一批,39,综合,江苏
天津,南开大学,2007,656.00,646.00,,60,本科一批,58,综合,江苏
天津,南开大学,2007,628.00,627.00,,2,本科提前批,,综合,江苏
天津,南开大学,2006,643.00,634.00,,59,本科一批,62,综合,江苏
天津,南开大学,2006,623.00,592.00,,4,本科提前批,,综合,江苏
天津,南开大学,2006,842.00,742.00,,39,本科一批,105,综合,广东
天津,天津大学,2008,371.00,361.00,,82,本科一批,31,综合,江苏
天津,天津大学,2007,653.00,629.00,,82,本科一批,41,综合,江苏
天津,天津大学,2006,649.00,627.00,,80,本科一批,55,综合,江苏
天津,天津大学,2006,754.00,720.00,,26,本科一批,83,综合,广东
天津,河北工业大学,2008,348.00,335.00,,19,本科一批,5,综合,江苏
天津,河北工业大学,2007,613.00,597.00,,20,本科一批,9,综合,江苏
天津,河北工业大学,2006,595.00,581.00,,18,本科一批,9,综合,江苏
天津,河北工业大学,2006,575.00,575.00,,1,本科提前批,,综合,江苏
天津,天津医科大学,2008,363.00,348.00,,20,本科一批,18,综合,江苏
天津,天津医科大学,2007,641.00,624.00,,21,本科一批,36,综合,江苏
天津,天津医科大学,2006,611.00,595.00,,29,本科一批,23,综合,江苏
天津,天津医科大学,2006,747.00,678.00,,20,本科一批,41,综合,广东
天津,天津科技大学,2008,333.00,324.00,,105,本科二批,24,综合,江苏
天津,天津科技大学,2007,598.00,584.00,,108,本科二批,25,综合,江苏
天津,天津科技大学,2007,598.00,584.00,,108,本科二三批,,综合,江苏
天津,天津科技大学,2007,587.00,584.00,,8,本科提前批,,综合,江苏
天津,天津科技大学,2006,588.00,567.00,,133,本科二批,25,综合,江苏
天津,天津科技大学,2006,570.00,563.00,,7,本科提前批,,综合,江苏
天津,天津科技大学,2006,694.00,631.00,,50,本科二三批,,综合,广东
天津,天津科技大学,2006,694.00,631.00,,50,本科二批,,综合,广东
天津,天津工业大学,2008,331.00,323.00,,52,本科二批,23,综合,江苏
天津,天津工业大学,2007,593.00,582.00,,103,本科二批,23,综合,江苏
天津,天津工业大学,2007,593.00,582.00,,103,本科二三批,,综合,江苏
天津,天津工业大学,2006,579.00,568.00,,97,本科二批,26,综合,江苏
天津,天津工业大学,2006,662.00,593.00,,60,本科二批,,综合,广东
天津,天津工业大学,2006,662.00,593.00,,60,本科二三批,,综合,广东
天津,中国民航大学,2008,356.00,330.00,,119,本科二批,30,综合,江苏
天津,中国民航大学,2007,620.00,596.00,,107,本科二批,37,综合,江苏
