招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
安徽,中国科学技术大学,2007,678.00,663.00,,95,本科一批,,文科,江苏
安徽,中国科学技术大学,2006,669.00,651.00,,161,本科一批,,文科,江苏
安徽,中国科学技术大学,2005,666.00,646.00,,123,本科一批,,文科,江苏
安徽,中国科学技术大学,2006,867.00,785.00,,41,本科一批,,文科,广东
安徽,中国科学技术大学,2005,841.00,784.00,,41,本科一批,,文科,广东
安徽,中国科学技术大学,2005,653.00,624.00,,40,本科一批,,文科,辽宁
安徽,安徽大学,2013,598.00,573.00,,5,本科一批,24,文科,北京
安徽,安徽大学,2012,549.00,538.00,,5,本科一批,43,文科,北京
安徽,安徽大学,2011,552.00,542.00,,4,本科一批,18,文科,北京
安徽,安徽大学,2010,534.00,533.00,,2,本科一批,9,文科,北京
安徽,安徽大学,2013,569.00,554.00,,22,本科一批,21,文科,天津
安徽,安徽大学,2012,577.00,566.00,,17,本科一批,17,文科,天津
安徽,安徽大学,2011,555.00,532.00,,22,本科一批,13,文科,天津
安徽,安徽大学,2010,546.00,528.00,,19,本科一批,9,文科,天津
安徽,安徽大学,2009,543.00,521.00,,23,本科一批,10,文科,天津
安徽,安徽大学,2008,568.00,539.00,,19,本科一批,16,文科,天津
安徽,安徽大学,2007,546.00,529.00,,19,本科一批,16,文科,天津
安徽,安徽大学,2006,516.00,490.00,,25,本科一批,13,文科,天津
安徽,安徽大学,2005,522.00,507.00,,23,本科一批,9,文科,天津
安徽,安徽大学,2004,,,,,不详,,文科,天津
安徽,安徽大学,2003,,492.00,,,不详,,文科,天津
安徽,安徽大学,2002,,500.00,,,不详,,文科,天津
安徽,安徽大学,2013,459.00,454.00,,10,本科一批,6,文科,上海
安徽,安徽大学,2010,472.00,471.00,,3,本科一批,7,文科,上海
安徽,安徽大学,2009,475.00,474.00,,3,本科一批,3,文科,上海
安徽,安徽大学,2008,474.00,474.00,,1,本科一批,3,文科,上海
安徽,安徽大学,2007,472.00,469.00,,3,本科一批,4,文科,上海
安徽,安徽大学,2013,597.00,589.00,,15,本科一批,33,文科,重庆
安徽,安徽大学,2012,589.00,581.00,,19,本科一批,27,文科,重庆
安徽,安徽大学,2011,591.00,581.00,,11,本科一批,17,文科,重庆
安徽,安徽大学,2010,598.00,588.00,,5,本科一批,15,文科,重庆
安徽,安徽大学,2013,607.00,593.00,,36,本科一批,32,文科,河北
安徽,安徽大学,2012,602.00,594.00,,40,本科一批,22,文科,河北
安徽,安徽大学,2011,594.00,585.00,,38,本科一批,23,文科,河北
安徽,安徽大学,2010,574.00,563.00,,40,本科一批,24,文科,河北
安徽,安徽大学,2009,569.00,557.00,,45,本科一批,18,文科,河北
安徽,安徽大学,2008,564.00,553.00,,41,本科一批,16,文科,河北
安徽,安徽大学,2007,599.00,577.00,,42,本科一批,11,文科,河北
安徽,安徽大学,2006,601.00,578.00,,51,本科一批,17,文科,河北
安徽,安徽大学,2005,588.00,553.00,,53,本科一批,17,文科,河北
安徽,安徽大学,2004,,,588.00,,不详,,文科,河北
安徽,安徽大学,2003,,,539.00,,不详,,文科,河北
安徽,安徽大学,2002,,563.00,,,不详,,文科,河北
安徽,安徽大学,2001,,558.00,,,不详,,文科,河北
