招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
安徽,中国科学技术大学,2013,692.00,670.00,,28,本科一批,120,理科,北京
安徽,中国科学技术大学,2012,654.00,628.00,,41,本科一批,151,理科,北京
安徽,中国科学技术大学,2011,656.00,633.00,,34,本科一批,149,理科,北京
安徽,中国科学技术大学,2010,667.00,637.00,,35,本科一批,143,理科,北京
安徽,中国科学技术大学,2009,645.00,622.00,,38,本科一批,121,理科,北京
安徽,中国科学技术大学,2008,686.00,634.00,,30,本科一批,132,理科,北京
安徽,中国科学技术大学,2007,675.00,647.00,,33,本科一批,116,理科,北京
安徽,中国科学技术大学,2006,683.00,641.00,,58,本科一批,113,理科,北京
安徽,中国科学技术大学,2005,612.00,586.00,,45,本科一批,116,理科,北京
安徽,中国科学技术大学,2002,,,,,不详,,理科,北京
安徽,中国科学技术大学,2001,,591.00,,,不详,,理科,北京
安徽,中国科学技术大学,2013,673.00,649.00,,24,本科一批,128,理科,天津
安徽,中国科学技术大学,2012,678.00,670.00,,29,本科一批,140,理科,天津
安徽,中国科学技术大学,2011,668.00,650.00,,33,本科一批,135,理科,天津
安徽,中国科学技术大学,2010,657.00,638.00,,27,本科一批,129,理科,天津
安徽,中国科学技术大学,2009,666.00,636.00,,23,本科一批,134,理科,天津
安徽,中国科学技术大学,2008,673.00,647.00,,27,本科一批,125,理科,天津
安徽,中国科学技术大学,2007,670.00,637.00,,23,本科一批,128,理科,天津
安徽,中国科学技术大学,2006,664.00,632.00,,27,本科一批,127,理科,天津
安徽,中国科学技术大学,2005,648.00,604.00,,25,本科一批,146,理科,天津
安徽,中国科学技术大学,2002,,,,,不详,,理科,天津
安徽,中国科学技术大学,2001,,642.00,,,不详,,理科,天津
安徽,中国科学技术大学,2013,511.00,475.00,,10,本科一批,70,理科,上海
安徽,中国科学技术大学,2012,518.00,493.00,,12,本科一批,70,理科,上海
安徽,中国科学技术大学,2011,548.00,531.00,,15,本科一批,69,理科,上海
安徽,中国科学技术大学,2010,524.00,512.00,,15,本科一批,47,理科,上海
安徽,中国科学技术大学,2009,518.00,507.00,,16,本科一批,52,理科,上海
安徽,中国科学技术大学,2008,525.00,517.00,,16,本科一批,50,理科,上海
安徽,中国科学技术大学,2007,535.00,507.00,,23,本科一批,46,理科,上海
安徽,中国科学技术大学,2006,656.00,527.00,,24,本科一批,61,理科,上海
安徽,中国科学技术大学,2005,573.00,519.00,,29,本科一批,,理科,上海
安徽,中国科学技术大学,2002,,,,,不详,,理科,上海
安徽,中国科学技术大学,2001,,478.00,,,不详,,理科,上海
安徽,中国科学技术大学,2013,650.00,644.00,,17,本科一批,124,理科,重庆
安徽,中国科学技术大学,2012,662.00,656.00,,21,本科一批,134,理科,重庆
安徽,中国科学技术大学,2011,661.00,651.00,,20,本科一批,118,理科,重庆
安徽,中国科学技术大学,2010,661.00,655.00,,21,本科一批,122,理科,重庆
安徽,中国科学技术大学,2009,670.00,662.00,,26,本科一批,105,理科,重庆
安徽,中国科学技术大学,2008,676.00,661.00,,2,本科提前批,,理科,重庆
安徽,中国科学技术大学,2008,670.00,658.00,,31,本科一批,114,理科,重庆
安徽,中国科学技术大学,2007,653.00,633.00,,32,本科一批,128,理科,重庆
安徽,中国科学技术大学,2007,637.00,631.00,,3,本科提前批,,理科,重庆
安徽,中国科学技术大学,2006,662.00,647.00,,57,本科一批,116,理科,重庆
安徽,中国科学技术大学,2005,670.00,633.00,,51,本科一批,85,理科,重庆
安徽,中国科学技术大学,2005,644.00,631.00,,3,本科提前批,,理科,重庆
安徽,中国科学技术大学,2004,,,,,不详,,理科,重庆
安徽,中国科学技术大学,2003,,,,,不详,,理科,重庆
安徽,中国科学技术大学,2002,,,,,不详,,理科,重庆
安徽,中国科学技术大学,2001,,645.00,,,不详,,理科,重庆
安徽,中国科学技术大学,2013,666.00,656.00,,31,本科一批,118,理科,河北
安徽,中国科学技术大学,2012,674.00,664.00,,29,本科一批,100,理科,河北
安徽,中国科学技术大学,2012,674.00,639.00,,11,本科三批,299,理科,河北
安徽,中国科学技术大学,2011,683.00,669.00,,43,本科一批,88,理科,河北
安徽,中国科学技术大学,2011,664.00,637.00,,6,本科三批,247,理科,河北
