招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
安徽,中国科学技术大学,2008,392.00,380.00,,81,本科一批,50,综合,江苏
安徽,中国科学技术大学,2007,678.00,663.00,,95,本科一批,75,综合,江苏
安徽,中国科学技术大学,2006,669.00,651.00,,161,本科一批,79,综合,江苏
安徽,中国科学技术大学,2006,867.00,785.00,,41,本科一批,148,综合,广东
安徽,安徽大学,2008,349.00,339.00,,57,本科一批,9,综合,江苏
安徽,安徽大学,2007,624.00,605.00,,53,本科一批,17,综合,江苏
安徽,安徽大学,2007,602.00,593.00,,6,本科提前批,,综合,江苏
安徽,安徽大学,2006,622.00,588.00,,54,本科一批,16,综合,江苏
安徽,安徽大学,2006,589.00,579.00,,3,本科提前批,,综合,江苏
安徽,合肥工业大学,2008,363.00,339.00,,369,本科一批,9,综合,江苏
安徽,合肥工业大学,2007,634.00,609.00,,391,本科一批,21,综合,江苏
安徽,合肥工业大学,2007,612.00,598.00,,10,本科提前批,,综合,江苏
安徽,合肥工业大学,2006,617.00,594.00,,381,本科一批,22,综合,江苏
安徽,合肥工业大学,2006,595.00,578.00,,15,本科提前批,,综合,江苏
安徽,合肥工业大学,2006,703.00,658.00,,95,本科一批,21,综合,广东
安徽,安徽工业大学,2008,333.00,320.00,,82,本科二批,20,综合,江苏
安徽,安徽工业大学,2007,597.00,580.00,,95,本科二三批,,综合,江苏
安徽,安徽工业大学,2007,597.00,580.00,,95,本科二批,21,综合,江苏
安徽,安徽工业大学,2006,570.00,564.00,,94,本科二批,22,综合,江苏
安徽,安徽工业大学,2006,625.00,587.00,,30,本科二批,,综合,广东
安徽,安徽工业大学,2006,625.00,587.00,,30,本科二三批,,综合,广东
安徽,安徽理工大学,2008,335.00,318.00,,153,本科二批,18,综合,江苏
安徽,安徽理工大学,2007,591.00,585.00,,14,本科提前批,,综合,江苏
安徽,安徽理工大学,2007,589.00,579.00,,142,本科二三批,,综合,江苏
安徽,安徽理工大学,2007,589.00,579.00,,142,本科二批,20,综合,江苏
安徽,安徽理工大学,2006,576.00,562.00,,156,本科二批,20,综合,江苏
安徽,安徽理工大学,2006,570.00,564.00,,25,本科提前批,,综合,江苏
安徽,安徽理工大学,2006,619.00,586.00,,38,本科二批,,综合,广东
安徽,安徽理工大学,2006,619.00,586.00,,38,本科二三批,,综合,广东
安徽,安徽工程大学,2008,324.00,307.00,,30,本科二批,7,综合,江苏
安徽,安徽工程大学,2007,573.00,567.00,,15,本科二三批,,综合,江苏
安徽,安徽工程大学,2007,573.00,567.00,,15,本科二批,8,综合,江苏
安徽,安徽工程大学,2006,569.00,552.00,,30,本科二批,10,综合,江苏
安徽,安徽农业大学,2008,324.00,311.00,,39,本科二批,11,综合,江苏
安徽,安徽农业大学,2007,585.00,573.00,,50,本科二批,14,综合,江苏
安徽,安徽农业大学,2007,585.00,573.00,,50,本科二三批,,综合,江苏
安徽,安徽农业大学,2006,564.00,555.00,,61,本科二批,13,综合,江苏
安徽,安徽医科大学,2008,359.00,349.00,,8,本科一批,19,综合,江苏
安徽,安徽医科大学,2008,330.00,316.00,,15,本科二批,16,综合,江苏
安徽,安徽医科大学,2007,629.00,624.00,,5,本科一批,36,综合,江苏
