招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
山东,山东大学,2013,637.00,614.00,,19,本科一批,65,文科,北京
山东,山东大学,2012,581.00,550.00,,20,本科一批,55,文科,北京
山东,山东大学,2011,618.00,575.00,,16,本科一批,51,文科,北京
山东,山东大学,2010,611.00,576.00,,16,本科一批,52,文科,北京
山东,山东大学,2009,612.00,574.00,,16,本科一批,42,文科,北京
山东,山东大学,2008,589.00,563.00,,19,本科一批,48,文科,北京
山东,山东大学,2007,604.00,575.00,,17,本科一批,47,文科,北京
山东,山东大学,2006,600.00,551.00,,15,本科一批,35,文科,北京
山东,山东大学,2005,563.00,531.00,,17,本科一批,45,文科,北京
山东,山东大学,2004,,,,,不详,,文科,北京
山东,山东大学,2002,,501.00,,,不详,,文科,北京
山东,山东大学,2001,,484.00,,,不详,,文科,北京
山东,山东大学,2013,603.00,595.00,,18,本科一批,62,文科,天津
山东,山东大学,2012,632.00,620.00,,30,本科一批,71,文科,天津
山东,山东大学,2011,596.00,585.00,,22,本科一批,66,文科,天津
山东,山东大学,2010,600.00,583.00,,21,本科一批,64,文科,天津
山东,山东大学,2009,605.00,574.00,,19,本科一批,63,文科,天津
山东,山东大学,2008,599.00,584.00,,15,本科一批,61,文科,天津
山东,山东大学,2007,600.00,568.00,,17,本科一批,55,文科,天津
山东,山东大学,2006,573.00,539.00,,19,本科一批,62,文科,天津
山东,山东大学,2005,576.00,546.00,,18,本科一批,48,文科,天津
山东,山东大学,2004,,,,,不详,,文科,天津
山东,山东大学,2002,,561.00,,,不详,,文科,天津
山东,山东大学,2001,,557.00,,,不详,,文科,天津
山东,山东大学,2013,481.00,472.00,,11,本科一批,24,文科,上海
山东,山东大学,2012,470.00,469.00,,3,本科一批,31,文科,上海
山东,山东大学,2011,498.00,486.00,,13,本科一批,18,文科,上海
山东,山东大学,2010,488.00,480.00,,15,本科一批,16,文科,上海
山东,山东大学,2009,498.00,480.00,,15,本科一批,9,文科,上海
山东,山东大学,2008,492.00,484.00,,10,本科一批,13,文科,上海
山东,山东大学,2007,490.00,481.00,,15,本科一批,16,文科,上海
山东,山东大学,2006,522.00,499.00,,4,本科一批,9,文科,上海
山东,山东大学,2005,509.00,496.00,,5,本科一批,,文科,上海
山东,山东大学,2004,,,,,不详,,文科,上海
山东,山东大学,2002,,482.00,,,不详,,文科,上海
山东,山东大学,2001,,432.00,,,不详,,文科,上海
山东,山东大学,2013,619.00,609.00,,19,本科一批,53,文科,重庆
山东,山东大学,2012,609.00,602.00,,31,本科一批,48,文科,重庆
山东,山东大学,2011,612.00,597.00,,17,本科一批,33,文科,重庆
山东,山东大学,2010,623.00,616.00,,16,本科一批,43,文科,重庆
山东,山东大学,2009,596.00,580.00,,14,本科一批,34,文科,重庆
山东,山东大学,2008,621.00,607.00,,11,本科一批,31,文科,重庆
山东,山东大学,2007,583.00,570.00,,8,本科一批,30,文科,重庆
山东,山东大学,2006,633.00,591.00,,8,本科一批,35,文科,重庆
山东,山东大学,2005,592.00,581.00,,8,本科一批,32,文科,重庆
山东,山东大学,2004,,,,,不详,,文科,重庆
