招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
山东,山东大学,2013,657.00,636.00,,37,本科一批,86,理科,北京
山东,山东大学,2012,603.00,563.00,,71,本科一批,86,理科,北京
山东,山东大学,2011,622.00,560.00,,95,本科一批,76,理科,北京
山东,山东大学,2010,638.00,565.00,,51,本科一批,71,理科,北京
山东,山东大学,2009,611.00,568.00,,45,本科一批,67,理科,北京
山东,山东大学,2008,632.00,584.00,,55,本科一批,82,理科,北京
山东,山东大学,2007,654.00,585.00,,48,本科一批,54,理科,北京
山东,山东大学,2006,634.00,589.00,,42,本科一批,61,理科,北京
山东,山东大学,2005,592.00,531.00,,51,本科一批,61,理科,北京
山东,山东大学,2004,,,,,不详,,理科,北京
山东,山东大学,2002,,518.00,,,不详,,理科,北京
山东,山东大学,2001,,523.00,,,不详,,理科,北京
山东,山东大学,2013,622.00,606.00,,38,本科一批,85,理科,天津
山东,山东大学,2012,643.00,619.00,,56,本科一批,89,理科,天津
山东,山东大学,2011,615.00,599.00,,50,本科一批,84,理科,天津
山东,山东大学,2010,603.00,583.00,,58,本科一批,74,理科,天津
山东,山东大学,2009,612.00,570.00,,52,本科一批,68,理科,天津
山东,山东大学,2008,638.00,603.00,,67,本科一批,81,理科,天津
山东,山东大学,2007,611.00,577.00,,50,本科一批,68,理科,天津
山东,山东大学,2006,633.00,582.00,,56,本科一批,77,理科,天津
山东,山东大学,2005,577.00,534.00,,45,本科一批,76,理科,天津
山东,山东大学,2004,,,,,不详,,理科,天津
山东,山东大学,2002,,582.00,,,不详,,理科,天津
山东,山东大学,2001,,568.00,,,不详,,理科,天津
山东,山东大学,2013,460.00,446.00,,17,本科一批,41,理科,上海
山东,山东大学,2012,469.00,451.00,,20,本科一批,28,理科,上海
山东,山东大学,2011,516.00,489.00,,22,本科一批,27,理科,上海
山东,山东大学,2010,502.00,482.00,,23,本科一批,17,理科,上海
山东,山东大学,2009,487.00,474.00,,20,本科一批,19,理科,上海
山东,山东大学,2008,508.00,486.00,,23,本科一批,19,理科,上海
山东,山东大学,2007,502.00,480.00,,21,本科一批,19,理科,上海
山东,山东大学,2006,514.00,492.00,,8,本科一批,26,理科,上海
山东,山东大学,2005,514.00,486.00,,16,本科一批,,理科,上海
山东,山东大学,2004,,,,,不详,,理科,上海
山东,山东大学,2002,,467.00,,,不详,,理科,上海
山东,山东大学,2001,,438.00,,,不详,,理科,上海
山东,山东大学,2013,613.00,590.00,,46,本科一批,70,理科,重庆
山东,山东大学,2012,609.00,579.00,,71,本科一批,57,理科,重庆
山东,山东大学,2011,611.00,577.00,,36,本科一批,44,理科,重庆
山东,山东大学,2010,622.00,590.00,,40,本科一批,57,理科,重庆
山东,山东大学,2009,639.00,603.00,,33,本科一批,46,理科,重庆
山东,山东大学,2008,629.00,599.00,,37,本科一批,55,理科,重庆
山东,山东大学,2007,585.00,559.00,,42,本科一批,54,理科,重庆
山东,山东大学,2006,604.00,577.00,,36,本科一批,46,理科,重庆
山东,山东大学,2005,630.00,584.00,,32,本科一批,36,理科,重庆
山东,山东大学,2004,,,,,不详,,理科,重庆
山东,山东大学,2003,,,,,不详,,理科,重庆
山东,山东大学,2002,,576.00,,,不详,,理科,重庆
