招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
山东,山东大学,2008,380.00,357.00,,220,本科一批,27,综合,江苏
山东,山东大学,2007,641.00,624.00,,200,本科一批,36,综合,江苏
山东,山东大学,2007,606.00,597.00,,10,本科提前批,,综合,江苏
山东,山东大学,2006,638.00,614.00,,171,本科一批,42,综合,江苏
山东,山东大学,2006,592.00,582.00,,10,本科提前批,,综合,江苏
山东,山东大学,2006,767.00,683.00,,63,本科一批,46,综合,广东
山东,中国海洋大学,2008,360.00,343.00,,96,本科一批,13,综合,江苏
山东,中国海洋大学,2007,635.00,613.00,,81,本科一批,25,综合,江苏
山东,中国海洋大学,2007,603.00,596.00,,6,本科提前批,,综合,江苏
山东,中国海洋大学,2006,615.00,599.00,,54,本科一批,27,综合,江苏
山东,中国海洋大学,2006,575.00,575.00,,1,本科提前批,,综合,江苏
山东,中国海洋大学,2006,713.00,663.00,,40,本科一批,26,综合,广东
山东,山东大学威海分校,2008,353.00,338.00,,86,本科一批,8,综合,江苏
山东,山东大学威海分校,2007,619.00,602.00,,84,本科一批,14,综合,江苏
山东,山东大学威海分校,2006,598.00,582.00,,117,本科一批,10,综合,江苏
山东,中国石油大学(华东),2008,361.00,339.00,,172,本科一批,9,综合,江苏
山东,中国石油大学(华东),2007,620.00,604.00,,170,本科一批,16,综合,江苏
山东,中国石油大学(华东),2006,611.00,587.00,,163,本科一批,15,综合,江苏
山东,中国石油大学(华东),2006,715.00,661.00,,39,本科一批,24,综合,广东
山东,山东科技大学,2008,352.00,326.00,,84,本科二批,26,综合,江苏
山东,山东科技大学,2007,603.00,585.00,,101,本科二三批,,综合,江苏
山东,山东科技大学,2007,603.00,585.00,,101,本科二批,26,综合,江苏
山东,山东科技大学,2006,580.00,570.00,,81,本科二批,28,综合,江苏
山东,青岛科技大学,2008,331.00,322.00,,40,本科二批,22,综合,江苏
山东,青岛科技大学,2007,593.00,584.00,,51,本科二批,25,综合,江苏
山东,青岛科技大学,2007,593.00,584.00,,51,本科二三批,,综合,江苏
山东,青岛科技大学,2006,586.00,571.00,,54,本科二批,29,综合,江苏
山东,山东建筑大学,2008,328.00,312.00,,40,本科二批,12,综合,江苏
山东,山东建筑大学,2007,588.00,578.00,,40,本科二三批,,综合,江苏
山东,山东建筑大学,2007,588.00,578.00,,40,本科二批,19,综合,江苏
山东,山东建筑大学,2006,570.00,561.00,,30,本科二批,19,综合,江苏
山东,山东建筑大学,2006,630.00,596.00,,20,本科二批,,综合,广东
山东,山东建筑大学,2006,630.00,596.00,,20,本科二三批,,综合,广东
山东,齐鲁工业大学,2008,321.00,309.00,,40,本科二批,9,综合,江苏
