招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
山西,太原理工大学,2010,529.00,529.00,,1,本科一批,5,文科,北京
山西,太原理工大学,2009,519.00,503.00,,5,本科二批,14,文科,北京
山西,太原理工大学,2008,513.00,489.00,,8,本科二批,17,文科,北京
山西,太原理工大学,2007,519.00,499.00,,7,本科二批,13,文科,北京
山西,太原理工大学,2006,522.00,495.00,,8,本科二三批,,文科,北京
山西,太原理工大学,2006,522.00,495.00,,8,本科二批,19,文科,北京
山西,太原理工大学,2002,,434.00,,,不详,,文科,北京
山西,太原理工大学,2001,,433.00,,,不详,,文科,北京
山西,太原理工大学,2013,537.00,534.00,,5,本科一批,1,文科,天津
山西,太原理工大学,2012,568.00,556.00,,5,本科一批,7,文科,天津
山西,太原理工大学,2011,535.00,523.00,,10,本科一批,4,文科,天津
山西,太原理工大学,2010,535.00,524.00,,9,本科一批,5,文科,天津
山西,太原理工大学,2009,536.00,518.00,,9,本科一批,7,文科,天津
山西,太原理工大学,2008,555.00,537.00,,12,本科一批,14,文科,天津
山西,太原理工大学,2007,547.00,521.00,,12,本科一批,8,文科,天津
山西,太原理工大学,2006,493.00,483.00,,12,本科一批,6,文科,天津
山西,太原理工大学,2005,530.00,507.00,,13,本科一批,9,文科,天津
山西,太原理工大学,2003,,487.00,,,不详,,文科,天津
山西,太原理工大学,2002,,499.00,,,不详,,文科,天津
山西,太原理工大学,2001,,524.00,,,不详,,文科,天津
山西,太原理工大学,2013,571.00,564.00,,18,本科一批,8,文科,重庆
山西,太原理工大学,2012,562.00,558.00,,12,本科一批,4,文科,重庆
山西,太原理工大学,2011,584.00,569.00,,10,本科一批,5,文科,重庆
山西,太原理工大学,2010,598.00,586.00,,6,本科一批,13,文科,重庆
山西,太原理工大学,2003,,,,,不详,,文科,重庆
山西,太原理工大学,2002,,523.00,,,不详,,文科,重庆
山西,太原理工大学,2001,,526.00,,,不详,,文科,重庆
山西,太原理工大学,2013,589.00,583.00,,21,本科一批,22,文科,河北
山西,太原理工大学,2012,598.00,588.00,,19,本科一批,16,文科,河北
山西,太原理工大学,2011,584.00,578.00,,16,本科一批,16,文科,河北
山西,太原理工大学,2010,563.00,554.00,,12,本科一批,15,文科,河北
山西,太原理工大学,2009,564.00,550.00,,20,本科一批,11,文科,河北
山西,太原理工大学,2009,535.00,530.00,,6,本科二批,28,文科,河北
山西,太原理工大学,2008,563.00,552.00,,23,本科一批,15,文科,河北
山西,太原理工大学,2008,536.00,534.00,,5,本科二批,31,文科,河北
山西,太原理工大学,2007,583.00,575.00,,23,本科一批,9,文科,河北
山西,太原理工大学,2007,569.00,565.00,,3,本科二批,27,文科,河北
山西,太原理工大学,2006,594.00,574.00,,23,本科一批,13,文科,河北
山西,太原理工大学,2006,549.00,541.00,,8,本科二三批,,文科,河北
山西,太原理工大学,2006,549.00,541.00,,8,本科二批,11,文科,河北
山西,太原理工大学,2005,557.00,550.00,,25,本科一批,14,文科,河北
山西,太原理工大学,2005,506.00,506.00,,1,本科二批,6,文科,河北
山西,太原理工大学,2004,,,582.00,,不详,,文科,河北
山西,太原理工大学,2002,,542.00,,,不详,,文科,河北
山西,太原理工大学,2001,,542.00,,,不详,,文科,河北
山西,太原理工大学,2013,547.00,537.00,,16,本科一批,18,文科,河南
山西,太原理工大学,2012,577.00,572.00,,16,本科一批,15,文科,河南
山西,太原理工大学,2011,578.00,572.00,,14,本科一批,10,文科,河南
山西,太原理工大学,2010,549.00,544.00,,12,本科一批,12,文科,河南
山西,太原理工大学,2009,593.00,560.00,,12,本科一批,8,文科,河南
山西,太原理工大学,2009,537.00,527.00,,8,本科二批,17,文科,河南
山西,太原理工大学,2008,571.00,560.00,,8,本科一批,3,文科,河南
山西,太原理工大学,2008,539.00,532.00,,5,本科二批,19,文科,河南
山西,太原理工大学,2007,613.00,602.00,,8,本科一批,13,文科,河南
山西,太原理工大学,2007,585.00,584.00,,3,本科二批,32,文科,河南
山西,太原理工大学,2006,608.00,597.00,,9,本科一批,6,文科,河南
山西,太原理工大学,2006,579.00,563.00,,3,本科二三批,,文科,河南
山西,太原理工大学,2006,579.00,563.00,,3,本科二批,16,文科,河南
山西,太原理工大学,2005,595.00,573.00,,9,本科一批,8,文科,河南
山西,太原理工大学,2005,547.00,547.00,,1,本科二批,25,文科,河南
山西,太原理工大学,2002,,571.00,,,不详,,文科,河南
山西,太原理工大学,2001,,463.00,,,不详,,文科,河南
山西,太原理工大学,2013,592.00,586.00,,14,本科一批,16,文科,山东
山西,太原理工大学,2012,614.00,581.00,,12,本科一批,8,文科,山东
山西,太原理工大学,2011,623.00,584.00,,10,本科一批,14,文科,山东
山西,太原理工大学,2010,631.00,614.00,,10,本科一批,8,文科,山东
山西,太原理工大学,2009,624.00,607.00,,12,本科一批,11,文科,山东
山西,太原理工大学,2008,605.00,595.00,,11,本科一批,11,文科,山东
山西,太原理工大学,2007,613.00,597.00,,15,本科一批,4,文科,山东
山西,太原理工大学,2006,578.00,571.00,,16,本科一批,3,文科,山东
山西,太原理工大学,2005,589.00,578.00,,20,本科一批,6,文科,山东
山西,太原理工大学,2004,,,600.00,,不详,,文科,山东
山西,太原理工大学,2002,,584.00,,,不详,,文科,山东
山西,太原理工大学,2001,,576.00,,,不详,,文科,山东
山西,太原理工大学,2013,537.00,517.00,,238,本科一批,10,文科,山西
山西,太原理工大学,2013,491.00,478.00,,46,本科二批,19,文科,山西
山西,太原理工大学,2012,567.00,548.00,,95,本科一批,9,文科,山西
山西,太原理工大学,2012,536.00,513.00,,177,本科二批,21,文科,山西
山西,太原理工大学,2011,572.00,551.00,,76,本科一批,8,文科,山西
山西,太原理工大学,2011,544.00,525.00,,131,本科二批,29,文科,山西
山西,太原理工大学,2010,556.00,542.00,,42,本科一批,9,文科,山西
山西,太原理工大学,2010,533.00,509.00,,126,本科二批,17,文科,山西
山西,太原理工大学,2009,578.00,551.00,,36,本科一批,3,文科,山西
山西,太原理工大学,2009,549.00,526.00,,192,本科二批,19,文科,山西
山西,太原理工大学,2008,567.00,551.00,,41,本科一批,6,文科,山西
山西,太原理工大学,2008,551.00,524.00,,158,本科二批,14,文科,山西
山西,太原理工大学,2007,592.00,583.00,,35,本科一批,3,文科,山西
山西,太原理工大学,2007,579.00,564.00,,114,本科二批,11,文科,山西
山西,太原理工大学,2006,591.00,566.00,,45,本科一批,5,文科,山西
山西,太原理工大学,2006,561.00,539.00,,236,本科二三批,,文科,山西
山西,太原理工大学,2006,561.00,539.00,,236,本科二批,11,文科,山西
山西,太原理工大学,2005,550.00,537.00,,42,本科一批,3,文科,山西
