招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
山西,太原理工大学,2013,614.00,575.00,,58,本科一批,25,理科,北京
山西,太原理工大学,2012,573.00,499.00,,57,本科一批,22,理科,北京
山西,太原理工大学,2011,566.00,505.00,,58,本科一批,21,理科,北京
山西,太原理工大学,2010,591.00,512.00,,51,本科一批,18,理科,北京
山西,太原理工大学,2009,569.00,487.00,,48,本科二批,28,理科,北京
山西,太原理工大学,2008,521.00,483.00,,52,本科二批,28,理科,北京
山西,太原理工大学,2007,557.00,518.00,,48,本科二批,40,理科,北京
山西,太原理工大学,2006,553.00,510.00,,52,本科二批,34,理科,北京
山西,太原理工大学,2006,553.00,510.00,,52,本科二三批,,理科,北京
山西,太原理工大学,2005,548.00,453.00,,58,本科二批,39,理科,北京
山西,太原理工大学,2003,,431.00,,,不详,,理科,北京
山西,太原理工大学,2002,,440.00,,,不详,,理科,北京
山西,太原理工大学,2001,,457.00,,,不详,,理科,北京
山西,太原理工大学,2013,570.00,549.00,,112,本科一批,28,理科,天津
山西,太原理工大学,2012,582.00,552.00,,94,本科一批,22,理科,天津
山西,太原理工大学,2011,568.00,533.00,,89,本科一批,18,理科,天津
山西,太原理工大学,2010,555.00,522.00,,89,本科一批,13,理科,天津
山西,太原理工大学,2009,552.00,520.00,,89,本科一批,18,理科,天津
山西,太原理工大学,2008,592.00,549.00,,98,本科一批,27,理科,天津
山西,太原理工大学,2007,559.00,532.00,,98,本科一批,23,理科,天津
山西,太原理工大学,2006,579.00,523.00,,98,本科一批,18,理科,天津
山西,太原理工大学,2005,525.00,474.00,,94,本科一批,16,理科,天津
山西,太原理工大学,2003,,474.00,,,不详,,理科,天津
山西,太原理工大学,2002,,518.00,,,不详,,理科,天津
山西,太原理工大学,2001,,524.00,,,不详,,理科,天津
山西,太原理工大学,2013,406.00,406.00,,1,本科一批,1,理科,上海
山西,太原理工大学,2008,472.00,472.00,,1,本科一批,5,理科,上海
山西,太原理工大学,2007,491.00,479.00,,2,本科一批,18,理科,上海
山西,太原理工大学,2006,483.00,477.00,,4,本科一批,11,理科,上海
山西,太原理工大学,2003,,413.00,,,不详,,理科,上海
山西,太原理工大学,2002,,426.00,,,不详,,理科,上海
山西,太原理工大学,2013,566.00,545.00,,94,本科一批,25,理科,重庆
山西,太原理工大学,2012,565.00,547.00,,68,本科一批,25,理科,重庆
山西,太原理工大学,2011,576.00,552.00,,75,本科一批,19,理科,重庆
山西,太原理工大学,2010,616.00,557.00,,78,本科一批,24,理科,重庆
山西,太原理工大学,2009,594.00,576.00,,39,本科一批,19,理科,重庆
山西,太原理工大学,2008,587.00,565.00,,40,本科一批,21,理科,重庆
山西,太原理工大学,2007,545.00,526.00,,40,本科一批,21,理科,重庆
山西,太原理工大学,2006,562.00,546.00,,40,本科一批,15,理科,重庆
山西,太原理工大学,2005,585.00,563.00,,39,本科一批,15,理科,重庆
山西,太原理工大学,2004,,,,,不详,,理科,重庆
山西,太原理工大学,2003,,,,,不详,,理科,重庆
山西,太原理工大学,2002,,533.00,,,不详,,理科,重庆
山西,太原理工大学,2001,,550.00,,,不详,,理科,重庆
山西,太原理工大学,2013,587.00,573.00,,214,本科一批,35,理科,河北
山西,太原理工大学,2012,607.00,594.00,,208,本科一批,30,理科,河北
山西,太原理工大学,2011,624.00,607.00,,210,本科一批,26,理科,河北
山西,太原理工大学,2010,605.00,584.00,,214,本科一批,23,理科,河北
山西,太原理工大学,2009,613.00,595.00,,177,本科一批,26,理科,河北
山西,太原理工大学,2009,577.00,566.00,,55,本科二批,42,理科,河北
山西,太原理工大学,2008,596.00,580.00,,180,本科一批,28,理科,河北
山西,太原理工大学,2008,572.00,552.00,,47,本科二批,38,理科,河北
山西,太原理工大学,2007,625.00,610.00,,192,本科一批,23,理科,河北
山西,太原理工大学,2007,593.00,575.00,,41,本科二批,26,理科,河北
山西,太原理工大学,2006,619.00,598.00,,216,本科一批,21,理科,河北
山西,太原理工大学,2006,586.00,570.00,,50,本科二三批,,理科,河北
山西,太原理工大学,2006,586.00,570.00,,50,本科二批,30,理科,河北
山西,太原理工大学,2005,590.00,573.00,,214,本科一批,22,理科,河北
山西,太原理工大学,2005,569.00,543.00,,42,本科二批,32,理科,河北
山西,太原理工大学,2004,,,598.00,,不详,,理科,河北
山西,太原理工大学,2003,,,528.00,,不详,,理科,河北
山西,太原理工大学,2002,,583.00,,,不详,,理科,河北
山西,太原理工大学,2001,,582.00,,,不详,,理科,河北
山西,太原理工大学,2013,558.00,545.00,,94,本科一批,40,理科,河南
山西,太原理工大学,2012,588.00,574.00,,99,本科一批,34,理科,河南
山西,太原理工大学,2011,616.00,607.00,,95,本科一批,25,理科,河南
山西,太原理工大学,2010,591.00,575.00,,99,本科一批,23,理科,河南
山西,太原理工大学,2010,559.00,555.00,,2,本科提前批,,理科,河南
山西,太原理工大学,2009,610.00,590.00,,41,本科一批,23,理科,河南
