招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
河北,东北大学秦皇岛分校,2013,614.00,572.00,,34,本科一批,22,理科,北京
河北,东北大学秦皇岛分校,2012,581.00,504.00,,43,本科一批,27,理科,北京
河北,东北大学秦皇岛分校,2011,543.00,503.00,,44,本科一批,19,理科,北京
河北,东北大学秦皇岛分校,2010,564.00,515.00,,45,本科一批,21,理科,北京
河北,东北大学秦皇岛分校,2009,556.00,515.00,,46,本科一批,14,理科,北京
河北,东北大学秦皇岛分校,2008,558.00,513.00,,41,本科一批,11,理科,北京
河北,东北大学秦皇岛分校,2007,572.00,540.00,,37,本科一批,9,理科,北京
河北,东北大学秦皇岛分校,2006,590.00,546.00,,32,本科一批,18,理科,北京
河北,东北大学秦皇岛分校,2013,587.00,577.00,,44,本科一批,56,理科,天津
河北,东北大学秦皇岛分校,2012,594.00,582.00,,47,本科一批,52,理科,天津
河北,东北大学秦皇岛分校,2011,578.00,556.00,,56,本科一批,41,理科,天津
河北,东北大学秦皇岛分校,2010,554.00,529.00,,51,本科一批,20,理科,天津
河北,东北大学秦皇岛分校,2009,552.00,526.00,,51,本科一批,24,理科,天津
河北,东北大学秦皇岛分校,2008,567.00,533.00,,43,本科一批,11,理科,天津
河北,东北大学秦皇岛分校,2007,558.00,536.00,,41,本科一批,27,理科,天津
河北,东北大学秦皇岛分校,2006,598.00,519.00,,41,本科一批,14,理科,天津
河北,东北大学秦皇岛分校,2013,425.00,412.00,,8,本科一批,7,理科,上海
河北,东北大学秦皇岛分校,2012,429.00,427.00,,6,本科一批,4,理科,上海
河北,东北大学秦皇岛分校,2008,430.00,407.00,,26,本科二批,8,理科,上海
河北,东北大学秦皇岛分校,2008,430.00,402.00,,33,本科二三批,,理科,上海
河北,东北大学秦皇岛分校,2007,445.00,412.00,,26,本科二批,18,理科,上海
河北,东北大学秦皇岛分校,2007,445.00,409.00,,30,本科二三批,,理科,上海
河北,东北大学秦皇岛分校,2006,456.00,430.00,,27,本科二批,18,理科,上海
