招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
河北,东北大学秦皇岛分校,2008,351.00,334.00,,67,本科一批,4,综合,江苏
河北,东北大学秦皇岛分校,2007,611.00,596.00,,80,本科一批,8,综合,江苏
河北,东北大学秦皇岛分校,2006,572.00,555.00,,79,本科二批,13,综合,江苏
河北,东北大学秦皇岛分校,2006,606.00,580.00,,40,本科二批,,综合,广东
河北,东北大学秦皇岛分校,2006,606.00,580.00,,40,本科二三批,,综合,广东
河北,华北电力大学(保定),2008,367.00,347.00,,110,本科一批,17,综合,江苏
河北,华北电力大学(保定),2007,631.00,615.00,,94,本科一批,27,综合,江苏
河北,华北电力大学(保定),2006,627.00,606.00,,93,本科一批,34,综合,江苏
河北,华北电力大学(保定),2006,729.00,664.00,,65,本科一批,27,综合,广东
河北,河北大学,2008,329.00,321.00,,15,本科二批,21,综合,江苏
河北,河北大学,2007,589.00,580.00,,45,本科二三批,,综合,江苏
河北,河北大学,2007,589.00,580.00,,45,本科二批,21,综合,江苏
河北,河北大学,2007,588.00,579.00,,5,本科提前批,,综合,江苏
河北,河北大学,2006,569.00,563.00,,20,本科二批,21,综合,江苏
河北,河北大学,2006,563.00,558.00,,10,本科提前批,,综合,江苏
河北,石家庄经济学院,2008,330.00,312.00,,51,本科二批,12,综合,江苏
河北,石家庄经济学院,2007,584.00,571.00,,50,本科二批,12,综合,江苏
河北,石家庄经济学院,2007,584.00,571.00,,50,本科二三批,,综合,江苏
河北,石家庄经济学院,2006,571.00,558.00,,60,本科二批,16,综合,江苏
河北,石家庄经济学院,2006,629.00,591.00,,35,本科二批,,综合,广东
河北,石家庄经济学院,2006,629.00,591.00,,35,本科二三批,,综合,广东
河北,河北建筑工程学院,2008,319.00,305.00,,20,本科二批,5,综合,江苏
河北,河北师范大学,2008,325.00,310.00,,20,本科二批,10,综合,江苏
河北,河北师范大学,2007,579.00,570.00,,14,本科二批,11,综合,江苏
河北,河北师范大学,2007,579.00,570.00,,14,本科二三批,,综合,江苏
河北,河北师范大学,2006,570.00,551.00,,30,本科二批,9,综合,江苏
河北,河北师范大学,2006,616.00,582.00,,10,本科二批,,综合,广东
河北,河北师范大学,2006,616.00,582.00,,10,本科二三批,,综合,广东
河北,石家庄铁道大学,2008,345.00,334.00,,25,本科一批,4,综合,江苏
河北,石家庄铁道大学,2007,598.00,593.00,,30,本科一批,5,综合,江苏
河北,石家庄铁道大学,2006,587.00,578.00,,30,本科一批,6,综合,江苏
河北,燕山大学,2008,347.00,335.00,,36,本科一批,5,综合,江苏
河北,燕山大学,2007,610.00,595.00,,40,本科一批,7,综合,江苏
河北,燕山大学,2006,592.00,582.00,,20,本科一批,10,综合,江苏
河北,燕山大学,2006,660.00,653.00,,5,本科一批,16,综合,广东
河北,河北科技师范学院,2008,330.00,309.00,,18,本科二批,9,综合,江苏
河北,河北科技师范学院,2007,579.00,572.00,,19,本科二批,13,综合,江苏
河北,河北科技师范学院,2007,579.00,572.00,,19,本科二三批,,综合,江苏
河北,华北科技学院,2008,338.00,318.00,,105,本科二批,18,综合,江苏
河北,华北科技学院,2007,609.00,576.00,,85,本科二批,17,综合,江苏
河北,华北科技学院,2007,609.00,576.00,,85,本科二三批,,综合,江苏
河北,华北科技学院,2006,592.00,564.00,,67,本科二批,22,综合,江苏
河北,华北科技学院,2006,620.00,588.00,,49,本科二批,,综合,广东
河北,华北科技学院,2006,620.00,588.00,,49,本科二三批,,综合,广东
