招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
河南,郑州大学,2013,586.00,569.00,,11,本科一批,20,文科,北京
河南,郑州大学,2012,586.00,520.00,,11,本科一批,25,文科,北京
河南,郑州大学,2011,570.00,543.00,,10,本科一批,19,文科,北京
河南,郑州大学,2010,578.00,549.00,,8,本科一批,25,文科,北京
河南,郑州大学,2009,547.00,538.00,,7,本科一批,6,文科,北京
河南,郑州大学,2008,564.00,534.00,,8,本科一批,19,文科,北京
河南,郑州大学,2007,559.00,544.00,,6,本科一批,16,文科,北京
河南,郑州大学,2006,561.00,537.00,,12,本科一批,21,文科,北京
河南,郑州大学,2006,475.00,471.00,,4,本科二三批,,文科,北京
河南,郑州大学,2006,475.00,471.00,,4,本科三批,29,文科,北京
河南,郑州大学,2005,557.00,517.00,,10,本科一批,31,文科,北京
河南,郑州大学,2003,,,,,不详,,文科,北京
河南,郑州大学,2002,,448.00,,,不详,,文科,北京
河南,郑州大学,2001,,428.00,,,不详,,文科,北京
河南,郑州大学,2013,568.00,557.00,,26,本科一批,24,文科,天津
河南,郑州大学,2012,592.00,572.00,,28,本科一批,23,文科,天津
河南,郑州大学,2011,558.00,547.00,,14,本科一批,28,文科,天津
河南,郑州大学,2010,547.00,532.00,,18,本科一批,13,文科,天津
河南,郑州大学,2010,453.00,434.00,,8,本科三批,44,文科,天津
河南,郑州大学,2009,559.00,533.00,,15,本科一批,22,文科,天津
河南,郑州大学,2008,601.00,547.00,,14,本科一批,24,文科,天津
河南,郑州大学,2008,473.00,459.00,,10,本科三批,,文科,天津
河南,郑州大学,2008,473.00,459.00,,10,本科二三批,,文科,天津
河南,郑州大学,2007,558.00,542.00,,14,本科一批,29,文科,天津
河南,郑州大学,2007,464.00,442.00,,5,本科三批,,文科,天津
河南,郑州大学,2007,464.00,432.00,,8,本科二三批,,文科,天津
河南,郑州大学,2006,551.00,504.00,,17,本科一批,27,文科,天津
河南,郑州大学,2006,429.00,421.00,,4,本科三批,11,文科,天津
河南,郑州大学,2006,429.00,406.00,,9,本科二三批,,文科,天津
河南,郑州大学,2005,531.00,519.00,,19,本科一批,21,文科,天津
河南,郑州大学,2003,,,,,不详,,文科,天津
河南,郑州大学,2002,,453.00,,,不详,,文科,天津
河南,郑州大学,2013,458.00,453.00,,5,本科一批,5,文科,上海
河南,郑州大学,2011,475.00,471.00,,2,本科一批,3,文科,上海
河南,郑州大学,2010,468.00,468.00,,1,本科一批,4,文科,上海
河南,郑州大学,2009,491.00,480.00,,4,本科一批,9,文科,上海
河南,郑州大学,2008,475.00,475.00,,1,本科一批,4,文科,上海
河南,郑州大学,2007,467.00,,,9,本科一批,,文科,上海
河南,郑州大学,2006,525.00,510.00,,2,本科一批,20,文科,上海
河南,郑州大学,2005,480.00,480.00,,1,本科一批,,文科,上海
河南,郑州大学,2003,,,,,不详,,文科,上海
河南,郑州大学,2001,,428.00,,,不详,,文科,上海
河南,郑州大学,2013,600.00,585.00,,30,本科一批,29,文科,重庆
河南,郑州大学,2012,586.00,575.00,,33,本科一批,21,文科,重庆
河南,郑州大学,2011,604.00,579.00,,21,本科一批,15,文科,重庆
河南,郑州大学,2010,612.00,590.00,,18,本科一批,17,文科,重庆
河南,郑州大学,2009,577.00,558.00,,15,本科一批,12,文科,重庆
河南,郑州大学,2008,594.00,586.00,,12,本科一批,10,文科,重庆
河南,郑州大学,2007,569.00,549.00,,8,本科一批,9,文科,重庆
河南,郑州大学,2006,580.00,568.00,,25,本科一批,12,文科,重庆
河南,郑州大学,2005,599.00,561.00,,32,本科一批,12,文科,重庆
河南,郑州大学,2004,,,,,不详,,文科,重庆
河南,郑州大学,2003,,,,,不详,,文科,重庆
河南,郑州大学,2002,,518.00,,,不详,,文科,重庆
河南,郑州大学,2001,,531.00,,,不详,,文科,重庆
河南,郑州大学,2013,611.00,593.00,,66,本科一批,32,文科,河北
河南,郑州大学,2013,542.00,503.00,,88,本科三批,89,文科,河北
