招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
河南,郑州大学,2013,628.00,582.00,,22,本科一批,32,理科,北京
河南,郑州大学,2012,572.00,523.00,,21,本科一批,46,理科,北京
河南,郑州大学,2011,586.00,524.00,,22,本科一批,40,理科,北京
河南,郑州大学,2010,591.00,534.00,,17,本科一批,40,理科,北京
河南,郑州大学,2009,577.00,531.00,,15,本科一批,30,理科,北京
河南,郑州大学,2008,556.00,527.00,,15,本科一批,25,理科,北京
河南,郑州大学,2007,570.00,552.00,,9,本科一批,21,理科,北京
河南,郑州大学,2006,547.00,537.00,,11,本科一批,9,理科,北京
河南,郑州大学,2006,475.00,470.00,,6,本科二三批,,理科,北京
河南,郑州大学,2006,475.00,470.00,,6,本科三批,28,理科,北京
河南,郑州大学,2005,566.00,507.00,,9,本科一批,37,理科,北京
河南,郑州大学,2003,,,,,不详,,理科,北京
河南,郑州大学,2002,,438.00,,,不详,,理科,北京
河南,郑州大学,2001,,469.00,,,不详,,理科,北京
河南,郑州大学,2013,620.00,558.00,,65,本科一批,37,理科,天津
河南,郑州大学,2012,605.00,562.00,,57,本科一批,32,理科,天津
河南,郑州大学,2011,580.00,543.00,,45,本科一批,28,理科,天津
河南,郑州大学,2010,552.00,525.00,,68,本科一批,16,理科,天津
河南,郑州大学,2010,427.00,398.00,,12,本科三批,43,理科,天津
河南,郑州大学,2009,553.00,521.00,,64,本科一批,19,理科,天津
河南,郑州大学,2008,627.00,567.00,,56,本科一批,45,理科,天津
河南,郑州大学,2007,591.00,547.00,,39,本科一批,38,理科,天津
河南,郑州大学,2007,433.00,421.00,,3,本科二三批,,理科,天津
河南,郑州大学,2007,433.00,421.00,,3,本科三批,,理科,天津
河南,郑州大学,2006,575.00,541.00,,52,本科一批,36,理科,天津
河南,郑州大学,2006,438.00,433.00,,4,本科三批,3,理科,天津
河南,郑州大学,2006,438.00,415.00,,17,本科二三批,,理科,天津
河南,郑州大学,2005,538.00,492.00,,50,本科一批,34,理科,天津
河南,郑州大学,2003,,,,,不详,,理科,天津
河南,郑州大学,2002,,488.00,,,不详,,理科,天津
河南,郑州大学,2001,,522.00,,,不详,,理科,天津
河南,郑州大学,2013,417.00,410.00,,8,本科一批,5,理科,上海
河南,郑州大学,2012,440.00,437.00,,3,本科一批,14,理科,上海
河南,郑州大学,2011,462.00,462.00,,2,本科一批,0,理科,上海
河南,郑州大学,2010,487.00,482.00,,2,本科一批,17,理科,上海
河南,郑州大学,2009,460.00,457.00,,2,本科一批,2,理科,上海
河南,郑州大学,2008,494.00,481.00,,2,本科一批,14,理科,上海
河南,郑州大学,2007,494.00,472.00,,3,本科一批,11,理科,上海
河南,郑州大学,2006,518.00,501.00,,4,本科一批,35,理科,上海
河南,郑州大学,2005,485.00,485.00,,1,本科一批,,理科,上海
河南,郑州大学,2003,,,,,不详,,理科,上海
河南,郑州大学,2002,,466.00,,,不详,,理科,上海
河南,郑州大学,2001,,446.00,,,不详,,理科,上海
河南,郑州大学,2013,577.00,560.00,,129,本科一批,40,理科,重庆
河南,郑州大学,2012,585.00,554.00,,128,本科一批,32,理科,重庆
河南,郑州大学,2011,592.00,557.00,,94,本科一批,24,理科,重庆
河南,郑州大学,2010,606.00,564.00,,82,本科一批,31,理科,重庆
河南,郑州大学,2009,600.00,584.00,,54,本科一批,27,理科,重庆
河南,郑州大学,2008,595.00,569.00,,55,本科一批,25,理科,重庆
河南,郑州大学,2007,564.00,535.00,,52,本科一批,30,理科,重庆
河南,郑州大学,2006,614.00,556.00,,103,本科一批,25,理科,重庆
河南,郑州大学,2005,611.00,572.00,,78,本科一批,24,理科,重庆
河南,郑州大学,2004,,,,,不详,,理科,重庆
河南,郑州大学,2003,,,,,不详,,理科,重庆
河南,郑州大学,2002,,536.00,,,不详,,理科,重庆
河南,郑州大学,2001,,551.00,,,不详,,理科,重庆
