招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
河南,郑州大学,2008,351.00,337.00,,82,本科一批,7,综合,江苏
河南,郑州大学,2007,622.00,608.00,,84,本科一批,20,综合,江苏
河南,郑州大学,2006,620.00,590.00,,118,本科一批,18,综合,江苏
河南,郑州大学,2006,704.00,659.00,,78,本科一批,22,综合,广东
河南,郑州轻工业学院,2008,333.00,316.00,,15,本科二批,16,综合,江苏
河南,郑州轻工业学院,2007,574.00,568.00,,13,本科二批,9,综合,江苏
河南,郑州轻工业学院,2007,574.00,568.00,,13,本科二三批,,综合,江苏
河南,郑州轻工业学院,2006,572.00,550.00,,41,本科二批,8,综合,江苏
河南,郑州轻工业学院,2006,620.00,589.00,,30,本科二批,,综合,广东
河南,郑州轻工业学院,2006,620.00,589.00,,30,本科二三批,,综合,广东
河南,河南科技大学,2008,338.00,318.00,,35,本科二批,18,综合,江苏
河南,河南科技大学,2007,597.00,579.00,,6,本科提前批,,综合,江苏
河南,河南科技大学,2007,584.00,577.00,,35,本科二三批,,综合,江苏
河南,河南科技大学,2007,584.00,577.00,,35,本科二批,18,综合,江苏
河南,河南科技大学,2006,570.00,558.00,,92,本科二批,16,综合,江苏
河南,河南科技大学,2006,559.00,552.00,,7,本科提前批,,综合,江苏
河南,河南科技大学,2006,616.00,586.00,,40,本科二批,,综合,广东
河南,河南科技大学,2006,616.00,586.00,,40,本科二三批,,综合,广东
河南,中原工学院,2008,311.00,305.00,,5,本科二批,5,综合,江苏
河南,中原工学院,2007,581.00,565.00,,6,本科二批,6,综合,江苏
河南,中原工学院,2007,581.00,564.00,,7,本科二三批,,综合,江苏
河南,中原工学院,2006,563.00,546.00,,34,本科二批,4,综合,江苏
河南,中原工学院,2006,605.00,585.00,,40,本科二批,,综合,广东
河南,中原工学院,2006,605.00,585.00,,40,本科二三批,,综合,广东
河南,河南农业大学,2008,332.00,317.00,,11,本科二批,17,综合,江苏
河南,河南农业大学,2007,573.00,566.00,,10,本科二批,7,综合,江苏
河南,河南农业大学,2007,573.00,566.00,,10,本科二三批,,综合,江苏
河南,河南农业大学,2006,559.00,550.00,,10,本科二批,8,综合,江苏
河南,河南农业大学,2006,626.00,590.00,,10,本科二批,,综合,广东
河南,河南农业大学,2006,626.00,590.00,,10,本科二三批,,综合,广东
河南,河南中医学院,2008,329.00,317.00,,10,本科二批,17,综合,江苏
河南,河南中医学院,2007,583.00,576.00,,10,本科二批,17,综合,江苏
河南,河南中医学院,2007,583.00,576.00,,10,本科二三批,,综合,江苏
河南,河南中医学院,2006,558.00,548.00,,10,本科二批,6,综合,江苏
河南,河南中医学院,2006,630.00,590.00,,20,本科二批,,综合,广东
河南,河南中医学院,2006,630.00,590.00,,20,本科二三批,,综合,广东
河南,新乡医学院,2008,317.00,309.00,,5,本科二批,9,综合,江苏
河南,新乡医学院,2007,577.00,572.00,,5,本科二批,13,综合,江苏
河南,新乡医学院,2007,577.00,572.00,,5,本科二三批,,综合,江苏
河南,新乡医学院,2006,559.00,555.00,,10,本科二批,13,综合,江苏
河南,新乡医学院,2006,564.00,559.00,,5,本科二批,,综合,广东
河南,新乡医学院,2006,564.00,559.00,,5,本科二三批,,综合,广东
河南,河南大学,2006,570.00,560.00,,33,本科二批,18,综合,江苏
河南,河南大学,2006,660.00,603.00,,25,本科二批,,综合,广东
河南,河南大学,2006,660.00,603.00,,25,本科二三批,,综合,广东
河南,信阳师范学院,2007,580.00,576.00,,8,本科二批,17,综合,江苏
河南,信阳师范学院,2007,580.00,576.00,,8,本科二三批,,综合,江苏
河南,信阳师范学院,2006,581.00,562.00,,9,本科二批,,综合,广东
河南,信阳师范学院,2006,581.00,562.00,,9,本科二三批,,综合,广东
河南,安阳师范学院,2008,323.00,308.00,,19,本科二批,8,综合,江苏
河南,安阳师范学院,2007,577.00,570.00,,22,本科二批,11,综合,江苏
河南,安阳师范学院,2007,577.00,570.00,,22,本科二三批,,综合,江苏
河南,安阳师范学院,2006,546.00,545.00,,2,本科二批,3,综合,江苏
河南,安阳师范学院,2006,575.00,563.00,,10,本科二批,,综合,广东
河南,安阳师范学院,2006,575.00,563.00,,10,本科二三批,,综合,广东
河南,许昌学院,2007,568.00,561.00,,6,本科二批,2,综合,江苏
河南,许昌学院,2007,568.00,561.00,,6,本科二三批,,综合,江苏
河南,许昌学院,2006,542.00,542.00,,2,本科二批,0,综合,江苏
河南,许昌学院,2006,575.00,564.00,,15,本科二批,,综合,广东
河南,许昌学院,2006,575.00,564.00,,15,本科二三批,,综合,广东
河南,南阳师范学院,2008,320.00,310.00,,4,本科二批,10,综合,江苏
河南,南阳师范学院,2007,563.00,561.00,,4,本科二批,2,综合,江苏
河南,南阳师范学院,2007,563.00,561.00,,4,本科二三批,,综合,江苏
河南,南阳师范学院,2006,549.00,544.00,,8,本科二批,2,综合,江苏
河南,洛阳师范学院,2006,555.00,548.00,,23,本科二批,6,综合,江苏
河南,商丘师范学院,2006,550.00,545.00,,22,本科二批,3,综合,江苏
河南,商丘师范学院,2006,616.00,578.00,,17,本科二批,,综合,广东
河南,商丘师范学院,2006,616.00,578.00,,17,本科二三批,,综合,广东
河南,河南财经政法大学,2008,327.00,317.00,,10,本科二批,17,综合,江苏
河南,河南财经政法大学,2007,590.00,576.00,,6,本科二批,17,综合,江苏
河南,河南财经政法大学,2007,590.00,576.00,,6,本科二三批,,综合,江苏
河南,郑州航空工业管理学院,2008,324.00,311.00,,27,本科二批,11,综合,江苏
河南,郑州航空工业管理学院,2007,576.00,570.00,,22,本科二批,11,综合,江苏
河南,郑州航空工业管理学院,2007,576.00,570.00,,22,本科二三批,,综合,江苏
河南,郑州航空工业管理学院,2006,566.00,555.00,,102,本科二批,13,综合,江苏
