招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
重庆,重庆大学,2013,628.00,599.00,,7,本科一批,50,文科,北京
重庆,重庆大学,2012,546.00,519.00,,9,本科一批,24,文科,北京
重庆,重庆大学,2011,619.00,558.00,,10,本科一批,34,文科,北京
重庆,重庆大学,2010,591.00,563.00,,8,本科一批,39,文科,北京
重庆,重庆大学,2009,605.00,557.00,,8,本科一批,25,文科,北京
重庆,重庆大学,2008,547.00,534.00,,4,本科一批,19,文科,北京
重庆,重庆大学,2006,596.00,566.00,,6,本科一批,50,文科,北京
重庆,重庆大学,2005,560.00,527.00,,3,本科一批,41,文科,北京
重庆,重庆大学,2003,,,,,不详,,文科,北京
重庆,重庆大学,2002,,,,,不详,,文科,北京
重庆,重庆大学,2001,,,,,不详,,文科,北京
重庆,重庆大学,2013,595.00,583.00,,11,本科一批,50,文科,天津
重庆,重庆大学,2012,610.00,602.00,,13,本科一批,53,文科,天津
重庆,重庆大学,2011,570.00,563.00,,12,本科一批,44,文科,天津
重庆,重庆大学,2010,568.00,560.00,,10,本科一批,41,文科,天津
重庆,重庆大学,2009,564.00,540.00,,8,本科一批,29,文科,天津
重庆,重庆大学,2008,563.00,551.00,,6,本科一批,28,文科,天津
重庆,重庆大学,2006,516.00,504.00,,4,本科一批,27,文科,天津
重庆,重庆大学,2005,531.00,517.00,,2,本科一批,19,文科,天津
重庆,重庆大学,2003,,,,,不详,,文科,天津
重庆,重庆大学,2002,,,,,不详,,文科,天津
重庆,重庆大学,2001,,,,,不详,,文科,天津
重庆,重庆大学,2013,625.00,609.00,,76,本科一批,53,文科,重庆
重庆,重庆大学,2012,614.00,604.00,,90,本科一批,50,文科,重庆
重庆,重庆大学,2011,621.00,601.00,,117,本科一批,37,文科,重庆
重庆,重庆大学,2010,627.00,608.00,,122,本科一批,35,文科,重庆
重庆,重庆大学,2009,598.00,575.00,,144,本科一批,29,文科,重庆
重庆,重庆大学,2008,623.00,596.00,,139,本科一批,20,文科,重庆
重庆,重庆大学,2007,598.00,568.00,,132,本科一批,28,文科,重庆
重庆,重庆大学,2007,575.00,548.00,,3,本科提前批,,文科,重庆
重庆,重庆大学,2007,556.00,507.00,,21,本科三批,71,文科,重庆
重庆,重庆大学,2006,615.00,582.00,,127,本科一批,26,文科,重庆
重庆,重庆大学,2006,591.00,591.00,,1,本科提前批,,文科,重庆
重庆,重庆大学,2006,527.00,500.00,,3,本科二三批,,文科,重庆
重庆,重庆大学,2006,527.00,500.00,,3,本科三批,55,文科,重庆
重庆,重庆大学,2005,604.00,568.00,,132,本科一批,19,文科,重庆
重庆,重庆大学,2005,457.00,457.00,,1,本科三批,2,文科,重庆
重庆,重庆大学,2004,,,,,不详,,文科,重庆
重庆,重庆大学,2003,,,,,不详,,文科,重庆
重庆,重庆大学,2002,,,,,不详,,文科,重庆
重庆,重庆大学,2001,,,,,不详,,文科,重庆
重庆,重庆大学,2013,610.00,603.00,,19,本科一批,42,文科,河北
重庆,重庆大学,2012,614.00,608.00,,20,本科一批,36,文科,河北
重庆,重庆大学,2011,598.00,593.00,,26,本科一批,31,文科,河北
重庆,重庆大学,2010,575.00,569.00,,31,本科一批,30,文科,河北
重庆,重庆大学,2009,574.00,564.00,,34,本科一批,25,文科,河北
重庆,重庆大学,2008,574.00,561.00,,33,本科一批,24,文科,河北
重庆,重庆大学,2007,596.00,587.00,,24,本科一批,21,文科,河北
重庆,重庆大学,2006,599.00,581.00,,19,本科一批,20,文科,河北
重庆,重庆大学,2005,578.00,559.00,,14,本科一批,23,文科,河北
重庆,重庆大学,2004,,,602.00,,不详,,文科,河北
重庆,重庆大学,2003,,,,,不详,,文科,河北
重庆,重庆大学,2002,,,,,不详,,文科,河北
