招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
重庆,重庆大学,2013,668.00,607.00,,48,本科一批,57,理科,北京
重庆,重庆大学,2012,620.00,549.00,,50,本科一批,72,理科,北京
重庆,重庆大学,2011,614.00,549.00,,47,本科一批,65,理科,北京
重庆,重庆大学,2010,609.00,554.00,,40,本科一批,60,理科,北京
重庆,重庆大学,2009,611.00,543.00,,45,本科一批,42,理科,北京
重庆,重庆大学,2008,614.00,543.00,,37,本科一批,41,理科,北京
重庆,重庆大学,2007,637.00,564.00,,33,本科一批,33,理科,北京
重庆,重庆大学,2006,605.00,554.00,,29,本科一批,26,理科,北京
重庆,重庆大学,2005,548.00,498.00,,27,本科一批,28,理科,北京
重庆,重庆大学,2003,,,,,不详,,理科,北京
重庆,重庆大学,2002,,,,,不详,,理科,北京
重庆,重庆大学,2001,,,,,不详,,理科,北京
重庆,重庆大学,2013,618.00,596.00,,46,本科一批,75,理科,天津
重庆,重庆大学,2012,641.00,605.00,,40,本科一批,75,理科,天津
重庆,重庆大学,2011,624.00,589.00,,44,本科一批,74,理科,天津
重庆,重庆大学,2010,623.00,570.00,,41,本科一批,61,理科,天津
重庆,重庆大学,2009,603.00,567.00,,36,本科一批,65,理科,天津
重庆,重庆大学,2008,607.00,558.00,,28,本科一批,36,理科,天津
重庆,重庆大学,2007,597.00,568.00,,39,本科一批,59,理科,天津
重庆,重庆大学,2006,577.00,548.00,,28,本科一批,43,理科,天津
重庆,重庆大学,2005,542.00,493.00,,30,本科一批,35,理科,天津
重庆,重庆大学,2003,,,,,不详,,理科,天津
重庆,重庆大学,2002,,,,,不详,,理科,天津
重庆,重庆大学,2001,,,,,不详,,理科,天津
重庆,重庆大学,2013,460.00,439.00,,17,本科一批,34,理科,上海
重庆,重庆大学,2012,461.00,450.00,,17,本科一批,27,理科,上海
重庆,重庆大学,2011,509.00,477.00,,16,本科一批,15,理科,上海
