招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
云南,云南大学,2013,563.00,553.00,,21,本科一批,20,文科,天津
云南,云南大学,2012,602.00,578.00,,20,本科一批,29,文科,天津
云南,云南大学,2011,545.00,534.00,,20,本科一批,15,文科,天津
云南,云南大学,2010,556.00,536.00,,21,本科一批,17,文科,天津
云南,云南大学,2009,549.00,531.00,,14,本科一批,20,文科,天津
云南,云南大学,2008,572.00,547.00,,20,本科一批,24,文科,天津
云南,云南大学,2007,561.00,539.00,,18,本科一批,26,文科,天津
云南,云南大学,2006,537.00,500.00,,35,本科一批,23,文科,天津
云南,云南大学,2005,559.00,513.00,,12,本科一批,15,文科,天津
云南,云南大学,2004,,,,,不详,,文科,天津
云南,云南大学,2003,,506.00,,,不详,,文科,天津
云南,云南大学,2002,,517.00,,,不详,,文科,天津
云南,云南大学,2001,,518.00,,,不详,,文科,天津
云南,云南大学,2013,602.00,589.00,,31,本科一批,33,文科,重庆
云南,云南大学,2012,604.00,583.00,,31,本科一批,29,文科,重庆
云南,云南大学,2011,603.00,583.00,,26,本科一批,19,文科,重庆
云南,云南大学,2010,607.00,589.00,,24,本科一批,16,文科,重庆
云南,云南大学,2009,566.00,554.00,,15,本科一批,8,文科,重庆
云南,云南大学,2008,605.00,585.00,,15,本科一批,9,文科,重庆
云南,云南大学,2003,,,,,不详,,文科,重庆
云南,云南大学,2002,,423.00,,,不详,,文科,重庆
云南,云南大学,2013,599.00,582.00,,42,本科一批,21,文科,河北
云南,云南大学,2012,600.00,588.00,,46,本科一批,16,文科,河北
云南,云南大学,2011,590.00,576.00,,45,本科一批,14,文科,河北
云南,云南大学,2010,567.00,559.00,,31,本科一批,20,文科,河北
云南,云南大学,2009,563.00,555.00,,42,本科一批,16,文科,河北
云南,云南大学,2008,569.00,554.00,,58,本科一批,17,文科,河北
云南,云南大学,2007,595.00,581.00,,28,本科一批,15,文科,河北
云南,云南大学,2006,593.00,579.00,,32,本科一批,18,文科,河北
云南,云南大学,2005,576.00,557.00,,32,本科一批,21,文科,河北
云南,云南大学,2004,,,592.00,,不详,,文科,河北
云南,云南大学,2003,,,544.00,,不详,,文科,河北
云南,云南大学,2002,,508.00,,,不详,,文科,河北
云南,云南大学,2001,,565.00,,,不详,,文科,河北
云南,云南大学,2013,553.00,542.00,,25,本科一批,23,文科,河南
云南,云南大学,2012,590.00,577.00,,25,本科一批,20,文科,河南
云南,云南大学,2011,580.00,575.00,,22,本科一批,13,文科,河南
云南,云南大学,2010,559.00,544.00,,18,本科一批,12,文科,河南
云南,云南大学,2009,578.00,562.00,,13,本科一批,10,文科,河南
云南,云南大学,2008,631.00,581.00,,17,本科一批,24,文科,河南
云南,云南大学,2007,628.00,601.00,,22,本科一批,12,文科,河南
云南,云南大学,2006,626.00,603.00,,28,本科一批,12,文科,河南
云南,云南大学,2005,601.00,580.00,,21,本科一批,15,文科,河南
