招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
云南,云南大学,2013,572.00,549.00,,38,本科一批,28,理科,天津
云南,云南大学,2012,576.00,553.00,,43,本科一批,23,理科,天津
云南,云南大学,2011,555.00,537.00,,39,本科一批,22,理科,天津
云南,云南大学,2010,557.00,529.00,,33,本科一批,20,理科,天津
云南,云南大学,2009,554.00,523.00,,34,本科一批,21,理科,天津
云南,云南大学,2008,573.00,543.00,,39,本科一批,21,理科,天津
云南,云南大学,2007,560.00,529.00,,41,本科一批,20,理科,天津
云南,云南大学,2006,632.00,532.00,,55,本科一批,27,理科,天津
云南,云南大学,2005,520.00,489.00,,23,本科一批,31,理科,天津
云南,云南大学,2004,,,,,不详,,理科,天津
云南,云南大学,2003,,473.00,,,不详,,理科,天津
云南,云南大学,2002,,532.00,,,不详,,理科,天津
云南,云南大学,2001,,547.00,,,不详,,理科,天津
云南,云南大学,2013,583.00,548.00,,59,本科一批,28,理科,重庆
云南,云南大学,2012,585.00,549.00,,54,本科一批,27,理科,重庆
云南,云南大学,2011,583.00,552.00,,54,本科一批,19,理科,重庆
云南,云南大学,2010,573.00,552.00,,40,本科一批,19,理科,重庆
云南,云南大学,2009,587.00,566.00,,5,本科提前批,,理科,重庆
云南,云南大学,2009,585.00,570.00,,41,本科一批,13,理科,重庆
云南,云南大学,2008,585.00,557.00,,33,本科一批,13,理科,重庆
云南,云南大学,2003,,,,,不详,,理科,重庆
云南,云南大学,2002,,498.00,,,不详,,理科,重庆
云南,云南大学,2001,,435.00,,,不详,,理科,重庆
云南,云南大学,2013,576.00,564.00,,89,本科一批,26,理科,河北
云南,云南大学,2012,602.00,584.00,,103,本科一批,20,理科,河北
云南,云南大学,2011,612.00,597.00,,97,本科一批,16,理科,河北
云南,云南大学,2010,597.00,574.00,,101,本科一批,13,理科,河北
云南,云南大学,2009,605.00,586.00,,94,本科一批,17,理科,河北
云南,云南大学,2008,588.00,570.00,,111,本科一批,18,理科,河北
云南,云南大学,2007,633.00,606.00,,60,本科一批,19,理科,河北
云南,云南大学,2006,606.00,594.00,,63,本科一批,17,理科,河北
云南,云南大学,2005,590.00,566.00,,68,本科一批,15,理科,河北
云南,云南大学,2004,,,598.00,,不详,,理科,河北
云南,云南大学,2003,,,513.00,,不详,,理科,河北
云南,云南大学,2002,,538.00,,,不详,,理科,河北
云南,云南大学,2001,,593.00,,,不详,,理科,河北
云南,云南大学,2013,550.00,538.00,,50,本科一批,33,理科,河南
云南,云南大学,2012,574.00,567.00,,55,本科一批,27,理科,河南
云南,云南大学,2011,613.00,600.00,,47,本科一批,18,理科,河南
云南,云南大学,2010,584.00,565.00,,36,本科一批,13,理科,河南
云南,云南大学,2010,559.00,555.00,,5,本科提前批,,理科,河南
云南,云南大学,2009,627.00,587.00,,5,本科提前批,,理科,河南
云南,云南大学,2009,606.00,582.00,,30,本科一批,15,理科,河南
云南,云南大学,2008,599.00,577.00,,33,本科一批,14,理科,河南
云南,云南大学,2007,630.00,608.00,,45,本科一批,12,理科,河南
云南,云南大学,2007,600.00,599.00,,3,本科提前批,,理科,河南
云南,云南大学,2006,634.00,603.00,,52,本科一批,13,理科,河南
云南,云南大学,2005,611.00,584.00,,33,本科一批,16,理科,河南
云南,云南大学,2004,,,589.00,,不详,,理科,河南
云南,云南大学,2003,,590.00,,,不详,,理科,河南
云南,云南大学,2002,,545.00,,,不详,,理科,河南
云南,云南大学,2001,,447.00,,,不详,,理科,河南
云南,云南大学,2013,614.00,598.00,,100,本科一批,44,理科,山东
云南,云南大学,2012,628.00,610.00,,111,本科一批,28,理科,山东
云南,云南大学,2011,607.00,588.00,,100,本科一批,21,理科,山东
云南,云南大学,2010,645.00,603.00,,98,本科一批,23,理科,山东
云南,云南大学,2010,603.00,590.00,,5,本科提前批,,理科,山东
云南,云南大学,2009,622.00,604.00,,92,本科一批,18,理科,山东
云南,云南大学,2009,610.00,593.00,,5,本科提前批,,理科,山东
云南,云南大学,2008,617.00,599.00,,7,本科提前批,,理科,山东
云南,云南大学,2008,613.00,598.00,,92,本科一批,16,理科,山东
云南,云南大学,2007,603.00,586.00,,72,本科一批,13,理科,山东
云南,云南大学,2006,612.00,596.00,,66,本科一批,13,理科,山东
云南,云南大学,2006,590.00,590.00,,2,本科提前批,,理科,山东
云南,云南大学,2005,637.00,612.00,,34,本科一批,15,理科,山东
云南,云南大学,2005,615.00,607.00,,6,本科提前批,,理科,山东
云南,云南大学,2004,,,610.00,,不详,,理科,山东
云南,云南大学,2003,,,529.00,,不详,,理科,山东
云南,云南大学,2002,,569.00,,,不详,,理科,山东
云南,云南大学,2001,,603.00,,,不详,,理科,山东
云南,云南大学,2013,582.00,519.00,,37,本科一批,26,理科,山西
云南,云南大学,2012,566.00,548.00,,41,本科一批,18,理科,山西
云南,云南大学,2011,605.00,578.00,,36,本科一批,8,理科,山西
云南,云南大学,2010,581.00,547.00,,32,本科一批,11,理科,山西
云南,云南大学,2009,587.00,557.00,,33,本科一批,10,理科,山西
云南,云南大学,2008,584.00,561.00,,33,本科一批,15,理科,山西
云南,云南大学,2007,612.00,581.00,,28,本科一批,9,理科,山西
云南,云南大学,2006,592.00,581.00,,4,本科一批,29,理科,山西
云南,云南大学,2005,610.00,545.00,,50,本科一批,13,理科,山西
云南,云南大学,2002,,506.00,,,不详,,理科,山西
云南,云南大学,2001,,561.00,,,不详,,理科,山西
云南,云南大学,2013,539.00,525.00,,24,本科一批,35,理科,安徽
云南,云南大学,2012,585.00,574.00,,41,本科一批,30,理科,安徽
云南,云南大学,2011,582.00,559.00,,41,本科一批,25,理科,安徽
云南,云南大学,2010,591.00,576.00,,32,本科一批,14,理科,安徽
云南,云南大学,2009,604.00,596.00,,33,本科一批,17,理科,安徽
云南,云南大学,2008,606.00,576.00,,35,本科一批,13,理科,安徽
云南,云南大学,2007,601.00,582.00,,20,本科一批,19,理科,安徽
云南,云南大学,2006,631.00,588.00,,9,本科一批,22,理科,安徽
云南,云南大学,2006,579.00,571.00,,3,本科提前批,,理科,安徽
云南,云南大学,2005,578.00,558.00,,5,本科提前批,,理科,安徽
云南,云南大学,2005,576.00,555.00,,10,本科一批,14,理科,安徽
云南,云南大学,2002,,535.00,,,不详,,理科,安徽
云南,云南大学,2001,,524.00,,,不详,,理科,安徽
云南,云南大学,2013,557.00,538.00,,21,本科一批,21,理科,江西
云南,云南大学,2012,572.00,562.00,,16,本科一批,15,理科,江西
云南,云南大学,2011,603.00,553.00,,15,本科一批,22,理科,江西
云南,云南大学,2010,544.00,530.00,,14,本科一批,15,理科,江西
云南,云南大学,2009,549.00,531.00,,16,本科一批,13,理科,江西
云南,云南大学,2008,559.00,530.00,,34,本科一批,18,理科,江西
云南,云南大学,2007,628.00,586.00,,31,本科一批,15,理科,江西
云南,云南大学,2006,590.00,568.00,,28,本科一批,18,理科,江西
云南,云南大学,2006,548.00,538.00,,6,本科提前批,,理科,江西
云南,云南大学,2005,599.00,560.00,,43,本科一批,15,理科,江西
云南,云南大学,2004,,,596.00,,不详,,理科,江西
云南,云南大学,2003,,525.00,,,不详,,理科,江西
云南,云南大学,2002,,584.00,,,不详,,理科,江西
云南,云南大学,2001,,582.00,,,不详,,理科,江西
云南,云南大学,2013,,,341.00,,本科一批,,理科,江苏
云南,云南大学,2007,605.00,602.00,,3,本科一批,,理科,江苏
云南,云南大学,2005,580.00,567.00,,24,本科一批,,理科,江苏
云南,云南大学,2004,,,575.00,,不详,,理科,江苏
云南,云南大学,2003,,,501.00,,不详,,理科,江苏
云南,云南大学,2002,,569.00,,,不详,,理科,江苏
云南,云南大学,2001,,566.00,,,不详,,理科,江苏
云南,云南大学,2013,,,633.00,,本科一批,,理科,浙江
云南,云南大学,2010,591.00,564.00,,63,本科一批,13,理科,浙江
云南,云南大学,2008,602.00,563.00,,56,本科一批,13,理科,浙江
云南,云南大学,2007,602.00,580.00,,47,本科一批,12,理科,浙江
云南,云南大学,2006,599.00,578.00,,44,本科一批,8,理科,浙江
云南,云南大学,2005,591.00,563.00,,46,本科一批,,理科,浙江
云南,云南大学,2004,,,574.00,,不详,,理科,浙江
云南,云南大学,2003,,,508.00,,不详,,理科,浙江
云南,云南大学,2002,,575.00,,,不详,,理科,浙江
云南,云南大学,2001,,581.00,,,不详,,理科,浙江
云南,云南大学,2013,569.00,550.00,,58,本科一批,23,理科,湖北
云南,云南大学,2012,584.00,566.00,,61,本科一批,15,理科,湖北
云南,云南大学,2011,602.00,584.00,,49,本科一批,13,理科,湖北
云南,云南大学,2010,614.00,567.00,,38,本科一批,10,理科,湖北
云南,云南大学,2010,572.00,565.00,,5,本科提前批,,理科,湖北
云南,云南大学,2009,557.00,547.00,,30,本科一批,7,理科,湖北
云南,云南大学,2009,549.00,547.00,,5,本科提前批,,理科,湖北
云南,云南大学,2008,588.00,557.00,,39,本科一批,9,理科,湖北
云南,云南大学,2007,574.00,554.00,,33,本科一批,6,理科,湖北
云南,云南大学,2006,573.00,552.00,,37,本科一批,6,理科,湖北
云南,云南大学,2005,562.00,540.00,,25,本科一批,16,理科,湖北
云南,云南大学,2004,,,570.00,,不详,,理科,湖北
云南,云南大学,2003,,,516.00,,不详,,理科,湖北
云南,云南大学,2002,,528.00,,,不详,,理科,湖北
云南,云南大学,2001,,578.00,,,不详,,理科,湖北
云南,云南大学,2013,575.00,531.00,,89,本科一批,36,理科,湖南
云南,云南大学,2012,604.00,557.00,,91,本科一批,37,理科,湖南
云南,云南大学,2011,608.00,590.00,,80,本科一批,18,理科,湖南
云南,云南大学,2010,608.00,578.00,,79,本科一批,11,理科,湖南
云南,云南大学,2010,579.00,571.00,,5,本科提前批,,理科,湖南
云南,云南大学,2010,,,608.00,,undefined,,理科,湖南
云南,云南大学,2009,581.00,557.00,,5,本科提前批,,理科,湖南
云南,云南大学,2009,573.00,547.00,,87,本科一批,13,理科,湖南
云南,云南大学,2008,566.00,548.00,,96,本科一批,12,理科,湖南
云南,云南大学,2008,564.00,549.00,,10,本科提前批,,理科,湖南
云南,云南大学,2007,570.00,551.00,,60,本科一批,16,理科,湖南
云南,云南大学,2007,564.00,543.00,,10,本科提前批,,理科,湖南
云南,云南大学,2006,601.00,565.00,,80,本科一批,18,理科,湖南
云南,云南大学,2006,585.00,567.00,,4,本科提前批,,理科,湖南
云南,云南大学,2005,577.00,563.00,,85,本科一批,19,理科,湖南
云南,云南大学,2004,,,,,不详,,理科,湖南
