招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
云南,云南大学,2008,349.00,336.00,,10,本科一批,6,综合,江苏
云南,云南大学,2007,605.00,602.00,,3,本科一批,14,综合,江苏
云南,昆明理工大学,2008,334.00,321.00,,19,本科二批,21,综合,江苏
云南,昆明理工大学,2007,584.00,577.00,,10,本科二批,18,综合,江苏
云南,昆明理工大学,2007,584.00,577.00,,10,本科二三批,,综合,江苏
云南,昆明理工大学,2006,572.00,561.00,,21,本科二批,19,综合,江苏
云南,昆明理工大学,2006,635.00,614.00,,10,本科二批,,综合,广东
云南,昆明理工大学,2006,635.00,614.00,,10,本科二三批,,综合,广东
云南,云南农业大学,2008,329.00,310.00,,15,本科二批,10,综合,江苏
云南,云南农业大学,2007,576.00,567.00,,20,本科二批,8,综合,江苏
云南,云南农业大学,2007,576.00,567.00,,20,本科二三批,,综合,江苏
云南,云南农业大学,2006,572.00,549.00,,40,本科二批,7,综合,江苏
云南,云南农业大学,2006,600.00,575.00,,20,本科二三批,,综合,广东
云南,云南农业大学,2006,600.00,575.00,,20,本科二批,,综合,广东
云南,西南林业大学,2006,575.00,567.00,,20,本科二三批,,综合,广东
云南,大理学院,2008,332.00,313.00,,20,本科二批,13,综合,江苏
云南,大理学院,2007,577.00,565.00,,10,本科二批,6,综合,江苏
云南,大理学院,2007,577.00,565.00,,10,本科二三批,,综合,江苏
云南,大理学院,2006,559.00,546.00,,40,本科二批,4,综合,江苏
云南,大理学院,2006,596.00,565.00,,20,本科二批,,综合,广东
云南,大理学院,2006,596.00,565.00,,20,本科二三批,,综合,广东
云南,云南师范大学,2008,329.00,314.00,,12,本科二批,14,综合,江苏
云南,云南师范大学,2007,569.00,563.00,,5,本科二三批,,综合,江苏
云南,云南师范大学,2007,569.00,563.00,,5,本科二批,4,综合,江苏
云南,云南师范大学,2006,559.00,545.00,,25,本科二批,3,综合,江苏
云南,玉溪师范学院,2008,317.00,306.00,,10,本科二批,6,综合,江苏
