招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
内蒙古,内蒙古大学,2013,599.00,562.00,,4,本科一批,13,文科,北京
内蒙古,内蒙古大学,2012,549.00,513.00,,5,本科一批,18,文科,北京
内蒙古,内蒙古大学,2010,524.00,524.00,,1,本科一批,0,文科,北京
内蒙古,内蒙古大学,2009,548.00,537.00,,5,本科一批,5,文科,北京
内蒙古,内蒙古大学,2007,539.00,535.00,,2,本科一批,7,文科,北京
内蒙古,内蒙古大学,2005,516.00,497.00,,5,本科一批,11,文科,北京
内蒙古,内蒙古大学,2004,,,474.00,,不详,,文科,北京
内蒙古,内蒙古大学,2003,,,,,不详,,文科,北京
内蒙古,内蒙古大学,2002,,,,,不详,,文科,北京
内蒙古,内蒙古大学,2013,545.00,541.00,,3,本科一批,8,文科,天津
内蒙古,内蒙古大学,2012,589.00,564.00,,4,本科一批,15,文科,天津
内蒙古,内蒙古大学,2011,532.00,527.00,,3,本科一批,8,文科,天津
内蒙古,内蒙古大学,2010,524.00,522.00,,2,本科一批,3,文科,天津
内蒙古,内蒙古大学,2009,517.00,513.00,,6,本科一批,2,文科,天津
内蒙古,内蒙古大学,2008,593.00,541.00,,8,本科一批,18,文科,天津
内蒙古,内蒙古大学,2007,524.00,519.00,,5,本科一批,6,文科,天津
内蒙古,内蒙古大学,2006,487.00,481.00,,6,本科一批,4,文科,天津
内蒙古,内蒙古大学,2005,511.00,507.00,,6,本科一批,9,文科,天津
内蒙古,内蒙古大学,2003,,,,,不详,,文科,天津
内蒙古,内蒙古大学,2002,,,,,不详,,文科,天津
内蒙古,内蒙古大学,2013,577.00,567.00,,8,本科一批,11,文科,重庆
内蒙古,内蒙古大学,2011,603.00,586.00,,2,本科一批,22,文科,重庆
内蒙古,内蒙古大学,2010,579.00,575.00,,5,本科一批,2,文科,重庆
内蒙古,内蒙古大学,2009,552.00,551.00,,2,本科一批,5,文科,重庆
内蒙古,内蒙古大学,2008,576.00,576.00,,1,本科一批,0,文科,重庆
内蒙古,内蒙古大学,2007,544.00,544.00,,2,本科一批,4,文科,重庆
内蒙古,内蒙古大学,2005,551.00,551.00,,1,本科一批,2,文科,重庆
内蒙古,内蒙古大学,2004,,,537.00,,不详,,文科,重庆
内蒙古,内蒙古大学,2003,,,,,不详,,文科,重庆
内蒙古,内蒙古大学,2013,512.00,508.00,,11,本科一批,,文科,河北
内蒙古,内蒙古大学,2012,593.00,582.00,,13,本科一批,10,文科,河北
内蒙古,内蒙古大学,2011,578.00,571.00,,18,本科一批,9,文科,河北
内蒙古,内蒙古大学,2010,555.00,546.00,,33,本科一批,7,文科,河北
内蒙古,内蒙古大学,2009,554.00,545.00,,28,本科一批,6,文科,河北
内蒙古,内蒙古大学,2008,551.00,542.00,,24,本科一批,5,文科,河北
内蒙古,内蒙古大学,2007,587.00,572.00,,19,本科一批,6,文科,河北
内蒙古,内蒙古大学,2006,574.00,565.00,,17,本科一批,4,文科,河北
内蒙古,内蒙古大学,2005,565.00,542.00,,26,本科一批,6,文科,河北
内蒙古,内蒙古大学,2004,,,498.00,,不详,,文科,河北
内蒙古,内蒙古大学,2003,,,,,不详,,文科,河北
内蒙古,内蒙古大学,2002,,,,,不详,,文科,河北
内蒙古,内蒙古大学,2001,,533.00,,,不详,,文科,河北
内蒙古,内蒙古大学,2013,536.00,528.00,,13,本科一批,9,文科,河南
内蒙古,内蒙古大学,2012,574.00,566.00,,11,本科一批,9,文科,河南
内蒙古,内蒙古大学,2011,573.00,569.00,,7,本科一批,7,文科,河南
内蒙古,内蒙古大学,2010,539.00,535.00,,36,本科一批,3,文科,河南
内蒙古,内蒙古大学,2009,578.00,563.00,,8,本科一批,11,文科,河南
内蒙古,内蒙古大学,2008,573.00,562.00,,6,本科一批,5,文科,河南
