招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
内蒙古,内蒙古大学,2013,658.00,625.00,,8,本科一批,75,理科,北京
内蒙古,内蒙古大学,2012,545.00,506.00,,6,本科一批,29,理科,北京
内蒙古,内蒙古大学,2011,565.00,541.00,,3,本科一批,57,理科,北京
内蒙古,内蒙古大学,2010,555.00,530.00,,5,本科一批,36,理科,北京
内蒙古,内蒙古大学,2009,511.00,505.00,,10,本科一批,4,理科,北京
内蒙古,内蒙古大学,2007,561.00,549.00,,2,本科一批,18,理科,北京
内蒙古,内蒙古大学,2005,558.00,499.00,,11,本科一批,29,理科,北京
内蒙古,内蒙古大学,2004,,,491.00,,不详,,理科,北京
内蒙古,内蒙古大学,2003,,,,,不详,,理科,北京
内蒙古,内蒙古大学,2002,,,,,不详,,理科,北京
内蒙古,内蒙古大学,2013,539.00,529.00,,7,本科一批,8,理科,天津
内蒙古,内蒙古大学,2012,536.00,534.00,,3,本科一批,4,理科,天津
内蒙古,内蒙古大学,2011,537.00,522.00,,4,本科一批,7,理科,天津
内蒙古,内蒙古大学,2010,512.00,511.00,,5,本科一批,2,理科,天津
内蒙古,内蒙古大学,2009,523.00,509.00,,7,本科一批,7,理科,天津
内蒙古,内蒙古大学,2008,533.00,524.00,,5,本科一批,2,理科,天津
内蒙古,内蒙古大学,2007,531.00,517.00,,12,本科一批,8,理科,天津
内蒙古,内蒙古大学,2006,635.00,529.00,,14,本科一批,24,理科,天津
内蒙古,内蒙古大学,2005,481.00,469.00,,11,本科一批,11,理科,天津
内蒙古,内蒙古大学,2003,,,,,不详,,理科,天津
内蒙古,内蒙古大学,2002,,,,,不详,,理科,天津
内蒙古,内蒙古大学,2013,532.00,524.00,,11,本科一批,4,理科,重庆
内蒙古,内蒙古大学,2012,564.00,532.00,,19,本科一批,10,理科,重庆
内蒙古,内蒙古大学,2011,538.00,535.00,,6,本科一批,2,理科,重庆
内蒙古,内蒙古大学,2010,550.00,537.00,,7,本科一批,4,理科,重庆
内蒙古,内蒙古大学,2009,590.00,566.00,,9,本科一批,9,理科,重庆
内蒙古,内蒙古大学,2008,576.00,562.00,,5,本科一批,18,理科,重庆
内蒙古,内蒙古大学,2007,512.00,509.00,,2,本科一批,4,理科,重庆
内蒙古,内蒙古大学,2005,580.00,561.00,,7,本科一批,13,理科,重庆
内蒙古,内蒙古大学,2004,,,518.00,,不详,,理科,重庆
