招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
吉林,吉林大学,2013,653.00,593.00,,20,本科一批,44,文科,北京
吉林,吉林大学,2012,578.00,544.00,,24,本科一批,49,文科,北京
吉林,吉林大学,2011,585.00,547.00,,19,本科一批,23,文科,北京
吉林,吉林大学,2010,580.00,554.00,,22,本科一批,30,文科,北京
吉林,吉林大学,2009,605.00,570.00,,21,本科一批,38,文科,北京
吉林,吉林大学,2008,596.00,550.00,,23,本科一批,35,文科,北京
吉林,吉林大学,2007,606.00,572.00,,29,本科一批,44,文科,北京
吉林,吉林大学,2006,601.00,557.00,,30,本科一批,41,文科,北京
吉林,吉林大学,2005,555.00,519.00,,31,本科一批,33,文科,北京
吉林,吉林大学,2003,,,,,不详,,文科,北京
吉林,吉林大学,2002,,492.00,,,不详,,文科,北京
吉林,吉林大学,2001,,485.00,,,不详,,文科,北京
吉林,吉林大学,2013,596.00,585.00,,24,本科一批,52,文科,天津
吉林,吉林大学,2012,620.00,613.00,,21,本科一批,64,文科,天津
吉林,吉林大学,2011,593.00,575.00,,22,本科一批,56,文科,天津
吉林,吉林大学,2010,602.00,568.00,,20,本科一批,49,文科,天津
吉林,吉林大学,2009,599.00,570.00,,20,本科一批,59,文科,天津
吉林,吉林大学,2008,602.00,572.00,,30,本科一批,49,文科,天津
吉林,吉林大学,2007,604.00,567.00,,30,本科一批,54,文科,天津
吉林,吉林大学,2006,570.00,527.00,,30,本科一批,50,文科,天津
吉林,吉林大学,2005,584.00,544.00,,30,本科一批,46,文科,天津
吉林,吉林大学,2003,,,,,不详,,文科,天津
吉林,吉林大学,2002,,553.00,,,不详,,文科,天津
吉林,吉林大学,2001,,539.00,,,不详,,文科,天津
吉林,吉林大学,2013,475.00,461.00,,5,本科一批,13,文科,上海
吉林,吉林大学,2011,493.00,475.00,,6,本科一批,7,文科,上海
吉林,吉林大学,2010,473.00,467.00,,8,本科一批,3,文科,上海
吉林,吉林大学,2009,472.00,471.00,,2,本科一批,0,文科,上海
吉林,吉林大学,2008,478.00,474.00,,10,本科一批,3,文科,上海
吉林,吉林大学,2007,499.00,483.00,,6,本科一批,18,文科,上海
吉林,吉林大学,2006,516.00,501.00,,9,本科一批,11,文科,上海
吉林,吉林大学,2005,504.00,488.00,,10,本科一批,,文科,上海
吉林,吉林大学,2003,,,,,不详,,文科,上海
吉林,吉林大学,2002,,476.00,,,不详,,文科,上海
吉林,吉林大学,2013,612.00,605.00,,20,本科一批,49,文科,重庆
吉林,吉林大学,2012,614.00,597.00,,25,本科一批,43,文科,重庆
吉林,吉林大学,2011,609.00,595.00,,23,本科一批,31,文科,重庆
吉林,吉林大学,2010,625.00,611.00,,21,本科一批,38,文科,重庆
吉林,吉林大学,2009,599.00,578.00,,20,本科一批,32,文科,重庆
吉林,吉林大学,2008,621.00,604.00,,20,本科一批,28,文科,重庆
吉林,吉林大学,2007,586.00,573.00,,24,本科一批,33,文科,重庆
吉林,吉林大学,2006,606.00,588.00,,20,本科一批,32,文科,重庆
吉林,吉林大学,2005,606.00,581.00,,20,本科一批,32,文科,重庆
吉林,吉林大学,2004,,,,,不详,,文科,重庆
吉林,吉林大学,2003,,,,,不详,,文科,重庆
吉林,吉林大学,2002,,523.00,,,不详,,文科,重庆
吉林,吉林大学,2001,,552.00,,,不详,,文科,重庆
吉林,吉林大学,2013,599.00,578.00,,70,本科一批,17,文科,河北
吉林,吉林大学,2013,500.00,485.00,,3,本科二批,,文科,河北
吉林,吉林大学,2012,619.00,610.00,,47,本科一批,38,文科,河北
吉林,吉林大学,2011,608.00,597.00,,39,本科一批,35,文科,河北
吉林,吉林大学,2010,584.00,577.00,,39,本科一批,38,文科,河北
吉林,吉林大学,2009,580.00,572.00,,44,本科一批,33,文科,河北
吉林,吉林大学,2009,507.00,507.00,,1,本科二批,5,文科,河北
吉林,吉林大学,2008,579.00,567.00,,40,本科一批,30,文科,河北
吉林,吉林大学,2007,606.00,585.00,,48,本科一批,19,文科,河北
吉林,吉林大学,2006,612.00,596.00,,49,本科一批,35,文科,河北
吉林,吉林大学,2005,586.00,569.00,,49,本科一批,33,文科,河北
吉林,吉林大学,2004,,,600.00,,不详,,文科,河北
吉林,吉林大学,2003,,,569.00,,不详,,文科,河北
吉林,吉林大学,2002,,557.00,,,不详,,文科,河北
吉林,吉林大学,2001,,558.00,,,不详,,文科,河北
吉林,吉林大学,2013,583.00,569.00,,49,本科一批,50,文科,河南
吉林,吉林大学,2012,606.00,601.00,,51,本科一批,44,文科,河南
吉林,吉林大学,2011,609.00,599.00,,51,本科一批,37,文科,河南
吉林,吉林大学,2010,578.00,569.00,,47,本科一批,37,文科,河南
吉林,吉林大学,2010,572.00,553.00,,13,本科提前批,,文科,河南
吉林,吉林大学,2009,604.00,594.00,,14,本科提前批,,文科,河南
吉林,吉林大学,2009,603.00,578.00,,57,本科一批,26,文科,河南
吉林,吉林大学,2008,613.00,603.00,,14,本科提前批,,文科,河南
吉林,吉林大学,2008,608.00,578.00,,53,本科一批,21,文科,河南
吉林,吉林大学,2007,636.00,625.00,,18,本科提前批,,文科,河南
吉林,吉林大学,2007,636.00,614.00,,50,本科一批,25,文科,河南
吉林,吉林大学,2006,654.00,629.00,,19,本科提前批,,文科,河南
吉林,吉林大学,2006,646.00,615.00,,59,本科一批,24,文科,河南
吉林,吉林大学,2005,625.00,615.00,,12,本科提前批,,文科,河南
吉林,吉林大学,2005,616.00,593.00,,41,本科一批,28,文科,河南
吉林,吉林大学,2003,,,,,不详,,文科,河南
吉林,吉林大学,2002,,585.00,,,不详,,文科,河南
吉林,吉林大学,2001,,468.00,,,不详,,文科,河南
吉林,吉林大学,2013,629.00,617.00,,52,本科一批,47,文科,山东
吉林,吉林大学,2012,644.00,624.00,,56,本科一批,51,文科,山东
吉林,吉林大学,2011,624.00,610.00,,61,本科一批,40,文科,山东
吉林,吉林大学,2011,585.00,585.00,,1,本科二批,,文科,山东
吉林,吉林大学,2010,648.00,636.00,,60,本科一批,30,文科,山东
吉林,吉林大学,2009,640.00,623.00,,60,本科一批,27,文科,山东
吉林,吉林大学,2008,632.00,609.00,,70,本科一批,25,文科,山东
吉林,吉林大学,2007,640.00,626.00,,69,本科一批,33,文科,山东
吉林,吉林大学,2006,618.00,598.00,,69,本科一批,30,文科,山东
吉林,吉林大学,2005,618.00,592.00,,69,本科一批,20,文科,山东
吉林,吉林大学,2004,,,625.00,,不详,,文科,山东
吉林,吉林大学,2003,,,573.00,,不详,,文科,山东
吉林,吉林大学,2002,,587.00,,,不详,,文科,山东
吉林,吉林大学,2001,,587.00,,,不详,,文科,山东
吉林,吉林大学,2013,553.00,546.00,,32,本科一批,39,文科,山西
吉林,吉林大学,2012,577.00,571.00,,30,本科一批,32,文科,山西
吉林,吉林大学,2011,585.00,563.00,,29,本科一批,20,文科,山西
吉林,吉林大学,2010,583.00,556.00,,29,本科一批,23,文科,山西
吉林,吉林大学,2009,601.00,580.00,,29,本科一批,32,文科,山西
吉林,吉林大学,2008,601.00,571.00,,30,本科一批,26,文科,山西
吉林,吉林大学,2007,631.00,599.00,,30,本科一批,19,文科,山西
吉林,吉林大学,2006,612.00,592.00,,20,本科一批,31,文科,山西
吉林,吉林大学,2005,585.00,567.00,,20,本科一批,33,文科,山西
吉林,吉林大学,2004,,,592.00,,不详,,文科,山西
吉林,吉林大学,2003,,,518.00,,不详,,文科,山西
吉林,吉林大学,2002,,575.00,,,不详,,文科,山西
吉林,吉林大学,2001,,554.00,,,不详,,文科,山西
吉林,吉林大学,2013,598.00,584.00,,28,本科一批,44,文科,安徽
吉林,吉林大学,2012,626.00,612.00,,20,本科一批,35,文科,安徽
吉林,吉林大学,2011,600.00,581.00,,20,本科一批,34,文科,安徽
吉林,吉林大学,2010,615.00,608.00,,20,本科一批,35,文科,安徽
吉林,吉林大学,2009,579.00,570.00,,21,本科一批,27,文科,安徽
吉林,吉林大学,2008,593.00,579.00,,20,本科一批,26,文科,安徽
吉林,吉林大学,2007,587.00,582.00,,22,本科一批,31,文科,安徽
吉林,吉林大学,2006,616.00,596.00,,22,本科一批,23,文科,安徽
吉林,吉林大学,2005,597.00,574.00,,21,本科一批,31,文科,安徽
吉林,吉林大学,2003,,,,,不详,,文科,安徽
吉林,吉林大学,2002,,557.00,,,不详,,文科,安徽
吉林,吉林大学,2013,573.00,568.00,,12,本科一批,36,文科,江西
吉林,吉林大学,2012,609.00,603.00,,21,本科一批,33,文科,江西
吉林,吉林大学,2011,575.00,563.00,,21,本科一批,31,文科,江西
吉林,吉林大学,2010,562.00,555.00,,21,本科一批,34,文科,江西
吉林,吉林大学,2009,556.00,544.00,,22,本科一批,29,文科,江西
吉林,吉林大学,2008,567.00,553.00,,20,本科一批,33,文科,江西
吉林,吉林大学,2007,606.00,598.00,,20,本科一批,25,文科,江西
吉林,吉林大学,2006,605.00,582.00,,20,本科一批,,文科,江西
吉林,吉林大学,2005,595.00,578.00,,20,本科一批,24,文科,江西
吉林,吉林大学,2004,,,586.00,,不详,,文科,江西
吉林,吉林大学,2002,,550.00,,,不详,,文科,江西
吉林,吉林大学,2007,643.00,619.00,,263,本科一批,,文科,江苏
吉林,吉林大学,2006,640.00,610.00,,248,本科一批,,文科,江苏
吉林,吉林大学,2005,619.00,597.00,,240,本科一批,,文科,江苏
吉林,吉林大学,2002,,590.00,,,不详,,文科,江苏
吉林,吉林大学,2001,,551.00,,,不详,,文科,江苏
吉林,吉林大学,2013,,,655.00,,本科一批,,文科,浙江
吉林,吉林大学,2010,637.00,626.00,,21,本科一批,36,文科,浙江
吉林,吉林大学,2008,592.00,580.00,,20,本科一批,30,文科,浙江
吉林,吉林大学,2007,593.00,577.00,,22,本科一批,24,文科,浙江
吉林,吉林大学,2006,620.00,611.00,,20,本科一批,28,文科,浙江
吉林,吉林大学,2005,622.00,589.00,,20,本科一批,,文科,浙江
吉林,吉林大学,2004,,,597.00,,不详,,文科,浙江
吉林,吉林大学,2003,,,548.00,,不详,,文科,浙江
吉林,吉林大学,2002,,578.00,,,不详,,文科,浙江
吉林,吉林大学,2013,576.00,565.00,,32,本科一批,34,文科,湖北
吉林,吉林大学,2012,603.00,586.00,,32,本科一批,25,文科,湖北
吉林,吉林大学,2011,583.00,564.00,,32,本科一批,17,文科,湖北
吉林,吉林大学,2010,566.00,552.00,,30,本科一批,22,文科,湖北
吉林,吉林大学,2009,559.00,539.00,,30,本科一批,21,文科,湖北
吉林,吉林大学,2008,568.00,551.00,,20,本科一批,19,文科,湖北
吉林,吉林大学,2007,570.00,542.00,,20,本科一批,17,文科,湖北
吉林,吉林大学,2006,584.00,571.00,,19,本科一批,26,文科,湖北
吉林,吉林大学,2005,546.00,540.00,,20,本科一批,34,文科,湖北
吉林,吉林大学,2004,,,542.00,,不详,,文科,湖北
吉林,吉林大学,2003,,,516.00,,不详,,文科,湖北
吉林,吉林大学,2002,,570.00,,,不详,,文科,湖北
吉林,吉林大学,2001,,550.00,,,不详,,文科,湖北
吉林,吉林大学,2013,616.00,601.00,,33,本科一批,44,文科,湖南
吉林,吉林大学,2012,614.00,604.00,,31,本科一批,33,文科,湖南
吉林,吉林大学,2011,612.00,603.00,,31,本科一批,20,文科,湖南
吉林,吉林大学,2010,608.00,598.00,,32,本科一批,20,文科,湖南
吉林,吉林大学,2009,591.00,576.00,,29,本科一批,22,文科,湖南
吉林,吉林大学,2008,616.00,605.00,,21,本科一批,24,文科,湖南
吉林,吉林大学,2007,596.00,582.00,,22,本科一批,20,文科,湖南
吉林,吉林大学,2006,644.00,626.00,,19,本科一批,33,文科,湖南
吉林,吉林大学,2005,622.00,614.00,,20,本科一批,40,文科,湖南
吉林,吉林大学,2004,,,595.00,,不详,,文科,湖南
吉林,吉林大学,2003,,,589.00,,不详,,文科,湖南
吉林,吉林大学,2002,,590.00,,,不详,,文科,湖南
吉林,吉林大学,2001,,577.00,,,不详,,文科,湖南
吉林,吉林大学,2013,625.00,620.00,,8,本科一批,26,文科,广东
吉林,吉林大学,2012,618.00,612.00,,13,本科一批,23,文科,广东
吉林,吉林大学,2011,613.00,599.00,,11,本科一批,19,文科,广东
吉林,吉林大学,2010,630.00,619.00,,9,本科一批,24,文科,广东
吉林,吉林大学,2009,629.00,617.00,,10,本科一批,30,文科,广东
吉林,吉林大学,2008,626.00,590.00,,10,本科一批,20,文科,广东
吉林,吉林大学,2007,643.00,622.00,,10,本科一批,31,文科,广东
吉林,吉林大学,2006,835.00,705.00,,60,本科一批,,文科,广东
吉林,吉林大学,2005,827.00,711.00,,60,本科一批,,文科,广东
吉林,吉林大学,2002,,677.00,,,不详,,文科,广东
吉林,吉林大学,2001,,676.00,,,不详,,文科,广东
吉林,吉林大学,2013,592.00,577.00,,18,本科一批,36,文科,广西
吉林,吉林大学,2012,594.00,576.00,,18,本科一批,32,文科,广西
吉林,吉林大学,2011,569.00,549.00,,22,本科一批,30,文科,广西
吉林,吉林大学,2010,555.00,542.00,,20,本科一批,32,文科,广西
吉林,吉林大学,2009,570.00,549.00,,20,本科一批,26,文科,广西
吉林,吉林大学,2008,570.00,561.00,,10,本科一批,33,文科,广西
吉林,吉林大学,2007,606.00,600.00,,10,本科一批,26,文科,广西
吉林,吉林大学,2006,599.00,587.00,,9,本科一批,29,文科,广西
吉林,吉林大学,2005,607.00,588.00,,10,本科一批,24,文科,广西
吉林,吉林大学,2002,,681.00,,,不详,,文科,广西
吉林,吉林大学,2013,588.00,571.00,,10,本科一批,51,文科,云南
吉林,吉林大学,2012,583.00,572.00,,10,本科一批,52,文科,云南
吉林,吉林大学,2011,547.00,538.00,,11,本科一批,43,文科,云南
吉林,吉林大学,2010,548.00,538.00,,11,本科一批,43,文科,云南
吉林,吉林大学,2009,576.00,562.00,,10,本科一批,42,文科,云南
吉林,吉林大学,2002,,521.00,,,不详,,文科,云南
吉林,吉林大学,2013,588.00,556.00,,10,本科一批,34,文科,贵州
吉林,吉林大学,2012,593.00,583.00,,11,本科一批,44,文科,贵州
吉林,吉林大学,2011,569.00,554.00,,12,本科一批,38,文科,贵州
