招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
吉林,吉林大学,2013,658.00,618.00,,71,本科一批,68,理科,北京
吉林,吉林大学,2012,620.00,549.00,,86,本科一批,72,理科,北京
吉林,吉林大学,2011,594.00,540.00,,91,本科一批,56,理科,北京
吉林,吉林大学,2010,627.00,562.00,,89,本科一批,68,理科,北京
吉林,吉林大学,2009,605.00,557.00,,102,本科一批,56,理科,北京
吉林,吉林大学,2008,621.00,568.00,,98,本科一批,66,理科,北京
吉林,吉林大学,2007,647.00,586.00,,85,本科一批,55,理科,北京
吉林,吉林大学,2006,633.00,585.00,,76,本科一批,57,理科,北京
吉林,吉林大学,2005,598.00,530.00,,75,本科一批,60,理科,北京
吉林,吉林大学,2003,,,,,不详,,理科,北京
吉林,吉林大学,2002,,511.00,,,不详,,理科,北京
吉林,吉林大学,2001,,523.00,,,不详,,理科,北京
吉林,吉林大学,2013,626.00,595.00,,97,本科一批,74,理科,天津
吉林,吉林大学,2012,625.00,609.00,,118,本科一批,79,理科,天津
吉林,吉林大学,2011,613.00,589.00,,111,本科一批,74,理科,天津
吉林,吉林大学,2010,610.00,574.00,,113,本科一批,65,理科,天津
吉林,吉林大学,2009,631.00,557.00,,110,本科一批,55,理科,天津
吉林,吉林大学,2008,632.00,580.00,,90,本科一批,58,理科,天津
吉林,吉林大学,2007,613.00,581.00,,95,本科一批,72,理科,天津
吉林,吉林大学,2006,604.00,568.00,,91,本科一批,63,理科,天津
吉林,吉林大学,2005,570.00,523.00,,91,本科一批,65,理科,天津
吉林,吉林大学,2003,,,,,不详,,理科,天津
吉林,吉林大学,2002,,569.00,,,不详,,理科,天津
吉林,吉林大学,2001,,546.00,,,不详,,理科,天津
吉林,吉林大学,2013,462.00,434.00,,33,本科一批,29,理科,上海
吉林,吉林大学,2012,470.00,444.00,,40,本科一批,21,理科,上海
吉林,吉林大学,2011,503.00,473.00,,40,本科一批,11,理科,上海
吉林,吉林大学,2010,484.00,471.00,,28,本科一批,6,理科,上海
吉林,吉林大学,2009,491.00,466.00,,34,本科一批,11,理科,上海
吉林,吉林大学,2008,503.00,477.00,,37,本科一批,10,理科,上海
吉林,吉林大学,2007,527.00,479.00,,26,本科一批,18,理科,上海
吉林,吉林大学,2006,520.00,481.00,,28,本科一批,15,理科,上海
吉林,吉林大学,2005,515.00,490.00,,40,本科一批,,理科,上海
吉林,吉林大学,2003,,,,,不详,,理科,上海
吉林,吉林大学,2002,,468.00,,,不详,,理科,上海
吉林,吉林大学,2001,,440.00,,,不详,,理科,上海
吉林,吉林大学,2013,619.00,580.00,,146,本科一批,60,理科,重庆
吉林,吉林大学,2012,629.00,581.00,,151,本科一批,59,理科,重庆
吉林,吉林大学,2011,612.00,570.00,,139,本科一批,37,理科,重庆
吉林,吉林大学,2010,627.00,586.00,,148,本科一批,53,理科,重庆
吉林,吉林大学,2009,644.00,594.00,,136,本科一批,37,理科,重庆
吉林,吉林大学,2008,637.00,600.00,,129,本科一批,56,理科,重庆
吉林,吉林大学,2007,616.00,563.00,,126,本科一批,58,理科,重庆
吉林,吉林大学,2006,618.00,571.00,,125,本科一批,40,理科,重庆
吉林,吉林大学,2005,642.00,593.00,,128,本科一批,45,理科,重庆
吉林,吉林大学,2004,,,,,不详,,理科,重庆
吉林,吉林大学,2003,,,,,不详,,理科,重庆
吉林,吉林大学,2002,,566.00,,,不详,,理科,重庆
吉林,吉林大学,2001,,580.00,,,不详,,理科,重庆
吉林,吉林大学,2013,633.00,601.00,,577,本科一批,63,理科,河北
吉林,吉林大学,2013,489.00,489.00,,1,本科二批,11,理科,河北
吉林,吉林大学,2012,643.00,616.00,,332,本科一批,52,理科,河北
吉林,吉林大学,2011,653.00,626.00,,326,本科一批,45,理科,河北
吉林,吉林大学,2011,567.00,562.00,,2,本科二批,27,理科,河北
吉林,吉林大学,2010,633.00,606.00,,318,本科一批,45,理科,河北
吉林,吉林大学,2009,638.00,612.00,,331,本科一批,43,理科,河北
吉林,吉林大学,2008,621.00,592.00,,290,本科一批,40,理科,河北
吉林,吉林大学,2007,646.00,620.00,,279,本科一批,33,理科,河北
吉林,吉林大学,2006,633.00,604.00,,264,本科一批,27,理科,河北
吉林,吉林大学,2005,626.00,596.00,,270,本科一批,45,理科,河北
吉林,吉林大学,2004,,,619.00,,不详,,理科,河北
吉林,吉林大学,2003,,,513.00,,不详,,理科,河北
吉林,吉林大学,2002,,590.00,,,不详,,理科,河北
吉林,吉林大学,2001,,599.00,,,不详,,理科,河北
吉林,吉林大学,2013,613.00,572.00,,540,本科一批,67,理科,河南
吉林,吉林大学,2012,630.00,599.00,,445,本科一批,59,理科,河南
吉林,吉林大学,2011,652.00,625.00,,439,本科一批,43,理科,河南
吉林,吉林大学,2010,630.00,598.00,,388,本科一批,46,理科,河南
吉林,吉林大学,2010,616.00,600.00,,74,本科提前批,,理科,河南
吉林,吉林大学,2009,645.00,604.00,,421,本科一批,37,理科,河南
吉林,吉林大学,2009,644.00,621.00,,79,本科提前批,,理科,河南
吉林,吉林大学,2008,656.00,588.00,,338,本科一批,25,理科,河南
吉林,吉林大学,2008,645.00,622.00,,73,本科提前批,,理科,河南
吉林,吉林大学,2007,666.00,647.00,,83,本科提前批,,理科,河南
吉林,吉林大学,2007,666.00,623.00,,350,本科一批,27,理科,河南
吉林,吉林大学,2006,668.00,621.00,,409,本科一批,31,理科,河南
吉林,吉林大学,2006,661.00,641.00,,66,本科提前批,,理科,河南
吉林,吉林大学,2005,671.00,635.00,,62,本科提前批,,理科,河南
吉林,吉林大学,2005,651.00,606.00,,379,本科一批,38,理科,河南
吉林,吉林大学,2003,,,,,不详,,理科,河南
吉林,吉林大学,2002,,585.00,,,不详,,理科,河南
吉林,吉林大学,2001,,468.00,,,不详,,理科,河南
吉林,吉林大学,2013,660.00,629.00,,471,本科一批,75,理科,山东
吉林,吉林大学,2012,669.00,641.00,,490,本科一批,59,理科,山东
吉林,吉林大学,2011,655.00,615.00,,490,本科一批,48,理科,山东
吉林,吉林大学,2011,514.00,514.00,,1,本科二批,,理科,山东
吉林,吉林大学,2010,659.00,628.00,,484,本科一批,48,理科,山东
吉林,吉林大学,2010,638.00,607.00,,7,本科提前批,,理科,山东
吉林,吉林大学,2010,543.00,543.00,,1,本科二批,1,理科,山东
吉林,吉林大学,2009,653.00,628.00,,469,本科一批,42,理科,山东
