招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
四川,电子科技大学,2009,607.00,558.00,,5,本科一批,26,文科,北京
四川,电子科技大学,2002,,,,,不详,,文科,北京
四川,电子科技大学,2001,,452.00,,,不详,,文科,北京
四川,电子科技大学,2013,597.00,579.00,,34,本科一批,23,文科,重庆
四川,电子科技大学,2012,584.00,572.00,,34,本科一批,18,文科,重庆
四川,电子科技大学,2011,596.00,578.00,,38,本科一批,14,文科,重庆
四川,电子科技大学,2010,600.00,586.00,,39,本科一批,13,文科,重庆
四川,电子科技大学,2009,597.00,557.00,,29,本科一批,11,文科,重庆
四川,电子科技大学,2008,602.00,587.00,,20,本科一批,11,文科,重庆
四川,电子科技大学,2007,578.00,554.00,,26,本科一批,14,文科,重庆
四川,电子科技大学,2006,594.00,565.00,,25,本科一批,9,文科,重庆
四川,电子科技大学,2005,593.00,567.00,,24,本科一批,18,文科,重庆
四川,电子科技大学,2004,,,,,不详,,文科,重庆
四川,电子科技大学,2003,,,,,不详,,文科,重庆
四川,电子科技大学,2002,,,,,不详,,文科,重庆
四川,电子科技大学,2001,,527.00,,,不详,,文科,重庆
四川,电子科技大学,2013,595.00,588.00,,9,本科一批,27,文科,河北
四川,电子科技大学,2012,598.00,592.00,,11,本科一批,20,文科,河北
四川,电子科技大学,2011,583.00,578.00,,11,本科一批,16,文科,河北
四川,电子科技大学,2010,561.00,555.00,,9,本科一批,16,文科,河北
四川,电子科技大学,2009,560.00,553.00,,11,本科一批,14,文科,河北
四川,电子科技大学,2008,556.00,548.00,,7,本科一批,11,文科,河北
四川,电子科技大学,2007,586.00,579.00,,15,本科一批,13,文科,河北
四川,电子科技大学,2006,584.00,578.00,,17,本科一批,17,文科,河北
四川,电子科技大学,2005,560.00,550.00,,19,本科一批,14,文科,河北
四川,电子科技大学,2004,,,,,不详,,文科,河北
四川,电子科技大学,2003,,,,,不详,,文科,河北
四川,电子科技大学,2002,,,,,不详,,文科,河北
四川,电子科技大学,2001,,557.00,,,不详,,文科,河北
四川,电子科技大学,2013,568.00,554.00,,8,本科一批,35,文科,河南
四川,电子科技大学,2012,593.00,585.00,,9,本科一批,28,文科,河南
四川,电子科技大学,2011,589.00,579.00,,10,本科一批,17,文科,河南
四川,电子科技大学,2010,558.00,543.00,,11,本科一批,11,文科,河南
四川,电子科技大学,2009,576.00,561.00,,13,本科一批,9,文科,河南
四川,电子科技大学,2008,578.00,567.00,,11,本科一批,10,文科,河南
四川,电子科技大学,2007,619.00,603.00,,9,本科一批,14,文科,河南
四川,电子科技大学,2013,604.00,595.00,,10,本科一批,25,文科,山东
四川,电子科技大学,2012,618.00,593.00,,10,本科一批,20,文科,山东
四川,电子科技大学,2011,599.00,587.00,,11,本科一批,17,文科,山东
四川,电子科技大学,2010,619.00,614.00,,10,本科一批,8,文科,山东
四川,电子科技大学,2009,609.00,603.00,,15,本科一批,7,文科,山东
四川,电子科技大学,2008,594.00,589.00,,10,本科一批,5,文科,山东
四川,电子科技大学,2013,535.00,531.00,,9,本科一批,24,文科,山西
四川,电子科技大学,2012,560.00,554.00,,11,本科一批,15,文科,山西
四川,电子科技大学,2011,567.00,555.00,,10,本科一批,12,文科,山西
四川,电子科技大学,2010,564.00,540.00,,10,本科一批,7,文科,山西
四川,电子科技大学,2009,572.00,558.00,,10,本科一批,10,文科,山西
四川,电子科技大学,2013,572.00,569.00,,8,本科一批,29,文科,安徽
四川,电子科技大学,2012,601.00,596.00,,8,本科一批,19,文科,安徽
四川,电子科技大学,2013,558.00,552.00,,8,本科一批,20,文科,江西
四川,电子科技大学,2012,596.00,589.00,,11,本科一批,19,文科,江西
四川,电子科技大学,2011,560.00,553.00,,11,本科一批,21,文科,江西
