招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
广东,中山大学,2013,636.00,618.00,,12,本科一批,69,文科,北京
广东,中山大学,2012,619.00,567.00,,20,本科一批,72,文科,北京
广东,中山大学,2011,612.00,587.00,,29,本科一批,63,文科,北京
广东,中山大学,2010,591.00,568.00,,23,本科一批,44,文科,北京
广东,中山大学,2009,607.00,581.00,,28,本科一批,49,文科,北京
广东,中山大学,2008,603.00,563.00,,23,本科一批,48,文科,北京
广东,中山大学,2007,618.00,577.00,,15,本科一批,49,文科,北京
广东,中山大学,2006,615.00,561.00,,16,本科一批,45,文科,北京
广东,中山大学,2005,554.00,534.00,,19,本科一批,48,文科,北京
广东,中山大学,2002,,509.00,,,不详,,文科,北京
广东,中山大学,2001,,488.00,,,不详,,文科,北京
广东,中山大学,2013,633.00,603.00,,15,本科一批,70,文科,天津
广东,中山大学,2012,647.00,626.00,,17,本科一批,77,文科,天津
广东,中山大学,2011,607.00,589.00,,14,本科一批,70,文科,天津
广东,中山大学,2010,604.00,584.00,,22,本科一批,65,文科,天津
广东,中山大学,2009,600.00,577.00,,15,本科一批,66,文科,天津
广东,中山大学,2008,604.00,576.00,,20,本科一批,53,文科,天津
广东,中山大学,2007,598.00,575.00,,15,本科一批,62,文科,天津
广东,中山大学,2006,559.00,543.00,,18,本科一批,66,文科,天津
广东,中山大学,2005,598.00,538.00,,18,本科一批,40,文科,天津
广东,中山大学,2002,,556.00,,,不详,,文科,天津
广东,中山大学,2001,,553.00,,,不详,,文科,天津
广东,中山大学,2013,494.00,481.00,,17,本科一批,33,文科,上海
广东,中山大学,2012,492.00,478.00,,12,本科一批,40,文科,上海
广东,中山大学,2011,524.00,507.00,,21,本科一批,39,文科,上海
广东,中山大学,2010,506.00,493.00,,22,本科一批,29,文科,上海
广东,中山大学,2009,507.00,495.00,,25,本科一批,24,文科,上海
广东,中山大学,2008,497.00,485.00,,21,本科一批,14,文科,上海
广东,中山大学,2007,495.00,486.00,,9,本科一批,21,文科,上海
广东,中山大学,2006,524.00,503.00,,4,本科一批,13,文科,上海
广东,中山大学,2005,508.00,498.00,,6,本科一批,,文科,上海
广东,中山大学,2002,,480.00,,,不详,,文科,上海
广东,中山大学,2001,,443.00,,,不详,,文科,上海
广东,中山大学,2013,643.00,629.00,,30,本科一批,73,文科,重庆
广东,中山大学,2012,637.00,623.00,,30,本科一批,69,文科,重庆
广东,中山大学,2011,641.00,623.00,,28,本科一批,59,文科,重庆
广东,中山大学,2010,644.00,633.00,,29,本科一批,60,文科,重庆
广东,中山大学,2009,617.00,608.00,,28,本科一批,62,文科,重庆
广东,中山大学,2008,635.00,623.00,,32,本科一批,47,文科,重庆
广东,中山大学,2007,608.00,593.00,,28,本科一批,53,文科,重庆
广东,中山大学,2006,625.00,607.00,,24,本科一批,51,文科,重庆
广东,中山大学,2005,614.00,600.00,,26,本科一批,51,文科,重庆
广东,中山大学,2004,,,,,不详,,文科,重庆
广东,中山大学,2003,,,,,不详,,文科,重庆
广东,中山大学,2002,,566.00,,,不详,,文科,重庆
广东,中山大学,2001,,570.00,,,不详,,文科,重庆
广东,中山大学,2013,628.00,622.00,,30,本科一批,61,文科,河北
广东,中山大学,2012,635.00,619.00,,26,本科一批,47,文科,河北
广东,中山大学,2011,617.00,609.00,,26,本科一批,47,文科,河北
广东,中山大学,2010,596.00,587.00,,23,本科一批,48,文科,河北
广东,中山大学,2009,585.00,578.00,,30,本科一批,39,文科,河北
广东,中山大学,2008,589.00,574.00,,34,本科一批,37,文科,河北
广东,中山大学,2007,608.00,592.00,,16,本科一批,26,文科,河北
广东,中山大学,2006,606.00,595.00,,14,本科一批,34,文科,河北
广东,中山大学,2005,595.00,579.00,,22,本科一批,43,文科,河北
广东,中山大学,2004,,,622.00,,不详,,文科,河北
广东,中山大学,2003,,,559.00,,不详,,文科,河北
广东,中山大学,2002,,582.00,,,不详,,文科,河北
广东,中山大学,2001,,579.00,,,不详,,文科,河北
广东,中山大学,2013,600.00,585.00,,46,本科一批,66,文科,河南
广东,中山大学,2012,622.00,611.00,,39,本科一批,54,文科,河南
广东,中山大学,2011,623.00,611.00,,40,本科一批,49,文科,河南
广东,中山大学,2010,587.00,573.00,,42,本科一批,41,文科,河南
广东,中山大学,2009,628.00,591.00,,42,本科一批,39,文科,河南
广东,中山大学,2008,603.00,589.00,,32,本科一批,32,文科,河南
广东,中山大学,2007,635.00,605.00,,24,本科一批,16,文科,河南
广东,中山大学,2006,662.00,626.00,,21,本科一批,35,文科,河南
广东,中山大学,2005,629.00,611.00,,18,本科一批,46,文科,河南
广东,中山大学,2003,,624.00,,,不详,,文科,河南
广东,中山大学,2002,,606.00,,,不详,,文科,河南
广东,中山大学,2001,,491.00,,,不详,,文科,河南
广东,中山大学,2013,647.00,631.00,,56,本科一批,61,文科,山东
广东,中山大学,2012,642.00,631.00,,47,本科一批,58,文科,山东
广东,中山大学,2011,643.00,624.00,,45,本科一批,54,文科,山东
广东,中山大学,2010,658.00,646.00,,49,本科一批,40,文科,山东
广东,中山大学,2010,634.00,629.00,,4,本科提前批,,文科,山东
广东,中山大学,2009,646.00,624.00,,41,本科一批,28,文科,山东
广东,中山大学,2009,625.00,608.00,,8,本科提前批,,文科,山东
广东,中山大学,2008,632.00,621.00,,41,本科一批,37,文科,山东
广东,中山大学,2007,642.00,633.00,,44,本科一批,40,文科,山东
广东,中山大学,2006,623.00,603.00,,41,本科一批,35,文科,山东
广东,中山大学,2005,625.00,600.00,,33,本科一批,28,文科,山东
广东,中山大学,2004,,,600.00,,不详,,文科,山东
广东,中山大学,2003,,,580.00,,不详,,文科,山东
广东,中山大学,2002,,586.00,,,不详,,文科,山东
广东,中山大学,2001,,582.00,,,不详,,文科,山东
广东,中山大学,2013,569.00,560.00,,26,本科一批,53,文科,山西
广东,中山大学,2012,590.00,584.00,,20,本科一批,45,文科,山西
广东,中山大学,2011,602.00,581.00,,24,本科一批,38,文科,山西
广东,中山大学,2010,596.00,568.00,,24,本科一批,35,文科,山西
广东,中山大学,2009,593.00,575.00,,23,本科一批,27,文科,山西
广东,中山大学,2008,616.00,583.00,,17,本科一批,38,文科,山西
广东,中山大学,2007,625.00,603.00,,19,本科一批,23,文科,山西
广东,中山大学,2006,609.00,585.00,,16,本科一批,24,文科,山西
