招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
广东,中山大学,2013,673.00,645.00,,32,本科一批,95,理科,北京
广东,中山大学,2012,648.00,597.00,,49,本科一批,120,理科,北京
广东,中山大学,2011,635.00,589.00,,57,本科一批,105,理科,北京
广东,中山大学,2010,632.00,584.00,,56,本科一批,90,理科,北京
广东,中山大学,2009,646.00,585.00,,61,本科一批,84,理科,北京
广东,中山大学,2008,640.00,587.00,,63,本科一批,85,理科,北京
广东,中山大学,2007,650.00,602.00,,37,本科一批,71,理科,北京
广东,中山大学,2006,644.00,613.00,,45,本科一批,85,理科,北京
广东,中山大学,2006,560.00,546.00,,2,本科提前批,,理科,北京
广东,中山大学,2005,586.00,540.00,,41,本科一批,70,理科,北京
广东,中山大学,2002,,554.00,,,不详,,理科,北京
广东,中山大学,2001,,558.00,,,不详,,理科,北京
广东,中山大学,2013,656.00,623.00,,32,本科一批,102,理科,天津
广东,中山大学,2012,666.00,642.00,,37,本科一批,112,理科,天津
广东,中山大学,2011,641.00,617.00,,43,本科一批,102,理科,天津
广东,中山大学,2010,629.00,592.00,,33,本科一批,83,理科,天津
广东,中山大学,2009,638.00,595.00,,37,本科一批,93,理科,天津
广东,中山大学,2008,653.00,615.00,,26,本科一批,93,理科,天津
广东,中山大学,2007,630.00,600.00,,29,本科一批,91,理科,天津
广东,中山大学,2007,560.00,554.00,,6,本科提前批,,理科,天津
广东,中山大学,2006,637.00,594.00,,40,本科一批,89,理科,天津
广东,中山大学,2006,567.00,550.00,,2,本科提前批,,理科,天津
广东,中山大学,2005,590.00,530.00,,34,本科一批,72,理科,天津
广东,中山大学,2002,,570.00,,,不详,,理科,天津
广东,中山大学,2001,,582.00,,,不详,,理科,天津
广东,中山大学,2013,488.00,460.00,,22,本科一批,55,理科,上海
广东,中山大学,2012,501.00,477.00,,28,本科一批,54,理科,上海
广东,中山大学,2011,516.00,504.00,,31,本科一批,42,理科,上海
广东,中山大学,2010,513.00,495.00,,27,本科一批,30,理科,上海
广东,中山大学,2009,500.00,489.00,,26,本科一批,34,理科,上海
广东,中山大学,2008,507.00,494.00,,16,本科一批,27,理科,上海
广东,中山大学,2007,514.00,493.00,,26,本科一批,32,理科,上海
广东,中山大学,2006,538.00,496.00,,39,本科一批,30,理科,上海
广东,中山大学,2005,520.00,495.00,,39,本科一批,,理科,上海
广东,中山大学,2002,,484.00,,,不详,,理科,上海
广东,中山大学,2001,,470.00,,,不详,,理科,上海
广东,中山大学,2013,649.00,616.00,,82,本科一批,96,理科,重庆
广东,中山大学,2012,657.00,628.00,,80,本科一批,106,理科,重庆
广东,中山大学,2011,649.00,620.00,,81,本科一批,87,理科,重庆
广东,中山大学,2010,654.00,624.00,,79,本科一批,91,理科,重庆
广东,中山大学,2009,665.00,635.00,,54,本科一批,78,理科,重庆
广东,中山大学,2008,668.00,638.00,,71,本科一批,94,理科,重庆
广东,中山大学,2007,634.00,601.00,,54,本科一批,96,理科,重庆
广东,中山大学,2007,572.00,562.00,,2,本科提前批,,理科,重庆
广东,中山大学,2006,656.00,612.00,,77,本科一批,81,理科,重庆
广东,中山大学,2006,636.00,591.00,,4,本科提前批,,理科,重庆
广东,中山大学,2005,671.00,630.00,,80,本科一批,82,理科,重庆
广东,中山大学,2005,597.00,576.00,,5,本科提前批,,理科,重庆
广东,中山大学,2004,,,,,不详,,理科,重庆
广东,中山大学,2003,,,,,不详,,理科,重庆
广东,中山大学,2002,,614.00,,,不详,,理科,重庆
广东,中山大学,2001,,609.00,,,不详,,理科,重庆
广东,中山大学,2013,643.00,619.00,,108,本科一批,81,理科,河北
广东,中山大学,2012,656.00,632.00,,91,本科一批,68,理科,河北
广东,中山大学,2011,677.00,645.00,,87,本科一批,64,理科,河北
广东,中山大学,2010,646.00,618.00,,86,本科一批,57,理科,河北
广东,中山大学,2009,654.00,625.00,,83,本科一批,56,理科,河北
广东,中山大学,2008,643.00,642.00,,2,本科提前批,,理科,河北
