招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
广东,中山大学,2008,382.00,360.00,,101,本科一批,30,综合,江苏
广东,中山大学,2007,656.00,634.00,,112,本科一批,46,综合,江苏
广东,中山大学,2006,649.00,625.00,,122,本科一批,53,综合,江苏
广东,中山大学,2006,590.00,582.00,,8,本科提前批,,综合,江苏
广东,中山大学,2006,880.00,732.00,,4672,本科一批,95,综合,广东
广东,中山大学,2006,765.00,728.00,,7,本科提前批,,综合,广东
广东,华南理工大学,2008,368.00,351.00,,90,本科一批,21,综合,江苏
广东,华南理工大学,2007,645.00,625.00,,97,本科一批,37,综合,江苏
广东,华南理工大学,2006,630.00,614.00,,89,本科一批,42,综合,江苏
广东,华南理工大学,2006,824.00,706.00,,3365,本科一批,69,综合,广东
广东,华南理工大学,2006,701.00,671.00,,36,本科提前批,,综合,广东
广东,暨南大学,2008,368.00,347.00,,54,本科一批,17,综合,江苏
广东,暨南大学,2007,630.00,609.00,,51,本科一批,21,综合,江苏
广东,暨南大学,2006,610.00,591.00,,56,本科一批,19,综合,江苏
广东,暨南大学,2006,851.00,695.00,,994,本科一批,58,综合,广东
广东,华南师范大学,2006,782.00,679.00,,1650,本科提前批,,综合,广东
广东,华南师范大学,2006,780.00,656.00,,3637,本科一批,19,综合,广东
广东,汕头大学,2008,353.00,336.00,,33,本科一批,6,综合,江苏
广东,汕头大学,2007,613.00,603.00,,34,本科一批,15,综合,江苏
广东,汕头大学,2006,590.00,582.00,,28,本科一批,10,综合,江苏
广东,汕头大学,2006,803.00,662.00,,1232,本科一批,25,综合,广东
广东,华南农业大学,2008,339.00,332.00,,19,本科一批,2,综合,江苏
广东,华南农业大学,2007,606.00,590.00,,47,本科一批,2,综合,江苏
广东,华南农业大学,2006,600.00,577.00,,57,本科一批,5,综合,江苏
广东,华南农业大学,2006,837.00,653.00,,4471,本科一批,16,综合,广东
广东,华南农业大学,2006,695.00,649.00,,107,本科提前批,,综合,广东
广东,广东海洋大学,2008,327.00,312.00,,7,本科二批,12,综合,江苏
广东,广东海洋大学,2008,310.00,308.00,,3,本科提前批,,综合,江苏
广东,广东海洋大学,2007,579.00,572.00,,6,本科提前批,,综合,江苏
广东,广东海洋大学,2007,575.00,572.00,,5,本科二三批,,综合,江苏
广东,广东海洋大学,2007,575.00,572.00,,5,本科二批,13,综合,江苏
广东,广东海洋大学,2006,559.00,548.00,,6,本科二批,6,综合,江苏
广东,广东海洋大学,2006,547.00,547.00,,4,本科提前批,,综合,江苏
广东,广东海洋大学,2006,755.00,590.00,,2613,本科二批,,综合,广东
广东,广东海洋大学,2006,755.00,590.00,,2613,本科二三批,,综合,广东
广东,广州医科大学,2008,332.00,325.00,,12,本科二批,25,综合,江苏
广东,广州医科大学,2007,596.00,589.00,,11,本科二批,30,综合,江苏
广东,广州医科大学,2007,596.00,589.00,,11,本科二三批,,综合,江苏
广东,广州医科大学,2006,577.00,569.00,,10,本科二批,27,综合,江苏
广东,广州医科大学,2006,776.00,603.00,,1462,本科二批,,综合,广东
广东,广州医科大学,2006,776.00,603.00,,1462,本科二三批,,综合,广东
广东,广东医学院,2008,336.00,319.00,,15,本科二批,19,综合,江苏
广东,广东医学院,2006,760.00,588.00,,3749,本科二批,,综合,广东
