招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
广西,广西大学,2011,535.00,528.00,,4,本科一批,9,文科,天津
广西,广西大学,2010,525.00,522.00,,3,本科一批,3,文科,天津
广西,广西大学,2009,526.00,518.00,,6,本科一批,7,文科,天津
广西,广西大学,2008,541.00,534.00,,12,本科一批,11,文科,天津
广西,广西大学,2007,546.00,527.00,,12,本科一批,14,文科,天津
广西,广西大学,2006,503.00,487.00,,5,本科一批,10,文科,天津
广西,广西大学,2005,524.00,507.00,,10,本科一批,9,文科,天津
广西,广西大学,2003,,492.00,,,不详,,文科,天津
广西,广西大学,2002,,,,,不详,,文科,天津
广西,广西大学,2013,587.00,570.00,,18,本科一批,14,文科,重庆
广西,广西大学,2012,576.00,566.00,,18,本科一批,12,文科,重庆
广西,广西大学,2011,582.00,572.00,,17,本科一批,8,文科,重庆
广西,广西大学,2010,588.00,581.00,,20,本科一批,8,文科,重庆
广西,广西大学,2009,565.00,554.00,,16,本科一批,8,文科,重庆
广西,广西大学,2008,603.00,586.00,,22,本科一批,10,文科,重庆
广西,广西大学,2002,,,,,不详,,文科,重庆
广西,广西大学,2001,,526.00,,,不详,,文科,重庆
广西,广西大学,2013,584.00,576.00,,13,本科一批,15,文科,河北
广西,广西大学,2012,588.00,585.00,,13,本科一批,13,文科,河北
广西,广西大学,2011,583.00,575.00,,13,本科一批,13,文科,河北
广西,广西大学,2010,559.00,551.00,,13,本科一批,12,文科,河北
广西,广西大学,2009,571.00,551.00,,15,本科一批,12,文科,河北
广西,广西大学,2008,566.00,545.00,,20,本科一批,8,文科,河北
广西,广西大学,2007,575.00,570.00,,10,本科一批,4,文科,河北
广西,广西大学,2006,588.00,569.00,,16,本科一批,8,文科,河北
广西,广西大学,2005,567.00,545.00,,10,本科一批,9,文科,河北
广西,广西大学,2004,,,582.00,,不详,,文科,河北
广西,广西大学,2003,,,538.00,,不详,,文科,河北
广西,广西大学,2002,,,,,不详,,文科,河北
广西,广西大学,2001,,562.00,,,不详,,文科,河北
广西,广西大学,2009,578.00,568.00,,9,本科一批,16,文科,河南
广西,广西大学,2007,617.00,597.00,,6,本科一批,8,文科,河南
广西,广西大学,2007,594.00,591.00,,2,本科提前批,,文科,河南
广西,广西大学,2006,608.00,603.00,,2,本科提前批,,文科,河南
广西,广西大学,2005,610.00,588.00,,10,本科一批,23,文科,河南
广西,广西大学,2004,,,599.00,,不详,,文科,河南
广西,广西大学,2003,,583.00,,,不详,,文科,河南
广西,广西大学,2002,,,,,不详,,文科,河南
广西,广西大学,2001,,461.00,,,不详,,文科,河南
广西,广西大学,2013,599.00,588.00,,47,本科一批,18,文科,山东
广西,广西大学,2012,595.00,581.00,,44,本科一批,8,文科,山东
广西,广西大学,2011,608.00,577.00,,47,本科一批,7,文科,山东
广西,广西大学,2010,640.00,619.00,,45,本科一批,13,文科,山东
广西,广西大学,2009,624.00,604.00,,42,本科一批,8,文科,山东
广西,广西大学,2008,601.00,593.00,,20,本科一批,9,文科,山东
广西,广西大学,2008,590.00,589.00,,2,本科提前批,,文科,山东
广西,广西大学,2007,622.00,603.00,,8,本科一批,10,文科,山东
广西,广西大学,2007,599.00,598.00,,2,本科提前批,,文科,山东
广西,广西大学,2006,612.00,585.00,,11,本科一批,17,文科,山东
广西,广西大学,2006,582.00,581.00,,2,本科提前批,,文科,山东
广西,广西大学,2005,587.00,579.00,,14,本科一批,7,文科,山东
广西,广西大学,2004,,,600.00,,不详,,文科,山东
广西,广西大学,2003,,,552.00,,不详,,文科,山东
广西,广西大学,2002,,,,,不详,,文科,山东
广西,广西大学,2001,,576.00,,,不详,,文科,山东
广西,广西大学,2006,566.00,563.00,,5,本科一批,2,文科,山西
广西,广西大学,2003,,,521.00,,不详,,文科,山西
广西,广西大学,2002,,,,,不详,,文科,山西
广西,广西大学,2001,,556.00,,,不详,,文科,山西
广西,广西大学,2013,558.00,556.00,,8,本科一批,16,文科,安徽
广西,广西大学,2012,588.00,586.00,,4,本科一批,9,文科,安徽
广西,广西大学,2006,600.00,587.00,,15,本科一批,14,文科,安徽
广西,广西大学,2005,573.00,556.00,,13,本科一批,13,文科,安徽
广西,广西大学,2003,,517.00,,,不详,,文科,安徽
广西,广西大学,2002,,,,,不详,,文科,安徽
广西,广西大学,2001,,538.00,,,不详,,文科,安徽
广西,广西大学,2013,549.00,539.00,,17,本科一批,7,文科,江西
广西,广西大学,2012,579.00,574.00,,13,本科一批,4,文科,江西
广西,广西大学,2011,552.00,541.00,,14,本科一批,9,文科,江西
广西,广西大学,2010,536.00,528.00,,14,本科一批,7,文科,江西
广西,广西大学,2009,522.00,518.00,,15,本科一批,3,文科,江西
广西,广西大学,2007,599.00,580.00,,18,本科一批,7,文科,江西
广西,广西大学,2006,617.00,574.00,,14,本科一批,,文科,江西
广西,广西大学,2005,587.00,561.00,,10,本科一批,7,文科,江西
广西,广西大学,2003,,541.00,,,不详,,文科,江西
广西,广西大学,2002,,,,,不详,,文科,江西
广西,广西大学,2001,,549.00,,,不详,,文科,江西
广西,广西大学,2007,599.00,590.00,,24,本科一批,,文科,江苏
广西,广西大学,2006,593.00,575.00,,35,本科一批,,文科,江苏
广西,广西大学,2005,587.00,567.00,,37,本科一批,,文科,江苏
广西,广西大学,2003,,515.00,,,不详,,文科,江苏
广西,广西大学,2002,,,,,不详,,文科,江苏
广西,广西大学,2001,,539.00,,,不详,,文科,江苏
广西,广西大学,2013,,,625.00,,本科一批,,文科,浙江
广西,广西大学,2010,603.00,595.00,,13,本科一批,5,文科,浙江
广西,广西大学,2007,565.00,557.00,,8,本科一批,4,文科,浙江
广西,广西大学,2006,615.00,590.00,,13,本科一批,7,文科,浙江
广西,广西大学,2005,601.00,575.00,,17,本科一批,,文科,浙江
广西,广西大学,2004,,,576.00,,不详,,文科,浙江
广西,广西大学,2003,,,541.00,,不详,,文科,浙江
广西,广西大学,2002,,,,,不详,,文科,浙江
广西,广西大学,2001,,550.00,,,不详,,文科,浙江
广西,广西大学,2013,546.00,540.00,,25,本科一批,9,文科,湖北
广西,广西大学,2012,580.00,570.00,,26,本科一批,9,文科,湖北
广西,广西大学,2011,557.00,552.00,,26,本科一批,5,文科,湖北
广西,广西大学,2010,545.00,536.00,,16,本科一批,6,文科,湖北
广西,广西大学,2009,531.00,522.00,,17,本科一批,4,文科,湖北
广西,广西大学,2008,562.00,548.00,,2,本科提前批,,文科,湖北
广西,广西大学,2008,553.00,536.00,,24,本科一批,4,文科,湖北
广西,广西大学,2007,542.00,532.00,,7,本科一批,7,文科,湖北
广西,广西大学,2006,562.00,554.00,,2,本科提前批,,文科,湖北
广西,广西大学,2006,552.00,549.00,,7,本科一批,4,文科,湖北
广西,广西大学,2005,515.00,508.00,,12,本科一批,2,文科,湖北
广西,广西大学,2003,,,516.00,,不详,,文科,湖北
