招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
广西,广西大学,2013,588.00,537.00,,18,本科一批,16,理科,天津
广西,广西大学,2012,579.00,546.00,,9,本科一批,16,理科,天津
广西,广西大学,2011,537.00,525.00,,6,本科一批,10,理科,天津
广西,广西大学,2010,526.00,516.00,,9,本科一批,7,理科,天津
广西,广西大学,2009,529.00,510.00,,21,本科一批,8,理科,天津
广西,广西大学,2008,547.00,530.00,,27,本科一批,8,理科,天津
广西,广西大学,2007,539.00,519.00,,28,本科一批,10,理科,天津
广西,广西大学,2006,535.00,515.00,,32,本科一批,10,理科,天津
广西,广西大学,2005,498.00,473.00,,29,本科一批,15,理科,天津
广西,广西大学,2003,,463.00,,,不详,,理科,天津
广西,广西大学,2002,,,,,不详,,理科,天津
广西,广西大学,2013,565.00,538.00,,62,本科一批,18,理科,重庆
广西,广西大学,2012,570.00,542.00,,62,本科一批,20,理科,重庆
广西,广西大学,2011,580.00,546.00,,61,本科一批,13,理科,重庆
广西,广西大学,2010,573.00,548.00,,58,本科一批,15,理科,重庆
广西,广西大学,2009,584.00,570.00,,54,本科一批,13,理科,重庆
广西,广西大学,2008,564.00,552.00,,36,本科一批,8,理科,重庆
广西,广西大学,2007,534.00,515.00,,13,本科一批,10,理科,重庆
广西,广西大学,2006,601.00,549.00,,15,本科一批,18,理科,重庆
广西,广西大学,2005,612.00,565.00,,17,本科一批,17,理科,重庆
广西,广西大学,2002,,,,,不详,,理科,重庆
广西,广西大学,2001,,549.00,,,不详,,理科,重庆
广西,广西大学,2013,581.00,562.00,,36,本科一批,24,理科,河北
广西,广西大学,2012,602.00,583.00,,32,本科一批,19,理科,河北
广西,广西大学,2011,616.00,597.00,,36,本科一批,16,理科,河北
广西,广西大学,2010,594.00,574.00,,37,本科一批,13,理科,河北
广西,广西大学,2009,589.00,581.00,,45,本科一批,12,理科,河北
广西,广西大学,2008,570.00,560.00,,35,本科一批,8,理科,河北
广西,广西大学,2007,605.00,594.00,,19,本科一批,7,理科,河北
广西,广西大学,2006,600.00,586.00,,30,本科一批,9,理科,河北
广西,广西大学,2005,573.00,557.00,,39,本科一批,6,理科,河北
广西,广西大学,2004,,,592.00,,不详,,理科,河北
广西,广西大学,2003,,,516.00,,不详,,理科,河北
广西,广西大学,2002,,,,,不详,,理科,河北
广西,广西大学,2001,,583.00,,,不详,,理科,河北
广西,广西大学,2013,566.00,538.00,,37,本科一批,33,理科,河南
广西,广西大学,2012,574.00,565.00,,22,本科一批,25,理科,河南
广西,广西大学,2011,604.00,598.00,,27,本科一批,16,理科,河南
广西,广西大学,2010,574.00,568.00,,30,本科一批,16,理科,河南
广西,广西大学,2009,606.00,578.00,,37,本科一批,11,理科,河南
广西,广西大学,2008,592.00,574.00,,29,本科一批,11,理科,河南
广西,广西大学,2007,636.00,608.00,,30,本科一批,12,理科,河南
广西,广西大学,2007,601.00,600.00,,2,本科提前批,,理科,河南
广西,广西大学,2006,633.00,605.00,,43,本科一批,15,理科,河南
广西,广西大学,2005,607.00,581.00,,35,本科一批,13,理科,河南
广西,广西大学,2004,,,589.00,,不详,,理科,河南
广西,广西大学,2003,,583.00,,,不详,,理科,河南
广西,广西大学,2002,,,,,不详,,理科,河南
广西,广西大学,2001,,461.00,,,不详,,理科,河南
广西,广西大学,2013,615.00,590.00,,105,本科一批,36,理科,山东
广西,广西大学,2012,625.00,604.00,,95,本科一批,22,理科,山东
广西,广西大学,2011,609.00,583.00,,101,本科一批,16,理科,山东
广西,广西大学,2010,610.00,595.00,,81,本科一批,15,理科,山东
广西,广西大学,2010,592.00,587.00,,3,本科提前批,,理科,山东
广西,广西大学,2009,613.00,599.00,,93,本科一批,13,理科,山东
广西,广西大学,2009,607.00,598.00,,3,本科提前批,,理科,山东
广西,广西大学,2008,609.00,593.00,,43,本科一批,11,理科,山东
广西,广西大学,2008,603.00,599.00,,3,本科提前批,,理科,山东
广西,广西大学,2007,599.00,582.00,,74,本科一批,9,理科,山东
广西,广西大学,2007,574.00,573.00,,2,本科提前批,,理科,山东
广西,广西大学,2006,642.00,595.00,,77,本科一批,12,理科,山东
广西,广西大学,2006,584.00,583.00,,4,本科提前批,,理科,山东
广西,广西大学,2005,653.00,605.00,,89,本科一批,8,理科,山东
广西,广西大学,2005,611.00,605.00,,6,本科提前批,,理科,山东
广西,广西大学,2004,,,606.00,,不详,,理科,山东
广西,广西大学,2003,,,524.00,,不详,,理科,山东
广西,广西大学,2002,,,,,不详,,理科,山东
广西,广西大学,2001,,605.00,,,不详,,理科,山东
广西,广西大学,2013,542.00,514.00,,39,本科一批,21,理科,山西
广西,广西大学,2012,564.00,544.00,,40,本科一批,14,理科,山西
广西,广西大学,2011,608.00,582.00,,40,本科一批,12,理科,山西
广西,广西大学,2010,596.00,550.00,,40,本科一批,14,理科,山西
广西,广西大学,2009,591.00,558.00,,40,本科一批,11,理科,山西
广西,广西大学,2008,563.00,553.00,,30,本科一批,7,理科,山西
广西,广西大学,2007,611.00,586.00,,20,本科一批,14,理科,山西
广西,广西大学,2006,577.00,563.00,,15,本科一批,11,理科,山西
广西,广西大学,2005,563.00,548.00,,20,本科一批,16,理科,山西
广西,广西大学,2003,,,487.00,,不详,,理科,山西
广西,广西大学,2002,,,,,不详,,理科,山西
广西,广西大学,2001,,608.00,,,不详,,理科,山西
广西,广西大学,2013,546.00,521.00,,27,本科一批,31,理科,安徽
广西,广西大学,2012,594.00,574.00,,27,本科一批,30,理科,安徽
广西,广西大学,2011,573.00,557.00,,35,本科一批,23,理科,安徽
广西,广西大学,2010,594.00,581.00,,35,本科一批,19,理科,安徽
广西,广西大学,2009,601.00,591.00,,40,本科一批,12,理科,安徽
广西,广西大学,2008,587.00,573.00,,25,本科一批,10,理科,安徽
广西,广西大学,2007,593.00,573.00,,44,本科一批,10,理科,安徽
广西,广西大学,2006,617.00,585.00,,34,本科一批,19,理科,安徽
广西,广西大学,2005,604.00,556.00,,45,本科一批,15,理科,安徽
广西,广西大学,2005,575.00,575.00,,1,本科提前批,,理科,安徽
广西,广西大学,2003,,498.00,,,不详,,理科,安徽
广西,广西大学,2002,,,,,不详,,理科,安徽
广西,广西大学,2001,,562.00,,,不详,,理科,安徽
广西,广西大学,2013,545.00,528.00,,39,本科一批,11,理科,江西
广西,广西大学,2012,578.00,559.00,,30,本科一批,12,理科,江西
广西,广西大学,2011,561.00,544.00,,33,本科一批,13,理科,江西
广西,广西大学,2010,539.00,533.00,,31,本科一批,18,理科,江西
广西,广西大学,2009,555.00,529.00,,37,本科一批,11,理科,江西
广西,广西大学,2008,575.00,525.00,,42,本科一批,13,理科,江西
广西,广西大学,2007,623.00,582.00,,52,本科一批,11,理科,江西
广西,广西大学,2006,587.00,562.00,,53,本科一批,12,理科,江西
广西,广西大学,2005,598.00,560.00,,56,本科一批,15,理科,江西
广西,广西大学,2003,,520.00,,,不详,,理科,江西
广西,广西大学,2002,,,,,不详,,理科,江西
广西,广西大学,2001,,577.00,,,不详,,理科,江西
广西,广西大学,2013,,,339.00,,本科一批,,理科,江苏
广西,广西大学,2007,599.00,590.00,,24,本科一批,,理科,江苏
广西,广西大学,2006,593.00,575.00,,35,本科一批,,理科,江苏
广西,广西大学,2005,587.00,567.00,,37,本科一批,,理科,江苏
广西,广西大学,2004,,,575.00,,不详,,理科,江苏
广西,广西大学,2003,,,501.00,,不详,,理科,江苏
广西,广西大学,2002,,,,,不详,,理科,江苏
广西,广西大学,2001,,563.00,,,不详,,理科,江苏
广西,广西大学,2013,,,630.00,,本科一批,,理科,浙江
广西,广西大学,2010,575.00,564.00,,34,本科一批,13,理科,浙江
广西,广西大学,2008,566.00,559.00,,25,本科一批,9,理科,浙江
广西,广西大学,2007,575.00,570.00,,24,本科一批,2,理科,浙江
广西,广西大学,2006,604.00,578.00,,76,本科一批,8,理科,浙江
广西,广西大学,2005,624.00,567.00,,83,本科一批,,理科,浙江
广西,广西大学,2004,,,574.00,,不详,,理科,浙江
广西,广西大学,2003,,,508.00,,不详,,理科,浙江
广西,广西大学,2002,,,,,不详,,理科,浙江
广西,广西大学,2001,,598.00,,,不详,,理科,浙江
广西,广西大学,2013,558.00,545.00,,60,本科一批,18,理科,湖北
广西,广西大学,2012,580.00,565.00,,50,本科一批,14,理科,湖北
广西,广西大学,2011,598.00,579.00,,52,本科一批,8,理科,湖北
广西,广西大学,2010,577.00,565.00,,63,本科一批,8,理科,湖北
广西,广西大学,2009,571.00,550.00,,59,本科一批,10,理科,湖北
广西,广西大学,2009,549.00,544.00,,3,本科提前批,,理科,湖北
广西,广西大学,2008,590.00,556.00,,52,本科一批,8,理科,湖北
广西,广西大学,2007,562.00,553.00,,31,本科一批,5,理科,湖北
广西,广西大学,2006,573.00,555.00,,38,本科一批,9,理科,湖北
广西,广西大学,2006,553.00,553.00,,1,本科提前批,37,理科,湖北
广西,广西大学,2005,574.00,536.00,,32,本科一批,12,理科,湖北
广西,广西大学,2004,,,561.00,,不详,,理科,湖北
广西,广西大学,2003,,,512.00,,不详,,理科,湖北
广西,广西大学,2002,,,,,不详,,理科,湖北
广西,广西大学,2001,,598.00,,,不详,,理科,湖北
广西,广西大学,2013,578.00,532.00,,109,本科一批,37,理科,湖南
广西,广西大学,2012,585.00,551.00,,99,本科一批,31,理科,湖南
广西,广西大学,2011,601.00,583.00,,97,本科一批,11,理科,湖南
广西,广西大学,2010,602.00,596.00,,2,本科提前批,,理科,湖南
广西,广西大学,2010,597.00,578.00,,90,本科一批,11,理科,湖南
广西,广西大学,2010,,,573.00,,undefined,,理科,湖南
广西,广西大学,2009,564.00,544.00,,105,本科一批,10,理科,湖南
广西,广西大学,2009,550.00,543.00,,2,本科提前批,,理科,湖南
广西,广西大学,2008,566.00,547.00,,106,本科一批,11,理科,湖南
广西,广西大学,2008,562.00,548.00,,6,本科提前批,,理科,湖南
广西,广西大学,2007,576.00,547.00,,83,本科一批,12,理科,湖南
广西,广西大学,2007,544.00,539.00,,3,本科提前批,,理科,湖南
广西,广西大学,2006,592.00,472.00,,7,本科提前批,,理科,湖南
广西,广西大学,2006,574.00,557.00,,66,本科一批,10,理科,湖南
广西,广西大学,2005,575.00,557.00,,95,本科一批,13,理科,湖南
广西,广西大学,2005,574.00,554.00,,4,本科提前批,,理科,湖南
广西,广西大学,2004,,,545.00,,不详,,理科,湖南
广西,广西大学,2003,,512.00,,,不详,,理科,湖南
广西,广西大学,2002,,,,,不详,,理科,湖南
广西,广西大学,2001,,568.00,,,不详,,理科,湖南
