招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
广西,广西大学,2008,339.00,333.00,,9,本科一批,3,综合,江苏
广西,广西大学,2007,599.00,590.00,,24,本科一批,2,综合,江苏
广西,广西大学,2006,593.00,576.00,,35,本科一批,4,综合,江苏
广西,广西科技大学,2008,319.00,304.00,,15,本科二批,4,综合,江苏
广西,广西科技大学,2007,570.00,562.00,,15,本科二批,3,综合,江苏
广西,广西科技大学,2007,570.00,562.00,,15,本科二三批,,综合,江苏
广西,广西科技大学,2006,564.00,547.00,,18,本科二批,5,综合,江苏
广西,广西科技大学,2006,739.00,587.00,,20,本科二批,,综合,广东
广西,广西科技大学,2006,739.00,587.00,,20,本科二三批,,综合,广东
广西,桂林电子科技大学,2008,337.00,316.00,,26,本科二批,16,综合,江苏
广西,桂林电子科技大学,2007,587.00,576.00,,17,本科二批,17,综合,江苏
广西,桂林电子科技大学,2007,587.00,576.00,,17,本科二三批,,综合,江苏
广西,桂林电子科技大学,2006,580.00,566.00,,25,本科二批,24,综合,江苏
广西,桂林电子科技大学,2006,639.00,597.00,,35,本科二批,,综合,广东
广西,桂林电子科技大学,2006,639.00,597.00,,35,本科二三批,,综合,广东
广西,桂林理工大学,2008,330.00,316.00,,18,本科二批,16,综合,江苏
广西,桂林理工大学,2007,587.00,569.00,,14,本科二三批,,综合,江苏
广西,桂林理工大学,2006,562.00,552.00,,16,本科二批,10,综合,江苏
广西,桂林理工大学,2006,618.00,588.00,,12,本科二三批,,综合,广东
广西,广西医科大学,2006,683.00,658.00,,8,本科一批,21,综合,广东
广西,广西中医药大学,2008,327.00,310.00,,10,本科二批,10,综合,江苏
广西,广西中医药大学,2007,569.00,565.00,,10,本科二批,6,综合,江苏
广西,广西中医药大学,2007,569.00,565.00,,10,本科二三批,,综合,江苏
广西,广西中医药大学,2006,569.00,559.00,,9,本科二批,17,综合,江苏
广西,广西中医药大学,2006,619.00,573.00,,25,本科二批,,综合,广东
广西,广西中医药大学,2006,619.00,573.00,,25,本科二三批,,综合,广东
广西,桂林医学院,2006,600.00,575.00,,15,本科二三批,,综合,广东
广西,桂林医学院,2006,600.00,575.00,,15,本科二批,,综合,广东
广西,广西师范大学,2008,325.00,315.00,,10,本科二批,15,综合,江苏
广西,广西师范大学,2007,589.00,574.00,,9,本科二批,15,综合,江苏
广西,广西师范大学,2007,589.00,574.00,,9,本科二三批,,综合,江苏
广西,广西师范大学,2006,559.00,551.00,,10,本科二批,9,综合,江苏
广西,广西师范大学,2006,623.00,596.00,,10,本科二批,,综合,广东
广西,广西师范大学,2006,623.00,596.00,,10,本科二三批,,综合,广东
广西,广西师范学院,2008,328.00,318.00,,8,本科二批,18,综合,江苏
广西,广西师范学院,2007,573.00,567.00,,13,本科二三批,,综合,江苏
广西,广西师范学院,2007,573.00,567.00,,13,本科二批,8,综合,江苏
广西,广西师范学院,2006,617.00,585.00,,20,本科二三批,,综合,广东
广西,广西师范学院,2006,617.00,585.00,,20,本科二批,,综合,广东
广西,河池学院,2006,604.00,576.00,,30,本科二批,,综合,广东
广西,河池学院,2006,604.00,576.00,,30,本科二三批,,综合,广东
广西,玉林师范学院,2008,329.00,310.00,,13,本科二批,10,综合,江苏
广西,玉林师范学院,2006,582.00,568.00,,10,本科二批,,综合,广东
