招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
新疆,新疆大学,2003,,,,,不详,,文科,北京
新疆,新疆大学,2001,,422.00,,,不详,,文科,北京
新疆,新疆大学,2007,517.00,515.00,,2,本科一批,2,文科,天津
新疆,新疆大学,2006,492.00,492.00,,1,本科一批,15,文科,天津
新疆,新疆大学,2005,505.00,503.00,,4,本科一批,5,文科,天津
新疆,新疆大学,2003,,,,,不详,,文科,天津
新疆,新疆大学,2002,,496.00,,,不详,,文科,天津
新疆,新疆大学,2001,,535.00,,,不详,,文科,天津
新疆,新疆大学,2013,567.00,563.00,,2,本科一批,7,文科,重庆
新疆,新疆大学,2012,571.00,560.00,,8,本科一批,6,文科,重庆
新疆,新疆大学,2011,568.00,566.00,,4,本科一批,2,文科,重庆
新疆,新疆大学,2010,580.00,576.00,,3,本科一批,3,文科,重庆
新疆,新疆大学,2008,584.00,584.00,,1,本科一批,8,文科,重庆
新疆,新疆大学,2007,538.00,528.00,,4,本科一批,,文科,重庆
新疆,新疆大学,2006,589.00,575.00,,3,本科一批,19,文科,重庆
新疆,新疆大学,2005,554.00,552.00,,2,本科一批,3,文科,重庆
新疆,新疆大学,2003,,,,,不详,,文科,重庆
新疆,新疆大学,2002,,510.00,,,不详,,文科,重庆
新疆,新疆大学,2001,,525.00,,,不详,,文科,重庆
新疆,新疆大学,2013,569.00,563.00,,7,本科一批,2,文科,河北
新疆,新疆大学,2012,574.00,574.00,,2,本科一批,2,文科,河北
新疆,新疆大学,2011,567.00,564.00,,3,本科一批,2,文科,河北
新疆,新疆大学,2009,545.00,545.00,,1,本科一批,6,文科,河北
新疆,新疆大学,2008,562.00,549.00,,4,本科一批,12,文科,河北
新疆,新疆大学,2007,594.00,580.00,,3,本科一批,14,文科,河北
新疆,新疆大学,2006,571.00,565.00,,2,本科提前批,,文科,河北
新疆,新疆大学,2005,545.00,543.00,,4,本科一批,7,文科,河北
新疆,新疆大学,2004,,,582.00,,不详,,文科,河北
新疆,新疆大学,2003,,,,,不详,,文科,河北
新疆,新疆大学,2002,,551.00,,,不详,,文科,河北
新疆,新疆大学,2001,,540.00,,,不详,,文科,河北
新疆,新疆大学,2013,529.00,522.00,,16,本科一批,3,文科,河南
新疆,新疆大学,2012,587.00,564.00,,23,本科一批,7,文科,河南
新疆,新疆大学,2011,572.00,566.00,,10,本科一批,4,文科,河南
新疆,新疆大学,2010,536.00,535.00,,6,本科一批,3,文科,河南
新疆,新疆大学,2009,559.00,556.00,,3,本科一批,4,文科,河南
新疆,新疆大学,2007,604.00,596.00,,8,本科一批,7,文科,河南
新疆,新疆大学,2006,611.00,600.00,,5,本科一批,9,文科,河南
