招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
新疆,新疆大学,2008,530.00,530.00,,1,本科一批,28,理科,北京
新疆,新疆大学,2007,555.00,555.00,,1,本科一批,24,理科,北京
新疆,新疆大学,2005,540.00,495.00,,3,本科一批,25,理科,北京
新疆,新疆大学,2003,,,,,不详,,理科,北京
新疆,新疆大学,2001,,457.00,,,不详,,理科,北京
新疆,新疆大学,2008,559.00,543.00,,7,本科一批,21,理科,天津
新疆,新疆大学,2007,529.00,518.00,,6,本科一批,9,理科,天津
新疆,新疆大学,2006,531.00,515.00,,4,本科一批,10,理科,天津
新疆,新疆大学,2005,487.00,468.00,,5,本科一批,10,理科,天津
新疆,新疆大学,2003,,,,,不详,,理科,天津
新疆,新疆大学,2002,,516.00,,,不详,,理科,天津
新疆,新疆大学,2008,379.00,379.00,,1,本科二三批,,理科,上海
新疆,新疆大学,2007,413.00,413.00,,1,本科二三批,,理科,上海
新疆,新疆大学,2007,413.00,413.00,,1,本科二批,19,理科,上海
新疆,新疆大学,2006,425.00,422.00,,3,本科二三批,,理科,上海
新疆,新疆大学,2006,425.00,422.00,,3,本科二批,10,理科,上海
新疆,新疆大学,2005,454.00,438.00,,3,本科二批,,理科,上海
新疆,新疆大学,2013,551.00,525.00,,50,本科一批,5,理科,重庆
新疆,新疆大学,2012,552.00,528.00,,46,本科一批,6,理科,重庆
新疆,新疆大学,2011,559.00,537.00,,37,本科一批,4,理科,重庆
新疆,新疆大学,2010,565.00,539.00,,46,本科一批,6,理科,重庆
新疆,新疆大学,2009,596.00,563.00,,42,本科一批,6,理科,重庆
新疆,新疆大学,2008,573.00,552.00,,35,本科一批,8,理科,重庆
新疆,新疆大学,2007,545.00,518.00,,38,本科一批,13,理科,重庆
新疆,新疆大学,2006,567.00,545.00,,41,本科一批,14,理科,重庆
新疆,新疆大学,2005,583.00,558.00,,54,本科一批,10,理科,重庆
新疆,新疆大学,2003,,,,,不详,,理科,重庆
新疆,新疆大学,2002,,531.00,,,不详,,理科,重庆
新疆,新疆大学,2001,,547.00,,,不详,,理科,重庆
新疆,新疆大学,2013,563.00,544.00,,59,本科一批,6,理科,河北
新疆,新疆大学,2012,583.00,568.00,,45,本科一批,4,理科,河北
新疆,新疆大学,2011,596.00,585.00,,40,本科一批,4,理科,河北
新疆,新疆大学,2010,579.00,566.00,,35,本科一批,5,理科,河北
新疆,新疆大学,2009,580.00,574.00,,26,本科一批,5,理科,河北
新疆,新疆大学,2008,569.00,557.00,,22,本科一批,5,理科,河北
新疆,新疆大学,2007,624.00,594.00,,21,本科一批,7,理科,河北
新疆,新疆大学,2006,589.00,580.00,,32,本科一批,3,理科,河北
新疆,新疆大学,2005,600.00,556.00,,38,本科一批,5,理科,河北
新疆,新疆大学,2004,,,590.00,,不详,,理科,河北
新疆,新疆大学,2003,,,,,不详,,理科,河北
新疆,新疆大学,2002,,576.00,,,不详,,理科,河北
新疆,新疆大学,2001,,579.00,,,不详,,理科,河北
新疆,新疆大学,2013,562.00,516.00,,203,本科一批,11,理科,河南
新疆,新疆大学,2012,589.00,552.00,,163,本科一批,12,理科,河南
新疆,新疆大学,2011,611.00,593.00,,83,本科一批,11,理科,河南
新疆,新疆大学,2010,576.00,561.00,,59,本科一批,9,理科,河南
