招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
江苏,南京大学,2013,654.00,634.00,,22,本科一批,85,文科,北京
江苏,南京大学,2012,613.00,588.00,,20,本科一批,93,文科,北京
江苏,南京大学,2011,642.00,613.00,,27,本科一批,89,文科,北京
江苏,南京大学,2010,626.00,597.00,,29,本科一批,73,文科,北京
江苏,南京大学,2009,620.00,597.00,,30,本科一批,65,文科,北京
江苏,南京大学,2008,614.00,587.00,,28,本科一批,72,文科,北京
江苏,南京大学,2007,623.00,590.00,,28,本科一批,62,文科,北京
江苏,南京大学,2006,624.00,588.00,,33,本科一批,72,文科,北京
江苏,南京大学,2006,540.00,530.00,,2,本科提前批,,文科,北京
江苏,南京大学,2005,588.00,548.00,,30,本科一批,62,文科,北京
江苏,南京大学,2004,,,,,不详,,文科,北京
江苏,南京大学,2003,,,,,不详,,文科,北京
江苏,南京大学,2002,,,,,不详,,文科,北京
江苏,南京大学,2001,,523.00,,,不详,,文科,北京
江苏,南京大学,2013,634.00,624.00,,6,本科一批,91,文科,天津
江苏,南京大学,2012,661.00,653.00,,10,本科一批,104,文科,天津
江苏,南京大学,2011,624.00,609.00,,12,本科一批,90,文科,天津
江苏,南京大学,2010,620.00,611.00,,17,本科一批,92,文科,天津
江苏,南京大学,2009,610.00,596.00,,18,本科一批,85,文科,天津
江苏,南京大学,2008,645.00,607.00,,14,本科一批,84,文科,天津
江苏,南京大学,2007,622.00,594.00,,18,本科一批,81,文科,天津
江苏,南京大学,2006,592.00,540.00,,17,本科一批,63,文科,天津
江苏,南京大学,2005,601.00,578.00,,20,本科一批,80,文科,天津
江苏,南京大学,2004,,,,,不详,,文科,天津
江苏,南京大学,2003,,,,,不详,,文科,天津
江苏,南京大学,2002,,,,,不详,,文科,天津
江苏,南京大学,2001,,568.00,,,不详,,文科,天津
江苏,南京大学,2013,514.00,494.00,,17,本科一批,46,文科,上海
江苏,南京大学,2012,499.00,489.00,,19,本科一批,51,文科,上海
江苏,南京大学,2011,541.00,527.00,,19,本科一批,59,文科,上海
江苏,南京大学,2010,519.00,510.00,,18,本科一批,46,文科,上海
江苏,南京大学,2009,536.00,513.00,,27,本科一批,42,文科,上海
江苏,南京大学,2008,534.00,512.00,,23,本科一批,41,文科,上海
江苏,南京大学,2007,526.00,501.00,,29,本科一批,36,文科,上海
江苏,南京大学,2006,545.00,519.00,,25,本科一批,29,文科,上海
