招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
江苏,南京大学,2008,393.00,372.00,,1248,本科一批,42,综合,江苏
江苏,南京大学,2007,680.00,650.00,,1393,本科一批,62,综合,江苏
江苏,南京大学,2007,634.00,628.00,,9,本科提前批,,综合,江苏
江苏,南京大学,2006,667.00,639.00,,1317,本科一批,67,综合,江苏
江苏,南京大学,2006,643.00,614.00,,10,本科提前批,,综合,江苏
江苏,南京大学,2006,856.00,775.00,,76,本科一批,138,综合,广东
江苏,东南大学,2008,388.00,364.00,,1385,本科一批,34,综合,江苏
江苏,东南大学,2008,346.00,323.00,,46,本科二批,23,综合,江苏
江苏,东南大学,2007,678.00,641.00,,1725,本科一批,53,综合,江苏
江苏,东南大学,2007,636.00,619.00,,21,本科提前批,,综合,江苏
江苏,东南大学,2007,602.00,577.00,,34,本科二批,18,综合,江苏
江苏,东南大学,2007,602.00,576.00,,35,本科二三批,,综合,江苏
江苏,东南大学,2006,666.00,630.00,,1814,本科一批,58,综合,江苏
江苏,东南大学,2006,616.00,602.00,,34,本科提前批,,综合,江苏
江苏,东南大学,2006,586.00,564.00,,48,本科二批,22,综合,江苏
江苏,东南大学,2006,779.00,685.00,,42,本科一批,48,综合,广东
江苏,苏州大学,2008,371.00,348.00,,3473,本科一批,18,综合,江苏
江苏,苏州大学,2008,371.00,322.00,,655,本科二批,22,综合,江苏
江苏,苏州大学,2008,351.00,336.00,,434,本科提前批,,综合,江苏
江苏,苏州大学,2008,335.00,288.00,,609,本科三批,40,综合,江苏
江苏,苏州大学,2007,652.00,616.00,,3254,本科一批,28,综合,江苏
江苏,苏州大学,2007,632.00,597.00,,418,本科提前批,,综合,江苏
江苏,苏州大学,2007,612.00,581.00,,454,本科二批,22,综合,江苏
江苏,苏州大学,2007,612.00,557.00,,982,本科二三批,,综合,江苏
江苏,苏州大学,2006,644.00,604.00,,2942,本科一批,32,综合,江苏
江苏,苏州大学,2006,551.00,516.00,,491,本科三批,36,综合,江苏
江苏,苏州大学,2006,741.00,675.00,,20,本科一批,38,综合,广东
江苏,南京航空航天大学,2008,385.00,359.00,,1168,本科一批,29,综合,江苏
江苏,南京航空航天大学,2008,368.00,310.00,,95,本科提前批,,综合,江苏
江苏,南京航空航天大学,2007,661.00,633.00,,1367,本科一批,45,综合,江苏
江苏,南京航空航天大学,2007,640.00,574.00,,112,本科提前批,,综合,江苏
江苏,南京航空航天大学,2006,651.00,619.00,,1307,本科一批,47,综合,江苏
江苏,南京航空航天大学,2006,628.00,553.00,,144,本科提前批,,综合,江苏
江苏,南京航空航天大学,2006,733.00,681.00,,25,本科一批,44,综合,广东
江苏,南京理工大学,2008,390.00,356.00,,1057,本科一批,26,综合,江苏
江苏,南京理工大学,2007,651.00,632.00,,1271,本科一批,44,综合,江苏
江苏,南京理工大学,2007,637.00,612.00,,30,本科提前批,,综合,江苏
江苏,南京理工大学,2006,645.00,619.00,,1439,本科一批,47,综合,江苏
江苏,南京理工大学,2006,618.00,594.00,,27,本科提前批,,综合,江苏
江苏,南京理工大学,2006,750.00,684.00,,32,本科一批,47,综合,广东
江苏,中国矿业大学,2008,359.00,337.00,,1198,本科一批,7,综合,江苏
江苏,中国矿业大学,2007,631.00,601.00,,1344,本科一批,13,综合,江苏
江苏,中国矿业大学,2007,581.00,569.00,,57,本科二批,10,综合,江苏
江苏,中国矿业大学,2007,581.00,569.00,,57,本科二三批,,综合,江苏
江苏,中国矿业大学,2006,621.00,586.00,,1454,本科一批,14,综合,江苏
江苏,中国矿业大学,2006,565.00,551.00,,62,本科二批,9,综合,江苏
江苏,中国矿业大学,2006,714.00,655.00,,89,本科一批,18,综合,广东
江苏,河海大学,2008,370.00,348.00,,1543,本科一批,18,综合,江苏
江苏,河海大学,2008,351.00,320.00,,303,本科二批,20,综合,江苏
