招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
江西,南昌大学,2013,572.00,557.00,,6,本科一批,8,文科,北京
江西,南昌大学,2012,505.00,499.00,,3,本科一批,4,文科,北京
江西,南昌大学,2011,545.00,533.00,,4,本科一批,9,文科,北京
江西,南昌大学,2010,556.00,537.00,,3,本科一批,13,文科,北京
江西,南昌大学,2009,557.00,543.00,,5,本科一批,11,文科,北京
江西,南昌大学,2008,563.00,530.00,,4,本科一批,15,文科,北京
江西,南昌大学,2007,555.00,548.00,,3,本科一批,20,文科,北京
江西,南昌大学,2006,552.00,538.00,,9,本科一批,22,文科,北京
江西,南昌大学,2005,540.00,508.00,,4,本科一批,22,文科,北京
江西,南昌大学,2004,,,,,不详,,文科,北京
江西,南昌大学,2003,,,,,不详,,文科,北京
江西,南昌大学,2013,565.00,547.00,,25,本科一批,14,文科,天津
江西,南昌大学,2012,596.00,562.00,,30,本科一批,13,文科,天津
江西,南昌大学,2011,549.00,530.00,,27,本科一批,11,文科,天津
江西,南昌大学,2010,562.00,530.00,,28,本科一批,11,文科,天津
江西,南昌大学,2009,540.00,523.00,,24,本科一批,12,文科,天津
江西,南昌大学,2008,566.00,543.00,,23,本科一批,20,文科,天津
江西,南昌大学,2007,548.00,528.00,,25,本科一批,15,文科,天津
江西,南昌大学,2006,514.00,492.00,,34,本科一批,15,文科,天津
江西,南昌大学,2005,521.00,506.00,,20,本科一批,8,文科,天津
江西,南昌大学,2004,,,,,不详,,文科,天津
江西,南昌大学,2003,,,,,不详,,文科,天津
江西,南昌大学,2002,,506.00,,,不详,,文科,天津
江西,南昌大学,2013,455.00,453.00,,3,本科一批,5,文科,上海
江西,南昌大学,2011,471.00,471.00,,1,本科一批,3,文科,上海
江西,南昌大学,2009,472.00,472.00,,1,本科一批,1,文科,上海
江西,南昌大学,2007,459.00,452.00,,5,本科一批,,文科,上海
江西,南昌大学,2005,498.00,484.00,,5,本科一批,,文科,上海
江西,南昌大学,2004,,,,,不详,,文科,上海
江西,南昌大学,2003,,,,,不详,,文科,上海
江西,南昌大学,2002,,457.00,,,不详,,文科,上海
江西,南昌大学,2013,593.00,576.00,,18,本科一批,20,文科,重庆
江西,南昌大学,2012,588.00,570.00,,12,本科一批,16,文科,重庆
江西,南昌大学,2011,597.00,577.00,,14,本科一批,13,文科,重庆
江西,南昌大学,2010,600.00,589.00,,15,本科一批,16,文科,重庆
江西,南昌大学,2009,572.00,562.00,,14,本科一批,16,文科,重庆
江西,南昌大学,2008,595.00,589.00,,15,本科一批,13,文科,重庆
江西,南昌大学,2007,556.00,547.00,,12,本科一批,7,文科,重庆
江西,南昌大学,2006,590.00,567.00,,9,本科一批,11,文科,重庆
江西,南昌大学,2005,571.00,559.00,,8,本科一批,10,文科,重庆
江西,南昌大学,2004,,,,,不详,,文科,重庆
江西,南昌大学,2003,,,,,不详,,文科,重庆
江西,南昌大学,2002,,521.00,,,不详,,文科,重庆
江西,南昌大学,2001,,532.00,,,不详,,文科,重庆
江西,南昌大学,2013,596.00,589.00,,35,本科一批,28,文科,河北
江西,南昌大学,2012,604.00,590.00,,33,本科一批,18,文科,河北
江西,南昌大学,2011,587.00,581.00,,40,本科一批,19,文科,河北
江西,南昌大学,2010,567.00,560.00,,29,本科一批,21,文科,河北
江西,南昌大学,2009,567.00,552.00,,34,本科一批,13,文科,河北
江西,南昌大学,2008,584.00,557.00,,37,本科一批,20,文科,河北
江西,南昌大学,2007,597.00,578.00,,31,本科一批,12,文科,河北
江西,南昌大学,2006,597.00,575.00,,38,本科一批,14,文科,河北
江西,南昌大学,2005,583.00,554.00,,39,本科一批,18,文科,河北
江西,南昌大学,2004,,,585.00,,不详,,文科,河北
江西,南昌大学,2003,,,531.00,,不详,,文科,河北
江西,南昌大学,2002,,556.00,,,不详,,文科,河北
江西,南昌大学,2001,,539.00,,,不详,,文科,河北
江西,南昌大学,2013,555.00,542.00,,53,本科一批,23,文科,河南
江西,南昌大学,2012,592.00,578.00,,50,本科一批,21,文科,河南
江西,南昌大学,2011,590.00,578.00,,58,本科一批,16,文科,河南
江西,南昌大学,2010,564.00,548.00,,73,本科一批,16,文科,河南
江西,南昌大学,2010,,,481.00,,专科,,文科,河南
江西,南昌大学,2009,596.00,561.00,,32,本科一批,9,文科,河南
江西,南昌大学,2008,607.00,570.00,,24,本科一批,13,文科,河南
江西,南昌大学,2007,623.00,602.00,,23,本科一批,13,文科,河南
江西,南昌大学,2006,621.00,598.00,,43,本科一批,7,文科,河南
江西,南昌大学,2005,609.00,583.00,,29,本科一批,18,文科,河南
江西,南昌大学,2004,,,599.00,,不详,,文科,河南
江西,南昌大学,2003,,,,,不详,,文科,河南
江西,南昌大学,2002,,554.00,,,不详,,文科,河南
江西,南昌大学,2001,,463.00,,,不详,,文科,河南
江西,南昌大学,2013,616.00,603.00,,58,本科一批,33,文科,山东
江西,南昌大学,2012,622.00,600.00,,53,本科一批,27,文科,山东
江西,南昌大学,2011,606.00,591.00,,60,本科一批,21,文科,山东
江西,南昌大学,2010,634.00,620.00,,62,本科一批,14,文科,山东
江西,南昌大学,2010,624.00,624.00,,1,本科提前批,,文科,山东
江西,南昌大学,2009,625.00,612.00,,58,本科一批,16,文科,山东
江西,南昌大学,2008,613.00,602.00,,49,本科一批,18,文科,山东
江西,南昌大学,2007,621.00,608.00,,55,本科一批,15,文科,山东
江西,南昌大学,2006,596.00,579.00,,97,本科一批,11,文科,山东
江西,南昌大学,2005,608.00,583.00,,71,本科一批,11,文科,山东
江西,南昌大学,2004,,,606.00,,不详,,文科,山东
江西,南昌大学,2003,,,552.00,,不详,,文科,山东
江西,南昌大学,2002,,581.00,,,不详,,文科,山东
江西,南昌大学,2001,,579.00,,,不详,,文科,山东
