招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
江西,南昌大学,2013,651.00,598.00,,12,本科一批,48,理科,北京
江西,南昌大学,2012,549.00,520.00,,7,本科一批,43,理科,北京
江西,南昌大学,2011,526.00,506.00,,8,本科一批,22,理科,北京
江西,南昌大学,2010,571.00,522.00,,9,本科一批,28,理科,北京
江西,南昌大学,2009,553.00,518.00,,13,本科一批,17,理科,北京
江西,南昌大学,2008,539.00,520.00,,12,本科一批,18,理科,北京
江西,南昌大学,2008,477.00,466.00,,2,本科二批,11,理科,北京
江西,南昌大学,2007,565.00,550.00,,11,本科一批,19,理科,北京
江西,南昌大学,2007,519.00,518.00,,2,本科二批,40,理科,北京
江西,南昌大学,2006,609.00,562.00,,27,本科一批,34,理科,北京
江西,南昌大学,2006,500.00,494.00,,2,本科二批,18,理科,北京
江西,南昌大学,2006,500.00,494.00,,2,本科二三批,,理科,北京
江西,南昌大学,2005,532.00,508.00,,10,本科一批,38,理科,北京
江西,南昌大学,2005,471.00,461.00,,2,本科二批,47,理科,北京
江西,南昌大学,2004,,,,,不详,,理科,北京
江西,南昌大学,2003,,,,,不详,,理科,北京
江西,南昌大学,2013,578.00,545.00,,72,本科一批,24,理科,天津
江西,南昌大学,2012,569.00,548.00,,65,本科一批,18,理科,天津
江西,南昌大学,2011,563.00,527.00,,70,本科一批,12,理科,天津
江西,南昌大学,2010,553.00,520.00,,67,本科一批,11,理科,天津
江西,南昌大学,2009,552.00,517.00,,71,本科一批,15,理科,天津
江西,南昌大学,2008,612.00,551.00,,65,本科一批,29,理科,天津
江西,南昌大学,2008,519.00,493.00,,10,本科二三批,,理科,天津
江西,南昌大学,2008,519.00,492.00,,10,本科二批,26,理科,天津
江西,南昌大学,2007,591.00,536.00,,63,本科一批,27,理科,天津
江西,南昌大学,2007,510.00,488.00,,11,本科二批,35,理科,天津
江西,南昌大学,2007,510.00,484.00,,12,本科二三批,,理科,天津
江西,南昌大学,2006,546.00,518.00,,81,本科一批,13,理科,天津
江西,南昌大学,2006,500.00,471.00,,9,本科二批,16,理科,天津
江西,南昌大学,2006,500.00,469.00,,10,本科二三批,,理科,天津
江西,南昌大学,2005,529.00,470.00,,45,本科一批,12,理科,天津
江西,南昌大学,2005,448.00,442.00,,4,本科二批,34,理科,天津
江西,南昌大学,2004,,,,,不详,,理科,天津
江西,南昌大学,2003,,,,,不详,,理科,天津
江西,南昌大学,2002,,520.00,,,不详,,理科,天津
江西,南昌大学,2013,412.00,410.00,,4,本科一批,5,理科,上海
江西,南昌大学,2012,440.00,440.00,,1,本科一批,17,理科,上海
江西,南昌大学,2009,464.00,461.00,,4,本科一批,6,理科,上海
江西,南昌大学,2008,471.00,471.00,,1,本科一批,4,理科,上海
江西,南昌大学,2007,470.00,466.00,,5,本科一批,5,理科,上海
江西,南昌大学,2006,490.00,485.00,,3,本科一批,19,理科,上海
江西,南昌大学,2005,472.00,472.00,,1,本科一批,,理科,上海
江西,南昌大学,2004,,,,,不详,,理科,上海
江西,南昌大学,2003,,,,,不详,,理科,上海
江西,南昌大学,2002,,432.00,,,不详,,理科,上海
江西,南昌大学,2013,576.00,556.00,,84,本科一批,36,理科,重庆
江西,南昌大学,2012,576.00,554.00,,68,本科一批,32,理科,重庆
江西,南昌大学,2011,579.00,556.00,,66,本科一批,23,理科,重庆
江西,南昌大学,2010,609.00,561.00,,65,本科一批,28,理科,重庆
江西,南昌大学,2009,598.00,575.00,,62,本科一批,18,理科,重庆
江西,南昌大学,2008,586.00,564.00,,66,本科一批,20,理科,重庆
江西,南昌大学,2007,557.00,522.00,,60,本科一批,17,理科,重庆
江西,南昌大学,2006,602.00,548.00,,57,本科一批,17,理科,重庆
江西,南昌大学,2005,581.00,563.00,,24,本科一批,15,理科,重庆
江西,南昌大学,2004,,,,,不详,,理科,重庆
江西,南昌大学,2003,,,,,不详,,理科,重庆
江西,南昌大学,2002,,541.00,,,不详,,理科,重庆
江西,南昌大学,2001,,565.00,,,不详,,理科,重庆
江西,南昌大学,2013,582.00,570.00,,149,本科一批,32,理科,河北
江西,南昌大学,2012,605.00,590.00,,124,本科一批,26,理科,河北
江西,南昌大学,2011,615.00,603.00,,126,本科一批,22,理科,河北
江西,南昌大学,2010,600.00,581.00,,122,本科一批,20,理科,河北
江西,南昌大学,2009,598.00,587.00,,129,本科一批,18,理科,河北
江西,南昌大学,2008,606.00,568.00,,104,本科一批,16,理科,河北
江西,南昌大学,2007,643.00,602.00,,107,本科一批,15,理科,河北
江西,南昌大学,2006,624.00,590.00,,110,本科一批,13,理科,河北
江西,南昌大学,2005,596.00,565.00,,95,本科一批,14,理科,河北
江西,南昌大学,2004,,,598.00,,不详,,理科,河北
江西,南昌大学,2003,,,513.00,,不详,,理科,河北
江西,南昌大学,2002,,583.00,,,不详,,理科,河北
江西,南昌大学,2001,,575.00,,,不详,,理科,河北
江西,南昌大学,2013,563.00,544.00,,214,本科一批,39,理科,河南
江西,南昌大学,2012,586.00,572.00,,189,本科一批,32,理科,河南
江西,南昌大学,2011,619.00,605.00,,177,本科一批,23,理科,河南
江西,南昌大学,2010,591.00,574.00,,169,本科一批,22,理科,河南
江西,南昌大学,2010,,,489.00,,专科,,理科,河南
江西,南昌大学,2009,620.00,582.00,,110,本科一批,15,理科,河南
江西,南昌大学,2008,600.00,578.00,,98,本科一批,15,理科,河南
江西,南昌大学,2008,581.00,562.00,,14,本科二批,45,理科,河南
江西,南昌大学,2007,643.00,611.00,,94,本科一批,15,理科,河南
江西,南昌大学,2007,633.00,592.00,,11,本科二批,39,理科,河南
江西,南昌大学,2006,629.00,601.00,,135,本科一批,11,理科,河南
江西,南昌大学,2006,618.00,589.00,,13,本科二三批,,理科,河南
江西,南昌大学,2006,618.00,590.00,,13,本科二批,42,理科,河南
江西,南昌大学,2005,619.00,587.00,,50,本科一批,19,理科,河南
江西,南昌大学,2005,587.00,561.00,,6,本科二批,38,理科,河南
江西,南昌大学,2004,,,533.00,,不详,,理科,河南
江西,南昌大学,2003,,,,,不详,,理科,河南
江西,南昌大学,2002,,554.00,,,不详,,理科,河南
江西,南昌大学,2001,,463.00,,,不详,,理科,河南
江西,南昌大学,2013,631.00,604.00,,180,本科一批,50,理科,山东
江西,南昌大学,2012,637.00,618.00,,201,本科一批,36,理科,山东
江西,南昌大学,2011,626.00,598.00,,192,本科一批,31,理科,山东
江西,南昌大学,2010,627.00,607.00,,208,本科一批,27,理科,山东
江西,南昌大学,2010,597.00,592.00,,9,本科提前批,,理科,山东
江西,南昌大学,2009,625.00,607.00,,10,本科提前批,,理科,山东
江西,南昌大学,2009,624.00,609.00,,194,本科一批,23,理科,山东
江西,南昌大学,2008,618.00,604.00,,138,本科一批,22,理科,山东
江西,南昌大学,2008,609.00,591.00,,12,本科提前批,,理科,山东
江西,南昌大学,2008,600.00,579.00,,22,本科二批,23,理科,山东
江西,南昌大学,2007,614.00,594.00,,155,本科一批,21,理科,山东
江西,南昌大学,2007,607.00,575.00,,25,本科二批,30,理科,山东
江西,南昌大学,2007,596.00,587.00,,8,本科提前批,,理科,山东
江西,南昌大学,2006,619.00,601.00,,261,本科一批,18,理科,山东
江西,南昌大学,2006,611.00,577.00,,28,本科二三批,,理科,山东
江西,南昌大学,2006,611.00,577.00,,28,本科二批,24,理科,山东
江西,南昌大学,2005,628.00,608.00,,153,本科一批,11,理科,山东
江西,南昌大学,2005,610.00,608.00,,5,本科提前批,,理科,山东
江西,南昌大学,2005,601.00,586.00,,18,本科二批,,理科,山东
江西,南昌大学,2004,,,610.00,,不详,,理科,山东
江西,南昌大学,2003,,,525.00,,不详,,理科,山东
江西,南昌大学,2002,,593.00,,,不详,,理科,山东
江西,南昌大学,2001,,585.00,,,不详,,理科,山东
江西,南昌大学,2013,532.00,522.00,,136,本科一批,29,理科,山西
江西,南昌大学,2012,572.00,553.00,,130,本科一批,23,理科,山西
江西,南昌大学,2011,609.00,582.00,,122,本科一批,12,理科,山西
江西,南昌大学,2010,575.00,552.00,,126,本科一批,16,理科,山西
江西,南昌大学,2009,589.00,560.00,,106,本科一批,13,理科,山西
江西,南昌大学,2008,597.00,565.00,,97,本科一批,19,理科,山西
江西,南昌大学,2008,547.00,528.00,,20,本科二批,17,理科,山西
江西,南昌大学,2007,636.00,599.00,,4,本科提前批,,理科,山西
江西,南昌大学,2007,627.00,585.00,,103,本科一批,13,理科,山西
江西,南昌大学,2007,570.00,553.00,,12,本科二批,14,理科,山西
江西,南昌大学,2006,593.00,568.00,,130,本科一批,16,理科,山西
江西,南昌大学,2006,560.00,544.00,,12,本科二批,29,理科,山西
江西,南昌大学,2006,560.00,544.00,,12,本科二三批,,理科,山西
江西,南昌大学,2005,595.00,548.00,,113,本科一批,16,理科,山西
江西,南昌大学,2005,530.00,514.00,,15,本科二批,19,理科,山西
江西,南昌大学,2004,,,571.00,,不详,,理科,山西
江西,南昌大学,2003,,,487.00,,不详,,理科,山西
江西,南昌大学,2002,,506.00,,,不详,,理科,山西
江西,南昌大学,2001,,581.00,,,不详,,理科,山西
江西,南昌大学,2013,555.00,539.00,,160,本科一批,49,理科,安徽
江西,南昌大学,2012,600.00,587.00,,156,本科一批,43,理科,安徽
江西,南昌大学,2011,587.00,573.00,,149,本科一批,39,理科,安徽
江西,南昌大学,2010,604.00,590.00,,135,本科一批,28,理科,安徽
江西,南昌大学,2009,619.00,604.00,,113,本科一批,25,理科,安徽
江西,南昌大学,2008,593.00,582.00,,67,本科一批,19,理科,安徽
江西,南昌大学,2008,572.00,558.00,,15,本科二批,51,理科,安徽
江西,南昌大学,2007,592.00,576.00,,94,本科一批,13,理科,安徽
江西,南昌大学,2007,567.00,552.00,,15,本科二批,47,理科,安徽
江西,南昌大学,2006,625.00,582.00,,99,本科一批,16,理科,安徽
江西,南昌大学,2006,593.00,556.00,,18,本科二三批,,理科,安徽
江西,南昌大学,2006,593.00,556.00,,18,本科二批,52,理科,安徽
江西,南昌大学,2005,597.00,557.00,,107,本科一批,16,理科,安徽
江西,南昌大学,2005,587.00,562.00,,5,本科提前批,,理科,安徽
江西,南昌大学,2005,548.00,525.00,,21,本科二批,45,理科,安徽
江西,南昌大学,2004,,,,,不详,,理科,安徽
江西,南昌大学,2003,,,,,不详,,理科,安徽
江西,南昌大学,2002,,572.00,,,不详,,理科,安徽
江西,南昌大学,2001,,565.00,,,不详,,理科,安徽
江西,南昌大学,2013,591.00,537.00,,3333,本科一批,20,理科,江西
江西,南昌大学,2013,532.00,487.00,,531,本科二批,31,理科,江西
江西,南昌大学,2012,627.00,563.00,,3661,本科一批,16,理科,江西
江西,南昌大学,2012,563.00,514.00,,557,本科二批,28,理科,江西
江西,南昌大学,2011,617.00,544.00,,3537,本科一批,13,理科,江西
江西,南昌大学,2011,536.00,497.00,,585,本科二批,23,理科,江西
江西,南昌大学,2010,577.00,527.00,,3528,本科一批,12,理科,江西
江西,南昌大学,2010,515.00,481.00,,533,本科二批,19,理科,江西
江西,南昌大学,2009,587.00,527.00,,3868,本科一批,9,理科,江西
江西,南昌大学,2009,515.00,486.00,,144,本科二批,20,理科,江西
江西,南昌大学,2009,501.00,459.00,,118,本科提前批,,理科,江西
江西,南昌大学,2008,586.00,525.00,,2663,本科一批,13,理科,江西
江西,南昌大学,2008,551.00,484.00,,430,本科二批,23,理科,江西
江西,南昌大学,2008,498.00,457.00,,98,本科提前批,,理科,江西
江西,南昌大学,2007,628.00,581.00,,1971,本科一批,10,理科,江西
江西,南昌大学,2007,613.00,521.00,,106,本科提前批,,理科,江西
江西,南昌大学,2007,592.00,539.00,,230,本科二批,18,理科,江西
江西,南昌大学,2006,607.00,559.00,,1689,本科一批,9,理科,江西
江西,南昌大学,2006,580.00,496.00,,113,本科提前批,,理科,江西
