招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
浙江,浙江大学,2013,646.00,624.00,,4,本科一批,75,文科,北京
浙江,浙江大学,2013,640.00,629.00,,10,本科一批,96,文科,天津
浙江,浙江大学,2012,663.00,649.00,,12,本科一批,100,文科,天津
浙江,浙江大学,2011,619.00,610.00,,12,本科一批,91,文科,天津
浙江,浙江大学,2010,631.00,609.00,,11,本科一批,90,文科,天津
浙江,浙江大学,2009,626.00,606.00,,9,本科一批,95,文科,天津
浙江,浙江大学,2008,639.00,615.00,,7,本科一批,92,文科,天津
浙江,浙江大学,2007,620.00,609.00,,8,本科一批,96,文科,天津
浙江,浙江大学,2006,598.00,571.00,,14,本科一批,94,文科,天津
浙江,浙江大学,2005,597.00,563.00,,11,本科一批,65,文科,天津
浙江,浙江大学,2004,,,,,不详,,文科,天津
浙江,浙江大学,2003,,547.00,,,不详,,文科,天津
浙江,浙江大学,2002,,,,,不详,,文科,天津
浙江,浙江大学,2001,,579.00,,,不详,,文科,天津
浙江,浙江大学,2013,508.00,500.00,,6,本科一批,52,文科,上海
浙江,浙江大学,2012,499.00,491.00,,5,本科一批,53,文科,上海
浙江,浙江大学,2011,540.00,530.00,,5,本科一批,62,文科,上海
浙江,浙江大学,2006,491.00,491.00,,1,本科一批,1,文科,上海
浙江,浙江大学,2013,652.00,647.00,,7,本科一批,91,文科,重庆
浙江,浙江大学,2012,651.00,646.00,,7,本科一批,92,文科,重庆
浙江,浙江大学,2011,651.00,646.00,,7,本科一批,82,文科,重庆
浙江,浙江大学,2010,657.00,651.00,,7,本科一批,78,文科,重庆
浙江,浙江大学,2009,632.00,628.00,,7,本科一批,82,文科,重庆
浙江,浙江大学,2006,649.00,630.00,,8,本科一批,74,文科,重庆
浙江,浙江大学,2005,646.00,611.00,,7,本科一批,62,文科,重庆
浙江,浙江大学,2004,,,,,不详,,文科,重庆
浙江,浙江大学,2003,,584.00,,,不详,,文科,重庆
浙江,浙江大学,2002,,,,,不详,,文科,重庆
浙江,浙江大学,2001,,517.00,,,不详,,文科,重庆
浙江,浙江大学,2013,612.00,606.00,,12,本科一批,45,文科,河北
浙江,浙江大学,2012,643.00,637.00,,12,本科一批,65,文科,河北
浙江,浙江大学,2011,628.00,625.00,,12,本科一批,63,文科,河北
浙江,浙江大学,2010,607.00,601.00,,8,本科一批,62,文科,河北
浙江,浙江大学,2009,599.00,592.00,,10,本科一批,53,文科,河北
浙江,浙江大学,2008,608.00,598.00,,8,本科一批,61,文科,河北
浙江,浙江大学,2007,619.00,615.00,,8,本科一批,49,文科,河北
浙江,浙江大学,2006,619.00,613.00,,16,本科一批,52,文科,河北
浙江,浙江大学,2005,608.00,596.00,,14,本科一批,60,文科,河北
浙江,浙江大学,2004,,,,,不详,,文科,河北
浙江,浙江大学,2003,,591.00,,,不详,,文科,河北
浙江,浙江大学,2002,,,,,不详,,文科,河北
浙江,浙江大学,2001,,602.00,,,不详,,文科,河北
浙江,浙江大学,2013,605.00,597.00,,10,本科一批,78,文科,河南
浙江,浙江大学,2012,628.00,625.00,,9,本科一批,68,文科,河南
浙江,浙江大学,2011,629.00,622.00,,9,本科一批,60,文科,河南
浙江,浙江大学,2010,592.00,589.00,,8,本科一批,57,文科,河南
浙江,浙江大学,2009,617.00,593.00,,8,本科一批,41,文科,河南
浙江,浙江大学,2006,605.00,605.00,,1,本科一批,14,文科,河南
浙江,浙江大学,2001,,503.00,,,不详,,文科,河南
浙江,浙江大学,2013,656.00,644.00,,18,本科一批,74,文科,山东
浙江,浙江大学,2012,657.00,648.00,,41,本科一批,75,文科,山东
浙江,浙江大学,2011,656.00,636.00,,26,本科一批,66,文科,山东
浙江,浙江大学,2010,669.00,658.00,,30,本科一批,52,文科,山东
浙江,浙江大学,2009,656.00,642.00,,15,本科一批,46,文科,山东
浙江,浙江大学,2008,647.00,639.00,,22,本科一批,55,文科,山东
浙江,浙江大学,2007,652.00,640.00,,16,本科一批,47,文科,山东
浙江,浙江大学,2006,636.00,624.00,,38,本科一批,56,文科,山东
浙江,浙江大学,2005,632.00,613.00,,15,本科一批,41,文科,山东
浙江,浙江大学,2004,,,,,不详,,文科,山东
浙江,浙江大学,2003,,610.00,,,不详,,文科,山东
浙江,浙江大学,2002,,,,,不详,,文科,山东
浙江,浙江大学,2001,,609.00,,,不详,,文科,山东
浙江,浙江大学,2013,580.00,576.00,,12,本科一批,69,文科,山西
浙江,浙江大学,2012,604.00,596.00,,13,本科一批,57,文科,山西
浙江,浙江大学,2011,599.00,585.00,,11,本科一批,42,文科,山西
浙江,浙江大学,2010,593.00,570.00,,10,本科一批,37,文科,山西
浙江,浙江大学,2009,613.00,591.00,,13,本科一批,43,文科,山西
浙江,浙江大学,2008,601.00,583.00,,11,本科一批,38,文科,山西
浙江,浙江大学,2007,621.00,612.00,,10,本科一批,32,文科,山西
浙江,浙江大学,2006,620.00,605.00,,8,本科一批,44,文科,山西
浙江,浙江大学,2004,,,,,不详,,文科,山西
浙江,浙江大学,2003,,571.00,,,不详,,文科,山西
浙江,浙江大学,2002,,,,,不详,,文科,山西
浙江,浙江大学,2001,,584.00,,,不详,,文科,山西
浙江,浙江大学,2013,623.00,620.00,,13,本科一批,80,文科,安徽
浙江,浙江大学,2012,645.00,640.00,,15,本科一批,63,文科,安徽
浙江,浙江大学,2011,618.00,615.00,,15,本科一批,68,文科,安徽
浙江,浙江大学,2010,636.00,632.00,,10,本科一批,59,文科,安徽
浙江,浙江大学,2009,604.00,599.00,,12,本科一批,56,文科,安徽
浙江,浙江大学,2008,608.00,603.00,,9,本科一批,50,文科,安徽
浙江,浙江大学,2007,604.00,591.00,,8,本科一批,40,文科,安徽
浙江,浙江大学,2006,652.00,626.00,,8,本科一批,53,文科,安徽
浙江,浙江大学,2005,633.00,601.00,,11,本科一批,58,文科,安徽
浙江,浙江大学,2004,,,,,不详,,文科,安徽
浙江,浙江大学,2003,,559.00,,,不详,,文科,安徽
浙江,浙江大学,2002,,,,,不详,,文科,安徽
浙江,浙江大学,2001,,582.00,,,不详,,文科,安徽
浙江,浙江大学,2004,,,,,不详,,文科,江西
浙江,浙江大学,2003,,557.00,,,不详,,文科,江西
浙江,浙江大学,2002,,,,,不详,,文科,江西
浙江,浙江大学,2001,,585.00,,,不详,,文科,江西
浙江,浙江大学,2013,,,370.00,,本科一批,,文科,江苏
浙江,浙江大学,2007,673.00,661.00,,69,本科一批,,文科,江苏
浙江,浙江大学,2007,631.00,622.00,,10,本科提前批,,文科,江苏
浙江,浙江大学,2006,662.00,653.00,,101,本科一批,,文科,江苏
浙江,浙江大学,2006,631.00,617.00,,10,本科提前批,,文科,江苏
浙江,浙江大学,2005,663.00,641.00,,119,本科一批,,文科,江苏
浙江,浙江大学,2005,621.00,605.00,,10,本科提前批,,文科,江苏
浙江,浙江大学,2001,,595.00,,,不详,,文科,江苏
浙江,浙江大学,2013,,,671.00,,本科一批,,文科,浙江
浙江,浙江大学,2010,673.00,652.00,,315,本科一批,62,文科,浙江
浙江,浙江大学,2008,621.00,603.00,,279,本科一批,53,文科,浙江
浙江,浙江大学,2008,311.00,311.00,,1,本科提前批,,文科,浙江
浙江,浙江大学,2007,614.00,602.00,,243,本科一批,49,文科,浙江
浙江,浙江大学,2006,651.00,630.00,,310,本科一批,47,文科,浙江
浙江,浙江大学,2005,636.00,616.00,,381,本科一批,,文科,浙江
浙江,浙江大学,2004,,,,,不详,,文科,浙江
浙江,浙江大学,2003,,590.00,,,不详,,文科,浙江
浙江,浙江大学,2002,,,,,不详,,文科,浙江
浙江,浙江大学,2001,,519.00,,,不详,,文科,浙江
浙江,浙江大学,2013,609.00,602.00,,11,本科一批,71,文科,湖北
浙江,浙江大学,2012,630.00,622.00,,11,本科一批,61,文科,湖北
浙江,浙江大学,2011,611.00,602.00,,17,本科一批,55,文科,湖北
浙江,浙江大学,2010,592.00,589.00,,12,本科一批,59,文科,湖北
