招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
浙江,浙江大学,2013,694.00,674.00,,28,本科一批,124,理科,北京
浙江,浙江大学,2012,657.00,638.00,,55,本科一批,161,理科,北京
浙江,浙江大学,2011,655.00,626.00,,60,本科一批,142,理科,北京
浙江,浙江大学,2010,665.00,632.00,,39,本科一批,138,理科,北京
浙江,浙江大学,2009,657.00,627.00,,59,本科一批,126,理科,北京
浙江,浙江大学,2008,666.00,630.00,,40,本科一批,128,理科,北京
浙江,浙江大学,2007,667.00,643.00,,36,本科一批,112,理科,北京
浙江,浙江大学,2006,673.00,644.00,,82,本科一批,116,理科,北京
浙江,浙江大学,2005,642.00,586.00,,51,本科一批,116,理科,北京
浙江,浙江大学,2004,,,,,不详,,理科,北京
浙江,浙江大学,2003,,582.00,,,不详,,理科,北京
浙江,浙江大学,2002,,,,,不详,,理科,北京
浙江,浙江大学,2001,,542.00,,,不详,,理科,北京
浙江,浙江大学,2013,669.00,654.00,,30,本科一批,133,理科,天津
浙江,浙江大学,2012,689.00,674.00,,46,本科一批,144,理科,天津
浙江,浙江大学,2011,671.00,654.00,,39,本科一批,139,理科,天津
浙江,浙江大学,2010,663.00,641.00,,44,本科一批,132,理科,天津
浙江,浙江大学,2009,658.00,637.00,,37,本科一批,135,理科,天津
浙江,浙江大学,2008,679.00,650.00,,47,本科一批,128,理科,天津
浙江,浙江大学,2007,666.00,637.00,,21,本科一批,128,理科,天津
浙江,浙江大学,2006,664.00,636.00,,40,本科一批,131,理科,天津
浙江,浙江大学,2005,647.00,600.00,,51,本科一批,142,理科,天津
浙江,浙江大学,2004,,,,,不详,,理科,天津
浙江,浙江大学,2003,,570.00,,,不详,,理科,天津
浙江,浙江大学,2002,,,,,不详,,理科,天津
浙江,浙江大学,2001,,626.00,,,不详,,理科,天津
浙江,浙江大学,2013,499.00,487.00,,36,本科一批,82,理科,上海
浙江,浙江大学,2012,517.00,498.00,,39,本科一批,75,理科,上海
浙江,浙江大学,2011,551.00,532.00,,55,本科一批,70,理科,上海
浙江,浙江大学,2010,544.00,518.00,,51,本科一批,53,理科,上海
浙江,浙江大学,2009,535.00,515.00,,53,本科一批,60,理科,上海
浙江,浙江大学,2008,543.00,524.00,,51,本科一批,57,理科,上海
浙江,浙江大学,2007,545.00,519.00,,71,本科一批,58,理科,上海
