招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
海南,海南大学,2013,571.00,559.00,,6,本科一批,10,文科,北京
海南,海南大学,2012,515.00,505.00,,4,本科一批,10,文科,北京
海南,海南大学,2011,548.00,530.00,,5,本科一批,6,文科,北京
海南,海南大学,2010,566.00,550.00,,2,本科一批,26,文科,北京
海南,海南大学,2009,546.00,540.00,,3,本科一批,8,文科,北京
海南,海南大学,2008,490.00,482.00,,6,本科二批,10,文科,北京
海南,海南大学,2007,505.00,505.00,,1,本科二批,19,文科,北京
海南,海南大学,2006,500.00,484.00,,3,本科二三批,,文科,北京
海南,海南大学,2006,500.00,484.00,,3,本科二批,8,文科,北京
海南,海南大学,2005,477.00,462.00,,7,本科二批,19,文科,北京
海南,海南大学,2013,539.00,536.00,,8,本科一批,3,文科,天津
海南,海南大学,2012,560.00,553.00,,6,本科一批,4,文科,天津
海南,海南大学,2012,551.00,528.00,,6,本科二批,39,文科,天津
海南,海南大学,2011,538.00,525.00,,8,本科一批,6,文科,天津
海南,海南大学,2011,508.00,493.00,,8,本科二批,33,文科,天津
海南,海南大学,2010,542.00,528.00,,6,本科一批,9,文科,天津
海南,海南大学,2010,505.00,488.00,,4,本科二批,22,文科,天津
海南,海南大学,2009,517.00,514.00,,4,本科一批,3,文科,天津
海南,海南大学,2009,495.00,483.00,,4,本科二批,21,文科,天津
海南,海南大学,2008,525.00,501.00,,12,本科二三批,,文科,天津
海南,海南大学,2008,519.00,500.00,,12,本科二批,17,文科,天津
海南,海南大学,2007,510.00,494.00,,12,本科二批,21,文科,天津
海南,海南大学,2007,510.00,485.00,,17,本科二三批,,文科,天津
海南,海南大学,2006,478.00,458.00,,25,本科二批,22,文科,天津
海南,海南大学,2006,478.00,458.00,,25,本科二三批,,文科,天津
海南,海南大学,2005,511.00,475.00,,24,本科二批,15,文科,天津
海南,海南大学,2003,,,,,不详,,文科,天津
海南,海南大学,2002,,,,,不详,,文科,天津
海南,海南大学,2001,,479.00,,,不详,,文科,天津
海南,海南大学,2013,452.00,452.00,,1,本科一批,4,文科,上海
海南,海南大学,2008,443.00,437.00,,4,本科二三批,,文科,上海
海南,海南大学,2008,443.00,437.00,,4,本科二批,9,文科,上海
海南,海南大学,2007,452.00,439.00,,2,本科二批,15,文科,上海
海南,海南大学,2007,452.00,423.00,,5,本科二三批,,文科,上海
海南,海南大学,2006,457.00,454.00,,3,本科二批,4,文科,上海
海南,海南大学,2006,457.00,448.00,,5,本科二三批,,文科,上海
海南,海南大学,2013,602.00,542.00,,29,本科二批,43,文科,重庆
海南,海南大学,2013,601.00,579.00,,41,本科一批,23,文科,重庆
海南,海南大学,2012,592.00,577.00,,45,本科一批,23,文科,重庆
海南,海南大学,2012,550.00,528.00,,36,本科二批,34,文科,重庆
海南,海南大学,2011,596.00,579.00,,46,本科一批,15,文科,重庆
海南,海南大学,2011,572.00,531.00,,39,本科二批,27,文科,重庆
海南,海南大学,2010,604.00,584.00,,46,本科一批,11,文科,重庆
海南,海南大学,2010,576.00,553.00,,39,本科二批,43,文科,重庆
海南,海南大学,2009,568.00,552.00,,25,本科一批,6,文科,重庆
海南,海南大学,2009,551.00,533.00,,14,本科二批,53,文科,重庆
海南,海南大学,2008,577.00,560.00,,54,本科二批,50,文科,重庆
海南,海南大学,2007,557.00,519.00,,36,本科二批,43,文科,重庆
海南,海南大学,2006,571.00,546.00,,40,本科二批,60,文科,重庆
海南,海南大学,2006,571.00,546.00,,40,本科二三批,,文科,重庆
海南,海南大学,2005,566.00,536.00,,28,本科二批,49,文科,重庆
海南,海南大学,2004,,,,,不详,,文科,重庆
海南,海南大学,2003,,,,,不详,,文科,重庆
海南,海南大学,2002,,,,,不详,,文科,重庆
海南,海南大学,2001,,511.00,,,不详,,文科,重庆
海南,海南大学,2013,590.00,579.00,,52,本科一批,18,文科,河北
海南,海南大学,2013,571.00,560.00,,26,本科二批,49,文科,河北
海南,海南大学,2012,598.00,584.00,,57,本科一批,12,文科,河北
海南,海南大学,2012,584.00,569.00,,28,本科二批,40,文科,河北
海南,海南大学,2011,583.00,575.00,,38,本科一批,13,文科,河北
海南,海南大学,2011,567.00,559.00,,32,本科二批,35,文科,河北
海南,海南大学,2010,562.00,552.00,,39,本科一批,13,文科,河北
海南,海南大学,2010,549.00,538.00,,49,本科二批,34,文科,河北
海南,海南大学,2009,555.00,544.00,,21,本科一批,5,文科,河北
海南,海南大学,2009,552.00,536.00,,15,本科二批,34,文科,河北
海南,海南大学,2008,546.00,535.00,,45,本科二批,32,文科,河北
