招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
海南,海南大学,2013,601.00,586.00,,4,本科一批,36,理科,北京
海南,海南大学,2012,519.00,519.00,,1,本科一批,42,理科,北京
海南,海南大学,2011,524.00,503.00,,4,本科一批,19,理科,北京
海南,海南大学,2010,555.00,529.00,,2,本科一批,35,理科,北京
海南,海南大学,2009,539.00,533.00,,3,本科一批,32,理科,北京
海南,海南大学,2008,485.00,465.00,,6,本科二批,10,理科,北京
海南,海南大学,2007,516.00,508.00,,3,本科二批,30,理科,北京
海南,海南大学,2006,484.00,483.00,,3,本科二三批,,理科,北京
海南,海南大学,2006,484.00,483.00,,3,本科二批,7,理科,北京
海南,海南大学,2005,434.00,425.00,,3,本科二批,11,理科,北京
海南,海南大学,2013,551.00,534.00,,38,本科一批,13,理科,天津
海南,海南大学,2012,566.00,539.00,,26,本科一批,9,理科,天津
海南,海南大学,2012,517.00,486.00,,14,本科二批,46,理科,天津
海南,海南大学,2011,549.00,523.00,,26,本科一批,8,理科,天津
海南,海南大学,2011,494.00,460.00,,19,本科二批,31,理科,天津
海南,海南大学,2010,546.00,519.00,,23,本科一批,10,理科,天津
海南,海南大学,2010,514.00,478.00,,21,本科二批,33,理科,天津
海南,海南大学,2009,527.00,509.00,,27,本科一批,7,理科,天津
海南,海南大学,2009,479.00,454.00,,8,本科二批,19,理科,天津
海南,海南大学,2008,514.00,483.00,,48,本科二三批,,理科,天津
海南,海南大学,2008,514.00,484.00,,47,本科二批,18,理科,天津
海南,海南大学,2007,500.00,470.00,,36,本科二批,17,理科,天津
海南,海南大学,2007,500.00,469.00,,38,本科二三批,,理科,天津
海南,海南大学,2006,524.00,478.00,,38,本科二批,23,理科,天津
海南,海南大学,2006,524.00,474.00,,43,本科二三批,,理科,天津
海南,海南大学,2005,460.00,431.00,,33,本科二批,23,理科,天津
海南,海南大学,2003,,,,,不详,,理科,天津
海南,海南大学,2002,,,,,不详,,理科,天津
海南,海南大学,2001,,475.00,,,不详,,理科,天津
海南,海南大学,2013,,,388.00,,本科一批,,理科,上海
海南,海南大学,2012,429.00,429.00,,1,本科一批,6,理科,上海
海南,海南大学,2008,448.00,417.00,,16,本科二批,18,理科,上海
海南,海南大学,2008,448.00,418.00,,16,本科二三批,,理科,上海
海南,海南大学,2007,433.00,418.00,,4,本科二批,24,理科,上海
海南,海南大学,2007,433.00,409.00,,5,本科二三批,,理科,上海
海南,海南大学,2006,436.00,419.00,,4,本科二批,7,理科,上海
海南,海南大学,2006,436.00,415.00,,5,本科二三批,,理科,上海
