招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
港澳台,香港城市大学,2008,642.00,625.00,,7,本科提前批,,文科,北京
港澳台,香港城市大学,2007,649.00,619.00,,11,本科提前批,,文科,北京
港澳台,香港城市大学,2006,623.00,600.00,,15,本科一批,84,文科,北京
港澳台,香港城市大学,2008,637.00,636.00,,3,本科提前批,,文科,天津
港澳台,香港城市大学,2007,637.00,614.00,,3,本科提前批,,文科,天津
港澳台,香港城市大学,2008,539.00,530.00,,5,本科提前批,,文科,上海
港澳台,香港城市大学,2007,529.00,524.00,,9,本科提前批,,文科,上海
港澳台,香港城市大学,2006,533.00,525.00,,7,本科一批,35,文科,上海
港澳台,香港城市大学,2008,653.00,650.00,,3,本科提前批,,文科,重庆
港澳台,香港城市大学,2007,607.00,607.00,,2,本科提前批,,文科,重庆
港澳台,香港城市大学,2006,630.00,621.00,,2,本科一批,65,文科,重庆
港澳台,香港城市大学,2008,613.00,605.00,,2,本科提前批,,文科,河北
港澳台,香港城市大学,2007,611.00,611.00,,1,本科提前批,,文科,河北
港澳台,香港城市大学,2008,629.00,622.00,,2,本科提前批,,文科,河南
港澳台,香港城市大学,2007,642.00,634.00,,2,本科提前批,,文科,河南
港澳台,香港城市大学,2008,631.00,631.00,,2,本科提前批,,文科,山东
港澳台,香港城市大学,2007,654.00,647.00,,2,本科提前批,,文科,山东
港澳台,香港城市大学,2006,589.00,589.00,,1,本科一批,21,文科,山东
港澳台,香港城市大学,2008,604.00,604.00,,1,本科提前批,,文科,山西
港澳台,香港城市大学,2007,608.00,608.00,,1,本科提前批,,文科,山西
港澳台,香港城市大学,2008,619.00,613.00,,3,本科提前批,,文科,安徽
港澳台,香港城市大学,2008,595.00,595.00,,1,本科提前批,,文科,江西
港澳台,香港城市大学,2007,622.00,621.00,,2,本科提前批,,文科,江西
港澳台,香港城市大学,2006,613.00,613.00,,1,本科提前批,,文科,江西
港澳台,香港城市大学,2007,663.00,653.00,,16,本科提前批,,文科,江苏
港澳台,香港城市大学,2006,663.00,634.00,,15,本科一批,,文科,江苏
港澳台,香港城市大学,2008,623.00,608.00,,7,本科提前批,,文科,浙江
港澳台,香港城市大学,2007,612.00,606.00,,6,本科提前批,,文科,浙江
港澳台,香港城市大学,2006,613.00,603.00,,9,本科一批,20,文科,浙江
港澳台,香港城市大学,2008,608.00,604.00,,3,本科提前批,,文科,湖北
港澳台,香港城市大学,2007,585.00,583.00,,2,本科提前批,,文科,湖北
港澳台,香港城市大学,2006,605.00,600.00,,2,本科提前批,,文科,湖北
港澳台,香港城市大学,2008,623.00,616.00,,2,本科提前批,,文科,湖南
港澳台,香港城市大学,2007,625.00,623.00,,2,本科提前批,,文科,湖南
港澳台,香港城市大学,2008,645.00,637.00,,5,本科提前批,,文科,广东
港澳台,香港城市大学,2007,659.00,649.00,,6,本科提前批,,文科,广东
港澳台,香港城市大学,2006,796.00,751.00,,25,本科一批,,文科,广东
港澳台,香港城市大学,2008,607.00,602.00,,2,本科提前批,,文科,广西
港澳台,香港城市大学,2007,633.00,627.00,,2,本科提前批,,文科,广西
港澳台,香港城市大学,2006,618.00,618.00,,1,本科一批,60,文科,广西
港澳台,香港城市大学,2008,638.00,637.00,,2,本科提前批,,文科,云南
