招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
湖北,武汉大学,2013,656.00,625.00,,28,本科一批,76,文科,北京
湖北,武汉大学,2012,611.00,573.00,,37,本科一批,78,文科,北京
湖北,武汉大学,2011,633.00,596.00,,38,本科一批,72,文科,北京
湖北,武汉大学,2010,635.00,592.00,,47,本科一批,68,文科,北京
湖北,武汉大学,2009,620.00,587.00,,41,本科一批,55,文科,北京
湖北,武汉大学,2008,619.00,582.00,,37,本科一批,67,文科,北京
湖北,武汉大学,2007,612.00,587.00,,30,本科一批,59,文科,北京
湖北,武汉大学,2006,616.00,576.00,,30,本科一批,60,文科,北京
湖北,武汉大学,2005,584.00,542.00,,28,本科一批,56,文科,北京
湖北,武汉大学,2003,,,,,不详,,文科,北京
湖北,武汉大学,2002,,,,,不详,,文科,北京
湖北,武汉大学,2001,,511.00,,,不详,,文科,北京
湖北,武汉大学,2013,615.00,605.00,,16,本科一批,72,文科,天津
湖北,武汉大学,2012,649.00,624.00,,21,本科一批,75,文科,天津
湖北,武汉大学,2011,609.00,590.00,,23,本科一批,71,文科,天津
湖北,武汉大学,2010,612.00,593.00,,21,本科一批,74,文科,天津
湖北,武汉大学,2010,610.00,602.00,,4,本科提前批,,文科,天津
湖北,武汉大学,2009,607.00,581.00,,26,本科一批,70,文科,天津
湖北,武汉大学,2008,624.00,581.00,,22,本科一批,58,文科,天津
湖北,武汉大学,2007,602.00,582.00,,19,本科一批,69,文科,天津
湖北,武汉大学,2006,555.00,536.00,,15,本科一批,59,文科,天津
湖北,武汉大学,2005,610.00,576.00,,13,本科一批,78,文科,天津
湖北,武汉大学,2003,,,,,不详,,文科,天津
湖北,武汉大学,2002,,,,,不详,,文科,天津
湖北,武汉大学,2001,,574.00,,,不详,,文科,天津
湖北,武汉大学,2013,494.00,486.00,,11,本科一批,38,文科,上海
湖北,武汉大学,2012,494.00,475.00,,14,本科一批,37,文科,上海
湖北,武汉大学,2011,516.00,504.00,,17,本科一批,36,文科,上海
湖北,武汉大学,2010,509.00,495.00,,25,本科一批,31,文科,上海
湖北,武汉大学,2010,506.00,502.00,,2,本科提前批,,文科,上海
湖北,武汉大学,2009,511.00,494.00,,19,本科一批,23,文科,上海
湖北,武汉大学,2008,512.00,494.00,,25,本科一批,23,文科,上海
湖北,武汉大学,2007,508.00,488.00,,24,本科一批,23,文科,上海
湖北,武汉大学,2006,511.00,500.00,,12,本科一批,10,文科,上海
湖北,武汉大学,2005,529.00,506.00,,16,本科一批,,文科,上海
湖北,武汉大学,2003,,,,,不详,,文科,上海
湖北,武汉大学,2002,,,,,不详,,文科,上海
湖北,武汉大学,2001,,447.00,,,不详,,文科,上海
湖北,武汉大学,2013,642.00,626.00,,22,本科一批,70,文科,重庆
湖北,武汉大学,2012,649.00,630.00,,20,本科一批,76,文科,重庆
湖北,武汉大学,2011,645.00,623.00,,26,本科一批,59,文科,重庆
湖北,武汉大学,2010,644.00,631.00,,23,本科一批,58,文科,重庆
湖北,武汉大学,2009,620.00,605.00,,21,本科一批,59,文科,重庆
湖北,武汉大学,2008,636.00,627.00,,18,本科一批,51,文科,重庆
湖北,武汉大学,2007,615.00,600.00,,29,本科一批,60,文科,重庆
湖北,武汉大学,2006,626.00,614.00,,26,本科一批,58,文科,重庆
湖北,武汉大学,2005,637.00,606.00,,16,本科一批,57,文科,重庆
湖北,武汉大学,2004,,,,,不详,,文科,重庆
湖北,武汉大学,2003,,,,,不详,,文科,重庆
湖北,武汉大学,2002,,,,,不详,,文科,重庆
湖北,武汉大学,2001,,579.00,,,不详,,文科,重庆
湖北,武汉大学,2013,633.00,623.00,,29,本科一批,62,文科,河北
湖北,武汉大学,2012,637.00,626.00,,24,本科一批,54,文科,河北
湖北,武汉大学,2011,617.00,609.00,,29,本科一批,47,文科,河北
湖北,武汉大学,2010,599.00,587.00,,23,本科一批,48,文科,河北
湖北,武汉大学,2010,585.00,584.00,,2,本科提前批,,文科,河北
湖北,武汉大学,2009,597.00,584.00,,24,本科一批,45,文科,河北
湖北,武汉大学,2008,603.00,583.00,,21,本科一批,46,文科,河北
