招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
湖北,武汉大学,2013,674.00,646.00,,86,本科一批,96,理科,北京
湖北,武汉大学,2012,652.00,597.00,,140,本科一批,120,理科,北京
湖北,武汉大学,2011,649.00,598.00,,147,本科一批,114,理科,北京
湖北,武汉大学,2010,653.00,606.00,,146,本科一批,112,理科,北京
湖北,武汉大学,2009,644.00,594.00,,171,本科一批,93,理科,北京
湖北,武汉大学,2008,655.00,597.00,,205,本科一批,95,理科,北京
湖北,武汉大学,2007,667.00,607.00,,184,本科一批,76,理科,北京
湖北,武汉大学,2006,661.00,604.00,,102,本科一批,76,理科,北京
湖北,武汉大学,2005,608.00,557.00,,72,本科一批,87,理科,北京
湖北,武汉大学,2003,,,,,不详,,理科,北京
湖北,武汉大学,2002,,,,,不详,,理科,北京
湖北,武汉大学,2001,,537.00,,,不详,,理科,北京
湖北,武汉大学,2013,639.00,618.00,,71,本科一批,97,理科,天津
湖北,武汉大学,2012,647.00,628.00,,93,本科一批,98,理科,天津
湖北,武汉大学,2011,632.00,605.00,,95,本科一批,90,理科,天津
湖北,武汉大学,2010,637.00,588.00,,96,本科一批,79,理科,天津
湖北,武汉大学,2009,632.00,585.00,,89,本科一批,83,理科,天津
湖北,武汉大学,2008,652.00,605.00,,87,本科一批,83,理科,天津
湖北,武汉大学,2007,640.00,593.00,,70,本科一批,84,理科,天津
湖北,武汉大学,2006,627.00,586.00,,69,本科一批,81,理科,天津
湖北,武汉大学,2005,586.00,551.00,,64,本科一批,93,理科,天津
湖北,武汉大学,2003,,,,,不详,,理科,天津
湖北,武汉大学,2002,,,,,不详,,理科,天津
湖北,武汉大学,2001,,579.00,,,不详,,理科,天津
湖北,武汉大学,2013,476.00,457.00,,54,本科一批,52,理科,上海
湖北,武汉大学,2012,485.00,465.00,,66,本科一批,42,理科,上海
湖北,武汉大学,2011,521.00,500.00,,69,本科一批,38,理科,上海
湖北,武汉大学,2010,514.00,495.00,,87,本科一批,30,理科,上海
湖北,武汉大学,2009,503.00,482.00,,91,本科一批,27,理科,上海
湖北,武汉大学,2008,520.00,494.00,,123,本科一批,27,理科,上海
湖北,武汉大学,2007,528.00,487.00,,61,本科一批,26,理科,上海
湖北,武汉大学,2006,517.00,488.00,,47,本科一批,22,理科,上海
湖北,武汉大学,2005,548.00,500.00,,45,本科一批,,理科,上海
湖北,武汉大学,2003,,,,,不详,,理科,上海
湖北,武汉大学,2002,,,,,不详,,理科,上海
湖北,武汉大学,2001,,451.00,,,不详,,理科,上海
湖北,武汉大学,2013,646.00,614.00,,90,本科一批,94,理科,重庆
湖北,武汉大学,2012,643.00,627.00,,83,本科一批,105,理科,重庆
湖北,武汉大学,2011,643.00,620.00,,94,本科一批,87,理科,重庆
湖北,武汉大学,2010,644.00,630.00,,88,本科一批,97,理科,重庆
湖北,武汉大学,2009,655.00,634.00,,66,本科一批,77,理科,重庆
湖北,武汉大学,2008,659.00,634.00,,100,本科一批,90,理科,重庆
湖北,武汉大学,2007,647.00,602.00,,75,本科一批,97,理科,重庆
湖北,武汉大学,2006,653.00,619.00,,83,本科一批,88,理科,重庆
湖北,武汉大学,2005,652.00,615.00,,77,本科一批,67,理科,重庆
湖北,武汉大学,2004,,,,,不详,,理科,重庆
湖北,武汉大学,2003,,,,,不详,,理科,重庆
湖北,武汉大学,2002,,,,,不详,,理科,重庆
湖北,武汉大学,2001,,595.00,,,不详,,理科,重庆
湖北,武汉大学,2013,636.00,621.00,,107,本科一批,83,理科,河北
湖北,武汉大学,2012,660.00,638.00,,105,本科一批,74,理科,河北
湖北,武汉大学,2011,670.00,648.00,,125,本科一批,67,理科,河北
湖北,武汉大学,2010,641.00,625.00,,106,本科一批,64,理科,河北
湖北,武汉大学,2009,649.00,628.00,,112,本科一批,59,理科,河北
湖北,武汉大学,2008,630.00,611.00,,102,本科一批,59,理科,河北
湖北,武汉大学,2007,657.00,629.00,,64,本科一批,42,理科,河北
湖北,武汉大学,2006,644.00,625.00,,51,本科一批,48,理科,河北
湖北,武汉大学,2006,624.00,611.00,,4,本科提前批,,理科,河北
湖北,武汉大学,2005,633.00,610.00,,46,本科一批,59,理科,河北
湖北,武汉大学,2004,,,644.00,,不详,,理科,河北
湖北,武汉大学,2003,,,,,不详,,理科,河北
湖北,武汉大学,2002,,,,,不详,,理科,河北
湖北,武汉大学,2001,,621.00,,,不详,,理科,河北
湖北,武汉大学,2013,627.00,597.00,,465,本科一批,92,理科,河南
湖北,武汉大学,2012,648.00,621.00,,379,本科一批,81,理科,河南
湖北,武汉大学,2011,661.00,644.00,,397,本科一批,62,理科,河南
湖北,武汉大学,2010,635.00,615.00,,353,本科一批,63,理科,河南
湖北,武汉大学,2010,618.00,596.00,,5,本科提前批,,理科,河南
湖北,武汉大学,2009,661.00,622.00,,317,本科一批,55,理科,河南
湖北,武汉大学,2009,616.00,603.00,,10,本科提前批,,理科,河南
湖北,武汉大学,2008,666.00,620.00,,317,本科一批,57,理科,河南
湖北,武汉大学,2008,617.00,595.00,,25,本科提前批,,理科,河南
湖北,武汉大学,2007,672.00,644.00,,308,本科一批,48,理科,河南
湖北,武汉大学,2007,641.00,626.00,,18,本科提前批,,理科,河南
湖北,武汉大学,2006,664.00,634.00,,250,本科一批,44,理科,河南
湖北,武汉大学,2006,647.00,615.00,,26,本科提前批,,理科,河南
湖北,武汉大学,2005,674.00,627.00,,252,本科一批,59,理科,河南
湖北,武汉大学,2005,644.00,612.00,,15,本科提前批,,理科,河南
湖北,武汉大学,2003,,,,,不详,,理科,河南
湖北,武汉大学,2002,,,,,不详,,理科,河南
湖北,武汉大学,2001,,490.00,,,不详,,理科,河南
湖北,武汉大学,2013,671.00,649.00,,154,本科一批,95,理科,山东
湖北,武汉大学,2012,679.00,662.00,,183,本科一批,80,理科,山东
湖北,武汉大学,2011,664.00,643.00,,213,本科一批,76,理科,山东
湖北,武汉大学,2010,666.00,647.00,,209,本科一批,67,理科,山东
湖北,武汉大学,2010,623.00,604.00,,6,本科提前批,,理科,山东
湖北,武汉大学,2009,665.00,641.00,,164,本科一批,55,理科,山东
湖北,武汉大学,2009,620.00,603.00,,6,本科提前批,,理科,山东
湖北,武汉大学,2008,663.00,634.00,,142,本科一批,52,理科,山东
湖北,武汉大学,2008,629.00,611.00,,10,本科提前批,,理科,山东
湖北,武汉大学,2007,653.00,634.00,,149,本科一批,61,理科,山东
湖北,武汉大学,2007,600.00,585.00,,6,本科提前批,,理科,山东
湖北,武汉大学,2006,658.00,634.00,,134,本科一批,51,理科,山东
湖北,武汉大学,2005,674.00,655.00,,109,本科一批,58,理科,山东
湖北,武汉大学,2004,,,634.00,,不详,,理科,山东
湖北,武汉大学,2003,,,,,不详,,理科,山东
湖北,武汉大学,2002,,,,,不详,,理科,山东
湖北,武汉大学,2001,,619.00,,,不详,,理科,山东
湖北,武汉大学,2013,589.00,572.00,,97,本科一批,79,理科,山西
湖北,武汉大学,2012,624.00,606.00,,77,本科一批,76,理科,山西
湖北,武汉大学,2011,653.00,621.00,,81,本科一批,51,理科,山西
湖北,武汉大学,2010,637.00,602.00,,71,本科一批,66,理科,山西
湖北,武汉大学,2009,651.00,600.00,,66,本科一批,53,理科,山西
湖北,武汉大学,2008,630.00,601.00,,75,本科一批,55,理科,山西
湖北,武汉大学,2007,652.00,619.00,,56,本科一批,47,理科,山西
湖北,武汉大学,2006,639.00,609.00,,61,本科一批,57,理科,山西
湖北,武汉大学,2005,644.00,595.00,,62,本科一批,63,理科,山西
湖北,武汉大学,2004,,,612.00,,不详,,理科,山西
湖北,武汉大学,2003,,,,,不详,,理科,山西
湖北,武汉大学,2002,,,,,不详,,理科,山西
湖北,武汉大学,2001,,586.00,,,不详,,理科,山西
湖北,武汉大学,2013,618.00,600.00,,208,本科一批,110,理科,安徽
湖北,武汉大学,2012,659.00,642.00,,182,本科一批,98,理科,安徽
