招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
湖北,武汉大学,2008,374.00,363.00,,220,本科一批,33,综合,江苏
湖北,武汉大学,2007,657.00,636.00,,199,本科一批,48,综合,江苏
湖北,武汉大学,2006,642.00,623.00,,190,本科一批,51,综合,江苏
湖北,武汉大学,2006,843.00,729.00,,126,本科一批,92,综合,广东
湖北,华中科技大学,2008,378.00,361.00,,263,本科一批,31,综合,江苏
湖北,华中科技大学,2007,655.00,637.00,,295,本科一批,49,综合,江苏
湖北,华中科技大学,2006,646.00,630.00,,259,本科一批,58,综合,江苏
湖北,华中科技大学,2006,873.00,750.00,,180,本科一批,113,综合,广东
湖北,华中农业大学,2008,354.00,334.00,,116,本科一批,4,综合,江苏
湖北,华中农业大学,2007,611.00,593.00,,203,本科一批,5,综合,江苏
湖北,华中农业大学,2006,605.00,578.00,,198,本科一批,6,综合,江苏
湖北,华中农业大学,2006,726.00,659.00,,50,本科一批,22,综合,广东
湖北,华中师范大学,2008,360.00,340.00,,31,本科一批,10,综合,江苏
湖北,华中师范大学,2008,359.00,341.00,,22,本科提前批,,综合,江苏
湖北,华中师范大学,2007,635.00,615.00,,15,本科提前批,,综合,江苏
湖北,华中师范大学,2007,613.00,604.00,,28,本科一批,16,综合,江苏
湖北,华中师范大学,2006,604.00,585.00,,44,本科一批,13,综合,江苏
湖北,华中师范大学,2006,790.00,666.00,,60,本科一批,29,综合,广东
湖北,中南财经政法大学,2008,375.00,356.00,,176,本科一批,26,综合,江苏
湖北,中南财经政法大学,2008,345.00,335.00,,11,本科提前批,,综合,江苏
湖北,中南财经政法大学,2007,638.00,619.00,,183,本科一批,31,综合,江苏
湖北,中南财经政法大学,2007,619.00,595.00,,16,本科提前批,,综合,江苏
湖北,中南财经政法大学,2006,626.00,602.00,,176,本科一批,30,综合,江苏
湖北,中南财经政法大学,2006,609.00,578.00,,13,本科提前批,,综合,江苏
湖北,中南财经政法大学,2006,781.00,700.00,,180,本科一批,63,综合,广东
湖北,中南财经政法大学,2006,714.00,674.00,,18,本科提前批,,综合,广东
湖北,武汉理工大学,2008,366.00,346.00,,304,本科一批,16,综合,江苏
湖北,武汉理工大学,2008,335.00,332.00,,4,本科提前批,,综合,江苏
湖北,武汉理工大学,2007,628.00,615.00,,299,本科一批,27,综合,江苏
湖北,武汉理工大学,2007,619.00,594.00,,15,本科提前批,,综合,江苏
湖北,武汉理工大学,2006,618.00,599.00,,285,本科一批,27,综合,江苏
湖北,武汉理工大学,2006,601.00,567.00,,10,本科提前批,,综合,江苏
湖北,武汉理工大学,2006,741.00,671.00,,180,本科一批,34,综合,广东
湖北,中国地质大学(武汉),2008,363.00,337.00,,120,本科一批,7,综合,江苏
