招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
湖南,湖南大学,2013,609.00,582.00,,20,本科一批,33,文科,北京
湖南,湖南大学,2012,564.00,522.00,,23,本科一批,27,文科,北京
湖南,湖南大学,2011,608.00,557.00,,27,本科一批,33,文科,北京
湖南,湖南大学,2010,570.00,549.00,,17,本科一批,25,文科,北京
湖南,湖南大学,2009,604.00,558.00,,28,本科一批,26,文科,北京
湖南,湖南大学,2008,609.00,549.00,,29,本科一批,34,文科,北京
湖南,湖南大学,2007,609.00,561.00,,20,本科一批,33,文科,北京
湖南,湖南大学,2006,596.00,542.00,,31,本科一批,26,文科,北京
湖南,湖南大学,2005,588.00,527.00,,21,本科一批,41,文科,北京
湖南,湖南大学,2004,,,,,不详,,文科,北京
湖南,湖南大学,2003,,,,,不详,,文科,北京
湖南,湖南大学,2002,,,,,不详,,文科,北京
湖南,湖南大学,2001,,490.00,,,不详,,文科,北京
湖南,湖南大学,2013,596.00,582.00,,18,本科一批,49,文科,天津
湖南,湖南大学,2012,615.00,607.00,,15,本科一批,58,文科,天津
湖南,湖南大学,2011,582.00,566.00,,20,本科一批,47,文科,天津
湖南,湖南大学,2010,587.00,568.00,,26,本科一批,49,文科,天津
湖南,湖南大学,2009,580.00,552.00,,21,本科一批,41,文科,天津
湖南,湖南大学,2008,604.00,574.00,,23,本科一批,51,文科,天津
湖南,湖南大学,2007,583.00,552.00,,14,本科一批,39,文科,天津
湖南,湖南大学,2006,553.00,524.00,,21,本科一批,47,文科,天津
湖南,湖南大学,2005,580.00,535.00,,24,本科一批,37,文科,天津
湖南,湖南大学,2004,,,,,不详,,文科,天津
湖南,湖南大学,2003,,,,,不详,,文科,天津
湖南,湖南大学,2002,,,,,不详,,文科,天津
湖南,湖南大学,2001,,528.00,,,不详,,文科,天津
湖南,湖南大学,2013,472.00,458.00,,12,本科一批,10,文科,上海
湖南,湖南大学,2011,485.00,477.00,,6,本科一批,9,文科,上海
湖南,湖南大学,2010,485.00,472.00,,5,本科一批,8,文科,上海
湖南,湖南大学,2009,476.00,473.00,,5,本科一批,2,文科,上海
湖南,湖南大学,2008,486.00,478.00,,2,本科一批,7,文科,上海
湖南,湖南大学,2007,483.00,476.00,,6,本科一批,11,文科,上海
湖南,湖南大学,2006,492.00,492.00,,1,本科一批,2,文科,上海
湖南,湖南大学,2005,502.00,491.00,,3,本科一批,,文科,上海
湖南,湖南大学,2004,,,,,不详,,文科,上海
湖南,湖南大学,2003,,,,,不详,,文科,上海
湖南,湖南大学,2002,,,,,不详,,文科,上海
湖南,湖南大学,2001,,431.00,,,不详,,文科,上海
湖南,湖南大学,2013,615.00,607.00,,15,本科一批,51,文科,重庆
湖南,湖南大学,2012,609.00,599.00,,18,本科一批,45,文科,重庆
湖南,湖南大学,2011,611.00,600.00,,18,本科一批,36,文科,重庆
湖南,湖南大学,2010,617.00,609.00,,19,本科一批,36,文科,重庆
湖南,湖南大学,2009,586.00,577.00,,18,本科一批,31,文科,重庆
湖南,湖南大学,2008,616.00,604.00,,20,本科一批,28,文科,重庆
湖南,湖南大学,2007,579.00,569.00,,18,本科一批,29,文科,重庆
湖南,湖南大学,2006,593.00,583.00,,21,本科一批,27,文科,重庆
湖南,湖南大学,2005,583.00,572.00,,22,本科一批,23,文科,重庆
湖南,湖南大学,2004,,,,,不详,,文科,重庆
湖南,湖南大学,2003,,,,,不详,,文科,重庆
湖南,湖南大学,2002,,,,,不详,,文科,重庆
湖南,湖南大学,2001,,546.00,,,不详,,文科,重庆
湖南,湖南大学,2013,618.00,610.00,,26,本科一批,49,文科,河北
湖南,湖南大学,2012,617.00,611.00,,23,本科一批,39,文科,河北
湖南,湖南大学,2011,607.00,596.00,,30,本科一批,34,文科,河北
