招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
湖南,湖南大学,2013,644.00,606.00,,52,本科一批,56,理科,北京
湖南,湖南大学,2012,605.00,540.00,,71,本科一批,63,理科,北京
湖南,湖南大学,2011,601.00,534.00,,75,本科一批,50,理科,北京
湖南,湖南大学,2010,625.00,556.00,,71,本科一批,62,理科,北京
湖南,湖南大学,2009,600.00,551.00,,95,本科一批,50,理科,北京
湖南,湖南大学,2008,602.00,541.00,,70,本科一批,39,理科,北京
湖南,湖南大学,2007,607.00,567.00,,78,本科一批,36,理科,北京
湖南,湖南大学,2006,622.00,557.00,,84,本科一批,29,理科,北京
湖南,湖南大学,2005,562.00,501.00,,98,本科一批,31,理科,北京
湖南,湖南大学,2004,,,,,不详,,理科,北京
湖南,湖南大学,2003,,,,,不详,,理科,北京
湖南,湖南大学,2002,,,,,不详,,理科,北京
湖南,湖南大学,2001,,518.00,,,不详,,理科,北京
湖南,湖南大学,2013,617.00,597.00,,70,本科一批,76,理科,天津
湖南,湖南大学,2012,617.00,604.00,,74,本科一批,74,理科,天津
湖南,湖南大学,2011,612.00,578.00,,73,本科一批,63,理科,天津
湖南,湖南大学,2010,595.00,564.00,,77,本科一批,55,理科,天津
湖南,湖南大学,2009,610.00,560.00,,72,本科一批,58,理科,天津
湖南,湖南大学,2008,624.00,568.00,,65,本科一批,46,理科,天津
湖南,湖南大学,2007,601.00,571.00,,77,本科一批,62,理科,天津
湖南,湖南大学,2006,581.00,546.00,,85,本科一批,41,理科,天津
湖南,湖南大学,2005,547.00,498.00,,81,本科一批,40,理科,天津
湖南,湖南大学,2004,,,,,不详,,理科,天津
湖南,湖南大学,2003,,,,,不详,,理科,天津
湖南,湖南大学,2002,,,,,不详,,理科,天津
湖南,湖南大学,2001,,541.00,,,不详,,理科,天津
湖南,湖南大学,2013,451.00,435.00,,21,本科一批,30,理科,上海
湖南,湖南大学,2012,459.00,443.00,,29,本科一批,20,理科,上海
湖南,湖南大学,2011,491.00,474.00,,27,本科一批,12,理科,上海
湖南,湖南大学,2010,495.00,474.00,,28,本科一批,9,理科,上海
湖南,湖南大学,2009,484.00,469.00,,36,本科一批,14,理科,上海
湖南,湖南大学,2008,495.00,475.00,,31,本科一批,8,理科,上海
湖南,湖南大学,2007,502.00,470.00,,11,本科一批,9,理科,上海
湖南,湖南大学,2006,507.00,481.00,,18,本科一批,15,理科,上海
湖南,湖南大学,2005,512.00,478.00,,41,本科一批,,理科,上海
湖南,湖南大学,2004,,,,,不详,,理科,上海
湖南,湖南大学,2003,,,,,不详,,理科,上海
湖南,湖南大学,2002,,,,,不详,,理科,上海
湖南,湖南大学,2001,,437.00,,,不详,,理科,上海
湖南,湖南大学,2013,620.00,591.00,,119,本科一批,71,理科,重庆
湖南,湖南大学,2012,618.00,583.00,,118,本科一批,61,理科,重庆
湖南,湖南大学,2011,611.00,585.00,,106,本科一批,52,理科,重庆
湖南,湖南大学,2010,604.00,578.00,,82,本科一批,45,理科,重庆
湖南,湖南大学,2009,626.00,600.00,,78,本科一批,43,理科,重庆
湖南,湖南大学,2008,647.00,595.00,,75,本科一批,51,理科,重庆
湖南,湖南大学,2008,564.00,564.00,,1,本科提前批,,理科,重庆
湖南,湖南大学,2007,599.00,552.00,,72,本科一批,47,理科,重庆
湖南,湖南大学,2006,641.00,567.00,,78,本科一批,36,理科,重庆
湖南,湖南大学,2006,553.00,553.00,,1,本科提前批,,理科,重庆
湖南,湖南大学,2005,614.00,581.00,,88,本科一批,33,理科,重庆
湖南,湖南大学,2005,604.00,580.00,,5,本科提前批,,理科,重庆
湖南,湖南大学,2004,,,,,不详,,理科,重庆
湖南,湖南大学,2003,,,,,不详,,理科,重庆
湖南,湖南大学,2002,,,,,不详,,理科,重庆
湖南,湖南大学,2001,,565.00,,,不详,,理科,重庆
湖南,湖南大学,2013,626.00,602.00,,129,本科一批,64,理科,河北
湖南,湖南大学,2012,632.00,616.00,,135,本科一批,52,理科,河北
湖南,湖南大学,2011,644.00,625.00,,126,本科一批,44,理科,河北
湖南,湖南大学,2010,623.00,604.00,,117,本科一批,43,理科,河北
湖南,湖南大学,2009,627.00,609.00,,106,本科一批,40,理科,河北
湖南,湖南大学,2008,603.00,589.00,,107,本科一批,37,理科,河北
湖南,湖南大学,2007,637.00,616.00,,100,本科一批,29,理科,河北
湖南,湖南大学,2006,622.00,606.00,,86,本科一批,29,理科,河北
湖南,湖南大学,2006,582.00,582.00,,1,本科提前批,,理科,河北
湖南,湖南大学,2005,599.00,585.00,,98,本科一批,34,理科,河北
湖南,湖南大学,2004,,,615.00,,不详,,理科,河北
湖南,湖南大学,2003,,,513.00,,不详,,理科,河北
湖南,湖南大学,2002,,,,,不详,,理科,河北
湖南,湖南大学,2001,,606.00,,,不详,,理科,河北
湖南,湖南大学,2013,603.00,578.00,,264,本科一批,73,理科,河南
湖南,湖南大学,2012,628.00,601.00,,267,本科一批,61,理科,河南
湖南,湖南大学,2011,639.00,627.00,,237,本科一批,45,理科,河南
湖南,湖南大学,2010,610.00,596.00,,221,本科一批,44,理科,河南
湖南,湖南大学,2010,597.00,582.00,,4,本科提前批,,理科,河南
湖南,湖南大学,2009,633.00,603.00,,218,本科一批,36,理科,河南
