招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
湖南,湖南大学,2008,364.00,344.00,,165,本科一批,14,综合,江苏
湖南,湖南大学,2007,634.00,615.00,,149,本科一批,27,综合,江苏
湖南,湖南大学,2006,641.00,597.00,,169,本科一批,25,综合,江苏
湖南,湖南大学,2006,775.00,682.00,,175,本科一批,45,综合,广东
湖南,湖南大学,2006,673.00,654.00,,4,本科提前批,,综合,广东
湖南,中南大学,2008,368.00,348.00,,227,本科一批,18,综合,江苏
湖南,中南大学,2007,638.00,614.00,,204,本科一批,26,综合,江苏
湖南,中南大学,2007,600.00,594.00,,3,本科提前批,,综合,江苏
湖南,中南大学,2006,628.00,604.00,,236,本科一批,32,综合,江苏
湖南,中南大学,2006,766.00,691.00,,266,本科一批,54,综合,广东
湖南,湖南师范大学,2008,342.00,332.00,,32,本科一批,2,综合,江苏
湖南,湖南师范大学,2007,613.00,594.00,,23,本科一批,6,综合,江苏
湖南,湖南师范大学,2006,589.00,578.00,,24,本科一批,6,综合,江苏
湖南,湖南师范大学,2006,579.00,579.00,,1,本科提前批,,综合,江苏
湖南,湖南师范大学,2006,682.00,658.00,,20,本科一批,21,综合,广东
湖南,国防科学技术大学,2007,659.00,631.00,,65,本科提前批,,综合,江苏
湖南,国防科学技术大学,2006,650.00,612.00,,80,本科提前批,,综合,江苏
湖南,国防科学技术大学,2006,791.00,726.00,,22,本科提前批,,综合,广东
湖南,湘潭大学,2008,342.00,333.00,,40,本科一批,3,综合,江苏
湖南,湘潭大学,2007,600.00,592.00,,20,本科一批,4,综合,江苏
湖南,湘潭大学,2006,596.00,579.00,,30,本科一批,7,综合,江苏
湖南,湘潭大学,2006,680.00,648.00,,23,本科一批,11,综合,广东
湖南,湘潭大学,2006,649.00,644.00,,2,本科提前批,,综合,广东
湖南,吉首大学,2008,320.00,311.00,,14,本科二批,11,综合,江苏
湖南,吉首大学,2007,586.00,571.00,,5,本科二批,12,综合,江苏
湖南,吉首大学,2007,586.00,571.00,,5,本科二三批,,综合,江苏
湖南,吉首大学,2006,558.00,554.00,,5,本科二批,12,综合,江苏
湖南,吉首大学,2006,605.00,576.00,,10,本科二批,,综合,广东
湖南,吉首大学,2006,605.00,576.00,,10,本科二三批,,综合,广东
湖南,湖南农业大学,2008,318.00,306.00,,20,本科二批,6,综合,江苏
湖南,湖南农业大学,2007,571.00,563.00,,37,本科二批,4,综合,江苏
湖南,湖南农业大学,2007,571.00,563.00,,37,本科二三批,,综合,江苏
湖南,湖南农业大学,2006,559.00,547.00,,19,本科二批,5,综合,江苏
湖南,湖南农业大学,2006,638.00,596.00,,30,本科二批,,综合,广东
湖南,湖南农业大学,2006,638.00,596.00,,30,本科二三批,,综合,广东
