招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
甘肃,兰州大学,2013,637.00,601.00,,10,本科一批,52,文科,北京
甘肃,兰州大学,2012,600.00,540.00,,9,本科一批,45,文科,北京
甘肃,兰州大学,2011,599.00,562.00,,10,本科一批,38,文科,北京
甘肃,兰州大学,2010,566.00,548.00,,13,本科一批,24,文科,北京
甘肃,兰州大学,2009,601.00,552.00,,19,本科一批,20,文科,北京
甘肃,兰州大学,2008,557.00,536.00,,10,本科一批,21,文科,北京
甘肃,兰州大学,2007,605.00,550.00,,17,本科一批,22,文科,北京
甘肃,兰州大学,2006,568.00,539.00,,13,本科一批,23,文科,北京
甘肃,兰州大学,2005,549.00,512.00,,8,本科一批,26,文科,北京
甘肃,兰州大学,2003,,486.00,,,不详,,文科,北京
甘肃,兰州大学,2002,,,,,不详,,文科,北京
甘肃,兰州大学,2001,,494.00,,,不详,,文科,北京
甘肃,兰州大学,2013,590.00,574.00,,17,本科一批,41,文科,天津
甘肃,兰州大学,2012,616.00,596.00,,27,本科一批,47,文科,天津
甘肃,兰州大学,2011,576.00,563.00,,25,本科一批,44,文科,天津
甘肃,兰州大学,2010,589.00,558.00,,25,本科一批,39,文科,天津
甘肃,兰州大学,2009,577.00,548.00,,29,本科一批,37,文科,天津
甘肃,兰州大学,2008,570.00,552.00,,23,本科一批,29,文科,天津
甘肃,兰州大学,2007,563.00,539.00,,20,本科一批,26,文科,天津
甘肃,兰州大学,2006,542.00,516.00,,22,本科一批,39,文科,天津
甘肃,兰州大学,2005,550.00,527.00,,22,本科一批,29,文科,天津
甘肃,兰州大学,2003,,513.00,,,不详,,文科,天津
甘肃,兰州大学,2002,,,,,不详,,文科,天津
甘肃,兰州大学,2001,,537.00,,,不详,,文科,天津
甘肃,兰州大学,2013,476.00,461.00,,7,本科一批,13,文科,上海
甘肃,兰州大学,2011,502.00,489.00,,2,本科一批,21,文科,上海
甘肃,兰州大学,2010,468.00,467.00,,2,本科一批,3,文科,上海
甘肃,兰州大学,2008,479.00,479.00,,1,本科一批,8,文科,上海
甘肃,兰州大学,2007,489.00,474.00,,5,本科一批,9,文科,上海
甘肃,兰州大学,2006,504.00,499.00,,5,本科一批,9,文科,上海
甘肃,兰州大学,2005,498.00,490.00,,3,本科一批,,文科,上海
甘肃,兰州大学,2003,,447.00,,,不详,,文科,上海
甘肃,兰州大学,2002,,,,,不详,,文科,上海
甘肃,兰州大学,2001,,442.00,,,不详,,文科,上海
甘肃,兰州大学,2013,597.00,591.00,,16,本科一批,35,文科,重庆
甘肃,兰州大学,2012,594.00,582.00,,21,本科一批,28,文科,重庆
甘肃,兰州大学,2011,595.00,577.00,,17,本科一批,13,文科,重庆
甘肃,兰州大学,2010,608.00,596.00,,23,本科一批,23,文科,重庆
甘肃,兰州大学,2009,576.00,557.00,,22,本科一批,11,文科,重庆
甘肃,兰州大学,2008,603.00,590.00,,21,本科一批,14,文科,重庆
甘肃,兰州大学,2007,576.00,556.00,,18,本科一批,16,文科,重庆
甘肃,兰州大学,2006,611.00,576.00,,15,本科一批,20,文科,重庆
甘肃,兰州大学,2005,609.00,572.00,,14,本科一批,23,文科,重庆
甘肃,兰州大学,2004,,,,,不详,,文科,重庆
甘肃,兰州大学,2003,,,,,不详,,文科,重庆
甘肃,兰州大学,2002,,,,,不详,,文科,重庆
甘肃,兰州大学,2001,,538.00,,,不详,,文科,重庆
甘肃,兰州大学,2013,615.00,600.00,,46,本科一批,39,文科,河北
甘肃,兰州大学,2012,611.00,601.00,,40,本科一批,29,文科,河北
甘肃,兰州大学,2011,596.00,588.00,,36,本科一批,26,文科,河北
甘肃,兰州大学,2010,582.00,570.00,,51,本科一批,31,文科,河北
甘肃,兰州大学,2009,576.00,565.00,,46,本科一批,26,文科,河北
甘肃,兰州大学,2008,578.00,560.00,,53,本科一批,23,文科,河北
甘肃,兰州大学,2007,601.00,583.00,,46,本科一批,17,文科,河北
甘肃,兰州大学,2006,605.00,587.00,,42,本科一批,26,文科,河北
甘肃,兰州大学,2005,583.00,564.00,,45,本科一批,28,文科,河北
甘肃,兰州大学,2004,,,596.00,,不详,,文科,河北
甘肃,兰州大学,2003,,,559.00,,不详,,文科,河北
甘肃,兰州大学,2002,,,,,不详,,文科,河北
甘肃,兰州大学,2001,,563.00,,,不详,,文科,河北
甘肃,兰州大学,2013,570.00,560.00,,54,本科一批,41,文科,河南
甘肃,兰州大学,2012,608.00,594.00,,56,本科一批,37,文科,河南
甘肃,兰州大学,2011,602.00,593.00,,45,本科一批,31,文科,河南
甘肃,兰州大学,2010,576.00,559.00,,54,本科一批,27,文科,河南
甘肃,兰州大学,2009,601.00,575.00,,53,本科一批,23,文科,河南
甘肃,兰州大学,2008,594.00,575.00,,33,本科一批,18,文科,河南
甘肃,兰州大学,2007,640.00,597.00,,45,本科一批,8,文科,河南
甘肃,兰州大学,2006,631.00,608.00,,45,本科一批,17,文科,河南
甘肃,兰州大学,2005,608.00,593.00,,34,本科一批,28,文科,河南
甘肃,兰州大学,2004,,,599.00,,不详,,文科,河南
甘肃,兰州大学,2003,,605.00,,,不详,,文科,河南
甘肃,兰州大学,2002,,,,,不详,,文科,河南
甘肃,兰州大学,2001,,485.00,,,不详,,文科,河南
甘肃,兰州大学,2013,626.00,607.00,,57,本科一批,37,文科,山东
甘肃,兰州大学,2012,624.00,605.00,,57,本科一批,32,文科,山东
甘肃,兰州大学,2011,613.00,596.00,,54,本科一批,26,文科,山东
甘肃,兰州大学,2010,637.00,625.00,,59,本科一批,19,文科,山东
甘肃,兰州大学,2009,625.00,617.00,,44,本科一批,21,文科,山东
甘肃,兰州大学,2008,640.00,606.00,,38,本科一批,22,文科,山东
甘肃,兰州大学,2007,626.00,616.00,,41,本科一批,23,文科,山东
甘肃,兰州大学,2006,603.00,587.00,,39,本科一批,19,文科,山东
甘肃,兰州大学,2005,602.00,590.00,,28,本科一批,18,文科,山东
甘肃,兰州大学,2004,,,615.00,,不详,,文科,山东
甘肃,兰州大学,2003,,,553.00,,不详,,文科,山东
甘肃,兰州大学,2002,,,,,不详,,文科,山东
甘肃,兰州大学,2001,,581.00,,,不详,,文科,山东
甘肃,兰州大学,2013,547.00,539.00,,25,本科一批,32,文科,山西
甘肃,兰州大学,2012,582.00,567.00,,28,本科一批,28,文科,山西
甘肃,兰州大学,2011,582.00,559.00,,26,本科一批,16,文科,山西
甘肃,兰州大学,2010,580.00,558.00,,23,本科一批,25,文科,山西
甘肃,兰州大学,2009,606.00,563.00,,25,本科一批,15,文科,山西
甘肃,兰州大学,2008,609.00,570.00,,24,本科一批,25,文科,山西
甘肃,兰州大学,2007,615.00,596.00,,21,本科一批,16,文科,山西
甘肃,兰州大学,2006,619.00,587.00,,20,本科一批,26,文科,山西
甘肃,兰州大学,2005,578.00,554.00,,20,本科一批,20,文科,山西
甘肃,兰州大学,2004,,,585.00,,不详,,文科,山西
甘肃,兰州大学,2003,,,527.00,,不详,,文科,山西
甘肃,兰州大学,2002,,,,,不详,,文科,山西
甘肃,兰州大学,2001,,549.00,,,不详,,文科,山西
甘肃,兰州大学,2013,582.00,574.00,,35,本科一批,34,文科,安徽
甘肃,兰州大学,2012,608.00,603.00,,33,本科一批,26,文科,安徽
甘肃,兰州大学,2011,578.00,572.00,,29,本科一批,25,文科,安徽
甘肃,兰州大学,2010,606.00,597.00,,32,本科一批,24,文科,安徽
甘肃,兰州大学,2009,568.00,562.00,,26,本科一批,19,文科,安徽
甘肃,兰州大学,2008,583.00,573.00,,28,本科一批,20,文科,安徽
甘肃,兰州大学,2007,580.00,572.00,,29,本科一批,21,文科,安徽
甘肃,兰州大学,2006,629.00,593.00,,28,本科一批,20,文科,安徽
甘肃,兰州大学,2005,594.00,569.00,,27,本科一批,26,文科,安徽
甘肃,兰州大学,2003,,540.00,,,不详,,文科,安徽
甘肃,兰州大学,2002,,,,,不详,,文科,安徽
甘肃,兰州大学,2001,,554.00,,,不详,,文科,安徽
甘肃,兰州大学,2013,569.00,559.00,,21,本科一批,27,文科,江西
甘肃,兰州大学,2012,604.00,595.00,,23,本科一批,25,文科,江西
甘肃,兰州大学,2011,565.00,557.00,,19,本科一批,25,文科,江西
甘肃,兰州大学,2010,554.00,545.00,,14,本科一批,24,文科,江西
甘肃,兰州大学,2009,554.00,538.00,,19,本科一批,23,文科,江西
甘肃,兰州大学,2008,573.00,543.00,,16,本科一批,23,文科,江西
甘肃,兰州大学,2007,594.00,585.00,,21,本科一批,12,文科,江西
甘肃,兰州大学,2006,590.00,574.00,,22,本科一批,,文科,江西
甘肃,兰州大学,2005,589.00,565.00,,22,本科一批,11,文科,江西
甘肃,兰州大学,2004,,,583.00,,不详,,文科,江西
甘肃,兰州大学,2003,,543.00,,,不详,,文科,江西
甘肃,兰州大学,2002,,,,,不详,,文科,江西
甘肃,兰州大学,2001,,555.00,,,不详,,文科,江西
甘肃,兰州大学,2013,,,337.00,,本科一批,,文科,江苏
甘肃,兰州大学,2007,628.00,608.00,,147,本科一批,,文科,江苏
甘肃,兰州大学,2006,605.00,592.00,,126,本科一批,,文科,江苏
甘肃,兰州大学,2005,608.00,578.00,,116,本科一批,,文科,江苏
甘肃,兰州大学,2003,,512.00,,,不详,,文科,江苏
