招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
甘肃,兰州大学,2013,622.00,587.00,,21,本科一批,37,理科,北京
甘肃,兰州大学,2012,568.00,524.00,,25,本科一批,47,理科,北京
甘肃,兰州大学,2011,600.00,528.00,,29,本科一批,44,理科,北京
甘肃,兰州大学,2010,619.00,546.00,,27,本科一批,52,理科,北京
甘肃,兰州大学,2009,573.00,538.00,,31,本科一批,37,理科,北京
甘肃,兰州大学,2008,632.00,545.00,,35,本科一批,43,理科,北京
甘肃,兰州大学,2007,616.00,569.00,,28,本科一批,38,理科,北京
甘肃,兰州大学,2006,640.00,591.00,,35,本科一批,63,理科,北京
甘肃,兰州大学,2005,601.00,515.00,,40,本科一批,45,理科,北京
甘肃,兰州大学,2003,,483.00,,,不详,,理科,北京
甘肃,兰州大学,2002,,,,,不详,,理科,北京
甘肃,兰州大学,2001,,518.00,,,不详,,理科,北京
甘肃,兰州大学,2013,595.00,581.00,,63,本科一批,60,理科,天津
甘肃,兰州大学,2012,623.00,588.00,,67,本科一批,58,理科,天津
甘肃,兰州大学,2011,594.00,564.00,,70,本科一批,49,理科,天津
甘肃,兰州大学,2010,581.00,549.00,,68,本科一批,40,理科,天津
甘肃,兰州大学,2009,593.00,544.00,,66,本科一批,42,理科,天津
甘肃,兰州大学,2008,596.00,556.00,,58,本科一批,34,理科,天津
甘肃,兰州大学,2007,601.00,557.00,,57,本科一批,48,理科,天津
甘肃,兰州大学,2006,575.00,538.00,,55,本科一批,33,理科,天津
甘肃,兰州大学,2005,563.00,504.00,,53,本科一批,46,理科,天津
甘肃,兰州大学,2003,,495.00,,,不详,,理科,天津
甘肃,兰州大学,2001,,557.00,,,不详,,理科,天津
甘肃,兰州大学,2013,461.00,415.00,,18,本科一批,10,理科,上海
甘肃,兰州大学,2012,474.00,433.00,,18,本科一批,10,理科,上海
甘肃,兰州大学,2011,474.00,468.00,,10,本科一批,6,理科,上海
甘肃,兰州大学,2010,471.00,468.00,,2,本科一批,3,理科,上海
甘肃,兰州大学,2009,459.00,457.00,,2,本科一批,2,理科,上海
甘肃,兰州大学,2008,476.00,470.00,,3,本科一批,3,理科,上海
甘肃,兰州大学,2007,471.00,470.00,,2,本科一批,9,理科,上海
甘肃,兰州大学,2006,499.00,478.00,,14,本科一批,12,理科,上海
甘肃,兰州大学,2005,567.00,510.00,,5,本科一批,,理科,上海
甘肃,兰州大学,2003,,445.00,,,不详,,理科,上海
甘肃,兰州大学,2002,,,,,不详,,理科,上海
甘肃,兰州大学,2001,,443.00,,,不详,,理科,上海
甘肃,兰州大学,2013,589.00,572.00,,62,本科一批,52,理科,重庆
甘肃,兰州大学,2012,595.00,572.00,,63,本科一批,50,理科,重庆
甘肃,兰州大学,2011,606.00,575.00,,56,本科一批,42,理科,重庆
甘肃,兰州大学,2010,597.00,571.00,,71,本科一批,38,理科,重庆
甘肃,兰州大学,2009,609.00,589.00,,61,本科一批,32,理科,重庆
甘肃,兰州大学,2008,606.00,579.00,,61,本科一批,35,理科,重庆
甘肃,兰州大学,2007,563.00,539.00,,62,本科一批,34,理科,重庆
甘肃,兰州大学,2006,623.00,570.00,,58,本科一批,39,理科,重庆
甘肃,兰州大学,2005,609.00,573.00,,76,本科一批,25,理科,重庆
甘肃,兰州大学,2004,,,,,不详,,理科,重庆
甘肃,兰州大学,2003,,,,,不详,,理科,重庆
甘肃,兰州大学,2002,,,,,不详,,理科,重庆
甘肃,兰州大学,2001,,564.00,,,不详,,理科,重庆
甘肃,兰州大学,2013,625.00,589.00,,125,本科一批,51,理科,河北
甘肃,兰州大学,2012,635.00,609.00,,115,本科一批,45,理科,河北
甘肃,兰州大学,2011,661.00,620.00,,114,本科一批,39,理科,河北
甘肃,兰州大学,2010,619.00,596.00,,131,本科一批,35,理科,河北
甘肃,兰州大学,2009,628.00,604.00,,109,本科一批,35,理科,河北
甘肃,兰州大学,2008,613.00,581.00,,111,本科一批,29,理科,河北
甘肃,兰州大学,2007,635.00,608.00,,106,本科一批,21,理科,河北
甘肃,兰州大学,2006,633.00,610.00,,108,本科一批,33,理科,河北
甘肃,兰州大学,2006,613.00,598.00,,2,本科提前批,,理科,河北
甘肃,兰州大学,2005,609.00,585.00,,96,本科一批,34,理科,河北
甘肃,兰州大学,2004,,,619.00,,不详,,理科,河北
甘肃,兰州大学,2003,,,544.00,,不详,,理科,河北
甘肃,兰州大学,2002,,,,,不详,,理科,河北
甘肃,兰州大学,2001,,612.00,,,不详,,理科,河北
甘肃,兰州大学,2013,592.00,566.00,,125,本科一批,61,理科,河南
甘肃,兰州大学,2012,611.00,593.00,,118,本科一批,53,理科,河南
甘肃,兰州大学,2011,634.00,622.00,,123,本科一批,40,理科,河南
甘肃,兰州大学,2010,625.00,592.00,,150,本科一批,40,理科,河南
甘肃,兰州大学,2010,581.00,571.00,,4,本科提前批,,理科,河南
甘肃,兰州大学,2009,645.00,600.00,,137,本科一批,33,理科,河南
甘肃,兰州大学,2009,604.00,588.00,,4,本科提前批,,理科,河南
甘肃,兰州大学,2008,629.00,592.00,,116,本科一批,29,理科,河南
甘肃,兰州大学,2008,589.00,576.00,,8,本科提前批,,理科,河南
甘肃,兰州大学,2007,657.00,621.00,,117,本科一批,25,理科,河南
甘肃,兰州大学,2007,621.00,610.00,,8,本科提前批,,理科,河南
甘肃,兰州大学,2006,646.00,616.00,,115,本科一批,26,理科,河南
甘肃,兰州大学,2006,623.00,603.00,,10,本科提前批,,理科,河南
甘肃,兰州大学,2005,650.00,597.00,,95,本科一批,29,理科,河南
甘肃,兰州大学,2005,601.00,583.00,,9,本科提前批,,理科,河南
甘肃,兰州大学,2004,,,589.00,,不详,,理科,河南
甘肃,兰州大学,2003,,605.00,,,不详,,理科,河南
甘肃,兰州大学,2002,,,,,不详,,理科,河南
甘肃,兰州大学,2001,,485.00,,,不详,,理科,河南
甘肃,兰州大学,2013,633.00,614.00,,135,本科一批,60,理科,山东
甘肃,兰州大学,2012,648.00,628.00,,141,本科一批,46,理科,山东
甘肃,兰州大学,2011,631.00,608.00,,151,本科一批,41,理科,山东
甘肃,兰州大学,2010,639.00,603.00,,5,本科提前批,,理科,山东
甘肃,兰州大学,2010,633.00,617.00,,169,本科一批,37,理科,山东
甘肃,兰州大学,2009,634.00,618.00,,138,本科一批,32,理科,山东
甘肃,兰州大学,2009,629.00,610.00,,5,本科提前批,,理科,山东
甘肃,兰州大学,2008,630.00,614.00,,127,本科一批,32,理科,山东
甘肃,兰州大学,2008,601.00,589.00,,8,本科提前批,,理科,山东
甘肃,兰州大学,2007,625.00,603.00,,111,本科一批,30,理科,山东
甘肃,兰州大学,2006,639.00,611.00,,99,本科一批,28,理科,山东
甘肃,兰州大学,2006,626.00,596.00,,10,本科提前批,,理科,山东
甘肃,兰州大学,2005,653.00,625.00,,112,本科一批,28,理科,山东
甘肃,兰州大学,2004,,,633.00,,不详,,理科,山东
甘肃,兰州大学,2003,,,535.00,,不详,,理科,山东
甘肃,兰州大学,2002,,,,,不详,,理科,山东
甘肃,兰州大学,2001,,612.00,,,不详,,理科,山东
甘肃,兰州大学,2013,560.00,542.00,,103,本科一批,49,理科,山西
甘肃,兰州大学,2012,597.00,575.00,,92,本科一批,45,理科,山西
甘肃,兰州大学,2011,632.00,603.00,,92,本科一批,33,理科,山西
甘肃,兰州大学,2010,595.00,561.00,,93,本科一批,25,理科,山西
甘肃,兰州大学,2009,613.00,574.00,,99,本科一批,27,理科,山西
甘肃,兰州大学,2008,602.00,573.00,,84,本科一批,27,理科,山西
甘肃,兰州大学,2007,640.00,599.00,,84,本科一批,27,理科,山西
甘肃,兰州大学,2007,602.00,586.00,,5,本科提前批,,理科,山西
甘肃,兰州大学,2006,614.00,584.00,,85,本科一批,32,理科,山西
甘肃,兰州大学,2005,603.00,568.00,,80,本科一批,36,理科,山西
甘肃,兰州大学,2004,,,585.00,,不详,,理科,山西
甘肃,兰州大学,2003,,,495.00,,不详,,理科,山西
甘肃,兰州大学,2002,,,,,不详,,理科,山西
甘肃,兰州大学,2001,,569.00,,,不详,,理科,山西
甘肃,兰州大学,2013,575.00,556.00,,89,本科一批,66,理科,安徽
甘肃,兰州大学,2012,612.00,602.00,,93,本科一批,58,理科,安徽
甘肃,兰州大学,2011,617.00,588.00,,91,本科一批,54,理科,安徽
甘肃,兰州大学,2010,613.00,603.00,,92,本科一批,41,理科,安徽
甘肃,兰州大学,2009,632.00,616.00,,78,本科一批,37,理科,安徽
甘肃,兰州大学,2009,612.00,599.00,,5,本科提前批,,理科,安徽
甘肃,兰州大学,2008,617.00,593.00,,90,本科一批,30,理科,安徽
甘肃,兰州大学,2007,619.00,592.00,,91,本科一批,29,理科,安徽
甘肃,兰州大学,2006,641.00,600.00,,64,本科一批,34,理科,安徽
甘肃,兰州大学,2006,592.00,579.00,,5,本科提前批,,理科,安徽
甘肃,兰州大学,2005,612.00,572.00,,62,本科一批,31,理科,安徽
甘肃,兰州大学,2005,588.00,557.00,,5,本科提前批,,理科,安徽
甘肃,兰州大学,2003,,527.00,,,不详,,理科,安徽
甘肃,兰州大学,2002,,,,,不详,,理科,安徽
甘肃,兰州大学,2001,,580.00,,,不详,,理科,安徽
甘肃,兰州大学,2013,577.00,566.00,,64,本科一批,49,理科,江西
甘肃,兰州大学,2012,608.00,592.00,,63,本科一批,45,理科,江西
甘肃,兰州大学,2011,597.00,572.00,,61,本科一批,41,理科,江西
甘肃,兰州大学,2010,573.00,553.00,,58,本科一批,38,理科,江西
甘肃,兰州大学,2009,579.00,554.00,,55,本科一批,36,理科,江西
甘肃,兰州大学,2008,575.00,540.00,,44,本科一批,28,理科,江西
甘肃,兰州大学,2007,608.00,594.00,,39,本科一批,23,理科,江西
甘肃,兰州大学,2006,595.00,573.00,,38,本科一批,23,理科,江西
甘肃,兰州大学,2005,598.00,566.00,,38,本科一批,21,理科,江西
甘肃,兰州大学,2004,,,596.00,,不详,,理科,江西
甘肃,兰州大学,2003,,543.00,,,不详,,理科,江西
甘肃,兰州大学,2002,,,,,不详,,理科,江西
甘肃,兰州大学,2001,,594.00,,,不详,,理科,江西
甘肃,兰州大学,2013,,,351.00,,本科一批,,理科,江苏
甘肃,兰州大学,2007,628.00,608.00,,147,本科一批,,理科,江苏
甘肃,兰州大学,2006,618.00,594.00,,126,本科一批,,理科,江苏
甘肃,兰州大学,2005,608.00,578.00,,116,本科一批,,理科,江苏
甘肃,兰州大学,2004,,,590.00,,不详,,理科,江苏
甘肃,兰州大学,2003,,,501.00,,不详,,理科,江苏
甘肃,兰州大学,2002,,,,,不详,,理科,江苏
甘肃,兰州大学,2001,,566.00,,,不详,,理科,江苏
