招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
福建,厦门大学,2013,654.00,624.00,,17,本科一批,75,文科,北京
福建,厦门大学,2012,599.00,572.00,,18,本科一批,77,文科,北京
福建,厦门大学,2011,614.00,590.00,,19,本科一批,66,文科,北京
福建,厦门大学,2010,611.00,584.00,,22,本科一批,60,文科,北京
福建,厦门大学,2009,619.00,590.00,,24,本科一批,58,文科,北京
福建,厦门大学,2008,610.00,574.00,534.00,21,本科一批,59,文科,北京
福建,厦门大学,2007,621.00,585.00,,23,本科一批,57,文科,北京
福建,厦门大学,2006,605.00,585.00,,23,本科一批,69,文科,北京
福建,厦门大学,2005,586.00,539.00,,24,本科一批,53,文科,北京
福建,厦门大学,2003,,,511.00,,不详,,文科,北京
福建,厦门大学,2002,,,,,不详,,文科,北京
福建,厦门大学,2001,,,,,不详,,文科,北京
福建,厦门大学,2013,628.00,612.00,,15,本科一批,79,文科,天津
福建,厦门大学,2012,646.00,634.00,,19,本科一批,85,文科,天津
福建,厦门大学,2011,604.00,595.00,,19,本科一批,76,文科,天津
福建,厦门大学,2010,621.00,593.00,,17,本科一批,74,文科,天津
福建,厦门大学,2009,623.00,572.00,,20,本科一批,61,文科,天津
福建,厦门大学,2008,632.00,592.00,,24,本科一批,69,文科,天津
福建,厦门大学,2007,614.00,581.00,,20,本科一批,68,文科,天津
福建,厦门大学,2006,578.00,550.00,,22,本科一批,73,文科,天津
福建,厦门大学,2005,588.00,548.00,,26,本科一批,50,文科,天津
福建,厦门大学,2003,,,512.00,,不详,,文科,天津
福建,厦门大学,2002,,,,,不详,,文科,天津
福建,厦门大学,2001,,,,,不详,,文科,天津
福建,厦门大学,2013,498.00,488.00,,11,本科一批,40,文科,上海
福建,厦门大学,2012,491.00,482.00,,10,本科一批,44,文科,上海
福建,厦门大学,2011,536.00,518.00,,12,本科一批,50,文科,上海
福建,厦门大学,2010,509.00,502.00,,11,本科一批,38,文科,上海
福建,厦门大学,2009,516.00,501.00,,12,本科一批,30,文科,上海
福建,厦门大学,2008,515.00,497.00,,12,本科一批,26,文科,上海
福建,厦门大学,2007,511.00,493.00,,10,本科一批,28,文科,上海
福建,厦门大学,2006,526.00,507.00,,13,本科一批,17,文科,上海
福建,厦门大学,2005,528.00,499.00,,15,本科一批,,文科,上海
福建,厦门大学,2003,,,442.00,,不详,,文科,上海
福建,厦门大学,2002,,,,,不详,,文科,上海
福建,厦门大学,2001,,,,,不详,,文科,上海
福建,厦门大学,2013,650.00,635.00,,16,本科一批,79,文科,重庆
福建,厦门大学,2012,644.00,629.00,,15,本科一批,75,文科,重庆
福建,厦门大学,2011,646.00,628.00,,20,本科一批,64,文科,重庆
福建,厦门大学,2010,650.00,636.00,,17,本科一批,63,文科,重庆
福建,厦门大学,2009,619.00,603.00,,21,本科一批,57,文科,重庆
福建,厦门大学,2008,642.00,628.00,,21,本科一批,52,文科,重庆
福建,厦门大学,2007,619.00,596.00,,22,本科一批,56,文科,重庆
福建,厦门大学,2007,396.00,396.00,,1,本科三批,,文科,重庆
福建,厦门大学,2006,641.00,623.00,,22,本科一批,67,文科,重庆
福建,厦门大学,2005,628.00,601.00,,26,本科一批,52,文科,重庆
福建,厦门大学,2004,,,,,不详,,文科,重庆
福建,厦门大学,2003,,,,,不详,,文科,重庆
福建,厦门大学,2002,,,,,不详,,文科,重庆
福建,厦门大学,2001,,,,,不详,,文科,重庆
福建,厦门大学,2013,637.00,628.00,,24,本科一批,67,文科,河北
福建,厦门大学,2012,631.00,623.00,,28,本科一批,51,文科,河北
福建,厦门大学,2011,618.00,607.00,,27,本科一批,45,文科,河北
福建,厦门大学,2010,604.00,589.00,,24,本科一批,50,文科,河北
福建,厦门大学,2009,594.00,581.00,,30,本科一批,42,文科,河北
福建,厦门大学,2008,597.00,581.00,,27,本科一批,44,文科,河北
福建,厦门大学,2007,613.00,589.00,577.00,26,本科一批,23,文科,河北
福建,厦门大学,2006,613.00,602.00,,21,本科一批,41,文科,河北
福建,厦门大学,2005,591.00,574.00,,24,本科一批,38,文科,河北
福建,厦门大学,2004,,,611.00,,不详,,文科,河北
福建,厦门大学,2003,,,583.00,,不详,,文科,河北
福建,厦门大学,2002,,,,,不详,,文科,河北
福建,厦门大学,2001,,,,,不详,,文科,河北
福建,厦门大学,2013,599.00,578.00,,43,本科一批,59,文科,河南
福建,厦门大学,2012,624.00,609.00,,36,本科一批,52,文科,河南
福建,厦门大学,2011,624.00,612.00,,40,本科一批,50,文科,河南
福建,厦门大学,2010,589.00,579.00,,37,本科一批,47,文科,河南
福建,厦门大学,2009,618.00,581.00,,33,本科一批,29,文科,河南
福建,厦门大学,2008,630.00,596.00,,38,本科一批,39,文科,河南
福建,厦门大学,2007,646.00,624.00,,34,本科一批,35,文科,河南
福建,厦门大学,2006,635.00,620.00,,28,本科一批,29,文科,河南
福建,厦门大学,2005,632.00,587.00,,29,本科一批,22,文科,河南
福建,厦门大学,2003,,,600.00,,不详,,文科,河南
福建,厦门大学,2002,,,,,不详,,文科,河南
福建,厦门大学,2001,,,,,不详,,文科,河南
福建,厦门大学,2013,653.00,633.00,,33,本科一批,63,文科,山东
福建,厦门大学,2012,645.00,630.00,,36,本科一批,57,文科,山东
福建,厦门大学,2011,643.00,622.00,,40,本科一批,52,文科,山东
福建,厦门大学,2010,658.00,649.00,,29,本科一批,43,文科,山东
福建,厦门大学,2009,648.00,625.00,,25,本科一批,29,文科,山东
福建,厦门大学,2008,641.00,617.00,,34,本科一批,33,文科,山东
福建,厦门大学,2007,646.00,637.00,,35,本科一批,44,文科,山东
福建,厦门大学,2006,623.00,612.00,,31,本科一批,44,文科,山东
福建,厦门大学,2005,623.00,610.00,,36,本科一批,38,文科,山东
福建,厦门大学,2004,,,627.00,,不详,,文科,山东
福建,厦门大学,2003,,,552.00,,不详,,文科,山东
福建,厦门大学,2002,,,,,不详,,文科,山东
福建,厦门大学,2001,,,,,不详,,文科,山东
福建,厦门大学,2013,574.00,564.00,,22,本科一批,57,文科,山西
福建,厦门大学,2012,595.00,588.00,,18,本科一批,49,文科,山西
福建,厦门大学,2011,606.00,580.00,,22,本科一批,37,文科,山西
福建,厦门大学,2010,599.00,573.00,,20,本科一批,40,文科,山西
福建,厦门大学,2009,606.00,585.00,,22,本科一批,37,文科,山西
福建,厦门大学,2008,603.00,579.00,,20,本科一批,34,文科,山西
福建,厦门大学,2007,633.00,609.00,,19,本科一批,29,文科,山西
福建,厦门大学,2006,621.00,604.00,,20,本科一批,43,文科,山西
福建,厦门大学,2005,600.00,583.00,,23,本科一批,49,文科,山西
福建,厦门大学,2004,,,603.00,,不详,,文科,山西
福建,厦门大学,2003,,,547.00,,不详,,文科,山西
福建,厦门大学,2002,,,,,不详,,文科,山西
福建,厦门大学,2001,,,,,不详,,文科,山西
福建,厦门大学,2013,616.00,609.00,,28,本科一批,69,文科,安徽
福建,厦门大学,2012,637.00,631.00,,21,本科一批,54,文科,安徽
福建,厦门大学,2011,619.00,607.00,,27,本科一批,60,文科,安徽
福建,厦门大学,2010,631.00,626.00,,31,本科一批,53,文科,安徽
