招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
福建,厦门大学,2013,690.00,652.00,,44,本科一批,102,理科,北京
福建,厦门大学,2012,676.00,603.00,,49,本科一批,126,理科,北京
福建,厦门大学,2011,638.00,604.00,,49,本科一批,120,理科,北京
福建,厦门大学,2010,648.00,604.00,,45,本科一批,110,理科,北京
福建,厦门大学,2009,625.00,599.00,,50,本科一批,98,理科,北京
福建,厦门大学,2008,649.00,587.00,525.00,54,本科一批,85,理科,北京
福建,厦门大学,2007,655.00,622.00,,52,本科一批,91,理科,北京
福建,厦门大学,2006,646.00,608.00,,59,本科一批,80,理科,北京
福建,厦门大学,2005,615.00,546.00,,50,本科一批,76,理科,北京
福建,厦门大学,2003,,,529.00,,不详,,理科,北京
福建,厦门大学,2002,,,,,不详,,理科,北京
福建,厦门大学,2001,,,,,不详,,理科,北京
福建,厦门大学,2013,642.00,627.00,,37,本科一批,106,理科,天津
福建,厦门大学,2012,661.00,639.00,,45,本科一批,109,理科,天津
福建,厦门大学,2011,641.00,620.00,,50,本科一批,105,理科,天津
福建,厦门大学,2010,621.00,604.00,,48,本科一批,95,理科,天津
福建,厦门大学,2009,630.00,591.00,,53,本科一批,89,理科,天津
福建,厦门大学,2008,642.00,595.00,,51,本科一批,73,理科,天津
福建,厦门大学,2007,641.00,586.00,,50,本科一批,77,理科,天津
福建,厦门大学,2006,626.00,588.00,,75,本科一批,83,理科,天津
福建,厦门大学,2005,591.00,544.00,,68,本科一批,86,理科,天津
福建,厦门大学,2003,,,512.00,,不详,,理科,天津
福建,厦门大学,2002,,,,,不详,,理科,天津
福建,厦门大学,2001,,,,,不详,,理科,天津
福建,厦门大学,2013,478.00,469.00,,21,本科一批,64,理科,上海
福建,厦门大学,2012,485.00,477.00,,19,本科一批,54,理科,上海
福建,厦门大学,2011,524.00,513.00,,22,本科一批,51,理科,上海
福建,厦门大学,2010,516.00,502.00,,23,本科一批,37,理科,上海
福建,厦门大学,2009,516.00,498.00,,23,本科一批,43,理科,上海
福建,厦门大学,2008,526.00,509.00,,21,本科一批,42,理科,上海
福建,厦门大学,2007,515.00,495.00,,23,本科一批,34,理科,上海
福建,厦门大学,2006,538.00,486.00,,27,本科一批,20,理科,上海
福建,厦门大学,2005,549.00,510.00,,26,本科一批,,理科,上海
福建,厦门大学,2003,,,435.00,,不详,,理科,上海
福建,厦门大学,2002,,,,,不详,,理科,上海
福建,厦门大学,2001,,,,,不详,,理科,上海
福建,厦门大学,2013,642.00,610.00,,66,本科一批,90,理科,重庆
福建,厦门大学,2012,658.00,628.00,,59,本科一批,106,理科,重庆
福建,厦门大学,2011,648.00,619.00,,62,本科一批,86,理科,重庆
福建,厦门大学,2010,654.00,626.00,,53,本科一批,93,理科,重庆
福建,厦门大学,2009,665.00,619.00,,46,本科一批,62,理科,重庆
福建,厦门大学,2008,663.00,635.00,,56,本科一批,91,理科,重庆
