招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
西藏,西藏大学,2013,514.00,479.00,,34,本科二批,17,理科,重庆
西藏,西藏大学,2012,564.00,499.00,,44,本科二批,37,理科,重庆
西藏,西藏大学,2008,568.00,523.00,,4,本科二批,35,理科,重庆
西藏,西藏大学,2007,476.00,460.00,,7,本科二批,10,理科,重庆
西藏,西藏大学,2006,509.00,489.00,,14,本科二三批,,理科,重庆
西藏,西藏大学,2006,509.00,489.00,,14,本科二批,13,理科,重庆
西藏,西藏大学,2013,541.00,498.00,,104,本科二批,20,理科,河北
西藏,西藏大学,2012,564.00,523.00,,159,本科二批,14,理科,河北
西藏,西藏大学,2011,567.00,549.00,,85,本科二批,14,理科,河北
西藏,西藏大学,2010,551.00,531.00,,84,本科二批,13,理科,河北
西藏,西藏大学,2009,578.00,538.00,,88,本科二批,14,理科,河北
西藏,西藏大学,2008,545.00,528.00,,48,本科二批,14,理科,河北
西藏,西藏大学,2007,584.00,558.00,,42,本科二批,9,理科,河北
西藏,西藏大学,2006,577.00,551.00,,33,本科二批,11,理科,河北
西藏,西藏大学,2006,577.00,550.00,,33,本科二三批,,理科,河北
西藏,西藏大学,2005,533.00,517.00,,10,本科二批,6,理科,河北
西藏,西藏大学,2013,513.00,467.00,,106,本科二批,24,理科,河南
西藏,西藏大学,2012,563.00,500.00,,145,本科二批,19,理科,河南
西藏,西藏大学,2011,570.00,546.00,,129,本科二批,15,理科,河南
西藏,西藏大学,2010,574.00,556.00,,73,本科一批,4,理科,河南
西藏,西藏大学,2009,578.00,538.00,,92,本科二批,18,理科,河南
西藏,西藏大学,2008,561.00,533.00,,56,本科二批,16,理科,河南
西藏,西藏大学,2007,587.00,568.00,,28,本科二批,15,理科,河南
西藏,西藏大学,2006,588.00,571.00,,30,本科二三批,,理科,河南
西藏,西藏大学,2006,588.00,571.00,,30,本科二批,23,理科,河南
西藏,西藏大学,2005,589.00,541.00,,56,本科二批,18,理科,河南
西藏,西藏大学,2013,545.00,491.00,,48,本科二批,,理科,山东
西藏,西藏大学,2012,573.00,530.00,,77,本科二批,,理科,山东
西藏,西藏大学,2011,565.00,517.00,,59,本科二批,,理科,山东
西藏,西藏大学,2010,567.00,550.00,,8,本科二批,8,理科,山东
西藏,西藏大学,2009,573.00,564.00,,10,本科二批,10,理科,山东
西藏,西藏大学,2008,590.00,566.00,,18,本科二批,10,理科,山东
西藏,西藏大学,2007,581.00,556.00,,25,本科二批,11,理科,山东
西藏,西藏大学,2006,598.00,561.00,,13,本科二批,8,理科,山东
西藏,西藏大学,2006,598.00,551.00,,30,本科二三批,,理科,山东
西藏,西藏大学,2005,593.00,567.00,,16,本科二批,,理科,山东
西藏,西藏大学,2013,486.00,453.00,,78,本科二批,13,理科,山西
西藏,西藏大学,2012,522.00,489.00,,90,本科二批,13,理科,山西
西藏,西藏大学,2011,568.00,540.00,,58,本科二批,20,理科,山西
西藏,西藏大学,2010,531.00,504.00,,41,本科二批,13,理科,山西
西藏,西藏大学,2009,543.00,517.00,,49,本科二批,12,理科,山西
西藏,西藏大学,2007,568.00,556.00,,5,本科二批,17,理科,山西
西藏,西藏大学,2006,551.00,533.00,,40,本科二批,18,理科,山西
西藏,西藏大学,2006,551.00,533.00,,40,本科二三批,,理科,山西
西藏,西藏大学,2005,529.00,512.00,,24,本科二批,17,理科,山西
西藏,西藏大学,2013,,,312.00,,本科二批,,理科,江苏
西藏,西藏大学,2013,,,479.00,20,本科二批,,理科,浙江
西藏,西藏大学,2013,519.00,491.00,,11,本科二批,29,理科,湖北
西藏,西藏大学,2012,543.00,512.00,,14,本科二批,18,理科,湖北
西藏,西藏大学,2011,565.00,551.00,,23,本科二批,34,理科,湖北
西藏,西藏大学,2010,544.00,527.00,,35,本科二批,21,理科,湖北
西藏,西藏大学,2007,538.00,531.00,,5,本科二批,14,理科,湖北
西藏,西藏大学,2006,540.00,527.00,,35,本科二批,11,理科,湖北
西藏,西藏大学,2006,540.00,527.00,,35,本科二三批,,理科,湖北
西藏,西藏大学,2005,538.00,504.00,,45,本科二批,,理科,湖北
西藏,西藏大学,2013,475.00,442.00,,33,本科二批,19,理科,湖南
西藏,西藏大学,2012,517.00,465.00,,49,本科二批,14,理科,湖南
西藏,西藏大学,2011,546.00,506.00,,43,本科二批,14,理科,湖南
西藏,西藏大学,2010,547.00,512.00,,59,本科二批,18,理科,湖南
西藏,西藏大学,2009,507.00,490.00,,30,本科二批,19,理科,湖南
西藏,西藏大学,2008,534.00,500.00,,19,本科二批,18,理科,湖南
西藏,西藏大学,2007,523.00,498.00,,14,本科二批,11,理科,湖南
西藏,西藏大学,2006,523.00,509.00,,34,本科二三批,,理科,湖南
西藏,西藏大学,2006,523.00,510.00,,34,本科二批,14,理科,湖南
西藏,西藏大学,2005,546.00,520.00,,14,本科二批,29,理科,湖南
西藏,西藏大学,2013,549.00,523.00,,10,本科二批,7,理科,广东
西藏,西藏大学,2012,574.00,551.00,,3,本科二批,28,理科,广东
西藏,西藏大学,2009,502.00,469.00,,10,本科二批,26,理科,广西
西藏,西藏大学,2008,457.00,449.00,,4,本科二批,9,理科,广西
西藏,西藏大学,2013,483.00,442.00,,66,本科二批,17,理科,云南
西藏,西藏大学,2012,471.00,414.00,,76,本科二批,19,理科,云南
西藏,西藏大学,2011,476.00,407.00,,48,本科二批,27,理科,云南
西藏,西藏大学,2010,467.00,453.00,,9,本科二批,23,理科,云南
西藏,西藏大学,2009,490.00,466.00,,25,本科二批,24,理科,云南
西藏,西藏大学,2008,508.00,492.00,,19,本科二批,17,理科,云南
西藏,西藏大学,2007,544.00,521.00,,25,本科二批,21,理科,云南
西藏,西藏大学,2013,428.00,391.00,,22,本科二批,31,理科,贵州
西藏,西藏大学,2012,477.00,415.00,,38,本科二批,25,理科,贵州
西藏,西藏大学,2011,441.00,422.00,,10,本科二批,46,理科,贵州
西藏,西藏大学,2009,479.00,460.00,,15,本科二批,38,理科,贵州
西藏,西藏大学,2008,499.00,481.00,,5,本科二批,13,理科,贵州
西藏,西藏大学,2013,562.00,512.00,,112,本科二批,20,理科,四川
西藏,西藏大学,2012,492.00,464.00,,148,本科二批,19,理科,四川
西藏,西藏大学,2011,504.00,467.00,,98,本科二批,19,理科,四川
西藏,西藏大学,2010,521.00,464.00,,117,本科二批,23,理科,四川
西藏,西藏大学,2009,506.00,457.00,,104,本科二批,21,理科,四川
西藏,西藏大学,2008,595.00,557.00,,70,本科二批,23,理科,四川
西藏,西藏大学,2007,527.00,497.00,,60,本科二批,22,理科,四川
西藏,西藏大学,2006,553.00,534.00,,26,本科二批,22,理科,四川
西藏,西藏大学,2006,553.00,534.00,,26,本科二三批,,理科,四川
西藏,西藏大学,2005,588.00,564.00,,51,本科二批,14,理科,四川
西藏,西藏大学,2013,487.00,456.00,,104,本科二批,21,理科,陕西
